# outframe clk cap_out golden user frameStart rstcs
0 453134 00000000 0 0 1 0
1 650462 a029d28a 0 0 2 0
2 847790 a029d28a 0 0 3 0
3 1045118 a029d28a 0 0 4 0
4 1242446 a029d28a 0 0 5 0
5 1439774 a029d28a 0 0 6 0
6 1637102 a029d28a 0 0 7 0
7 1834430 a029d28a 0 0 8 0
8 2031758 a029d28a 0 0 9 0
9 2229086 a029d28a 0 0 10 0
10 2426414 a029d28a 0 0 11 0
11 2623742 a029d28a 0 0 12 0
12 2821070 a029d28a 0 0 13 0
13 3018398 a029d28a 0 0 14 0
14 3215726 a029d28a 0 0 15 0
15 3413054 a029d28a 0 0 16 0
16 3610382 a029d28a 0 0 17 0
17 3807710 a029d28a 0 0 18 0
18 4005038 a029d28a 0 0 19 0
19 4202366 a029d28a 0 0 20 0
20 4399694 a029d28a 0 0 21 0
21 4597022 a029d28a 0 0 22 0
22 4794350 a029d28a 0 0 23 0
23 4991678 a029d28a 0 0 24 0
24 5189006 a029d28a 0 0 25 0
25 5386334 a029d28a 0 0 26 0
26 5583662 a029d28a 0 0 27 0
27 5780990 a029d28a 0 0 28 0
28 5978318 a029d28a 0 0 29 0
29 6175646 a029d28a 0 0 30 0
30 6372974 a029d28a 0 0 31 0
31 6570302 a029d28a 0 0 32 0
32 6767630 a029d28a 0 0 33 0
33 6964958 a029d28a 0 0 34 0
34 7162286 a029d28a 0 0 35 0
35 7359614 a029d28a 0 0 36 0
36 7556942 a029d28a 0 0 37 0
37 7754270 a029d28a 0 0 38 0
38 7951598 a029d28a 0 0 39 0
39 8148926 a029d28a 0 0 40 0
40 8346254 a029d28a 0 0 41 0
41 8543582 a029d28a 0 0 42 0
42 8740910 a029d28a 0 0 43 0
43 8938238 a029d28a 0 0 44 0
44 9135566 a029d28a 0 0 45 0
45 9332894 a029d28a 0 0 46 0
46 9530222 a029d28a 0 0 47 0
47 9727550 a029d28a 0 0 48 0
48 9924878 a029d28a 0 0 49 0
49 10122206 a029d28a 0 0 50 0
50 10319534 a029d28a 0 0 51 0
51 10516862 a029d28a 0 0 52 0
52 10714190 a029d28a 0 0 53 0
53 10911518 a029d28a 0 0 54 0
54 11108846 a029d28a 0 0 55 0
55 11306174 a029d28a 0 0 56 0
56 11503502 a029d28a 0 0 57 0
57 11700830 a029d28a 0 0 58 0
58 11898158 a029d28a 0 0 59 0
59 12095486 a029d28a 0 0 60 0
60 12292814 a029d28a 0 0 61 0
61 12490142 a029d28a 0 0 62 0
62 12687470 a029d28a 0 0 63 0
63 12884798 a029d28a 0 0 64 0
64 13082126 a029d28a 0 0 65 0
65 13279454 a029d28a 0 0 66 0
66 13476782 a029d28a 0 0 67 0
