# outframe clk cap_out golden user frameStart rstcs
0 453342 00000000 0 0 1 0
1 650670 a029d28a 0 0 2 0
2 847998 a029d28a 0 0 3 0
3 1045326 a029d28a 0 0 4 0
4 1242654 a029d28a 0 0 5 0
5 1439982 a029d28a 0 0 6 0
6 1637310 a029d28a 0 0 7 0
7 1834638 a029d28a 0 0 8 0
8 2031966 a029d28a 0 0 9 0
9 2229294 a029d28a 0 0 10 0
10 2426622 a029d28a 0 0 11 0
11 2623950 a029d28a 0 0 12 0
12 2821278 a029d28a 0 0 13 0
13 3018606 a029d28a 0 0 14 0
14 3215934 a029d28a 0 0 15 0
15 3413262 a029d28a 0 0 16 0
16 3610590 a029d28a 0 0 17 0
17 3807918 a029d28a 0 0 18 0
18 4005246 a029d28a 0 0 19 0
19 4202574 a029d28a 0 0 20 0
20 4399902 a029d28a 0 0 21 0
21 4597230 a029d28a 0 0 22 0
22 4794926 a029d28a 0 0 23 0
23 4991854 00000000 0 0 24 0
24 5189182 a029d28a 0 0 25 0
25 5386510 a029d28a 0 0 26 0
26 5583838 a029d28a 0 0 27 0
27 5781166 a029d28a 0 0 28 0
28 5978494 a029d28a 0 0 29 0
29 6175822 a029d28a 0 0 30 0
30 6373150 a029d28a 0 0 31 0
31 6570478 a029d28a 0 0 32 0
32 6767806 a029d28a 0 0 33 0
33 6965134 a029d28a 0 0 34 0
34 7162462 a029d28a 0 0 35 0
35 7359790 a029d28a 0 0 36 0
36 7557118 a029d28a 0 0 37 0
37 7754446 a029d28a 0 0 38 0
38 7951774 a029d28a 0 0 39 0
39 8149102 a029d28a 0 0 40 0
40 8346430 a029d28a 0 0 41 0
41 8543758 a029d28a 0 0 42 0
42 8741086 a029d28a 0 0 43 0
