capframe,delivered,crc_ok,seq,words,seq_expected
785,1,1,54363,191,54362
786,1,1,54364,191,54363
787,1,1,54365,191,54364
788,1,1,54366,191,54365
789,1,1,54367,191,54366
790,1,1,54368,191,54367
791,1,1,54369,191,54368
792,1,1,54370,191,54369
793,1,1,54371,191,54370
794,1,1,54372,191,54371
795,1,1,54373,191,54372
796,1,1,54374,191,54373
797,1,1,54375,191,54374
798,1,1,54376,191,54375
799,1,1,54377,191,54376
800,1,1,54378,191,54377
801,1,1,54379,191,54378
802,1,1,54380,191,54379
803,1,1,54381,191,54380
804,1,1,54382,191,54381
805,1,1,54383,191,54382
806,1,1,54384,191,54383
807,1,1,54385,191,54384
808,1,1,54386,191,54385
809,0,0,-1,0,54386
810,0,0,-1,0,54387
