outframe,clk,capframe_est,seq,len,words,crc_ok
0,453502,1,-1,-1,191,0
1,650830,2,53578,1428,191,1
2,848158,3,53579,1428,191,1
3,1045486,4,53580,1428,191,1
4,1242814,5,53581,1428,191,1
5,1440142,6,53582,1428,191,1
6,1637470,7,53583,1428,191,1
7,1834798,8,53584,1428,191,1
8,2032126,9,53585,1428,191,1
9,2229454,10,53586,1428,191,1
10,2426782,11,53587,1428,191,1
