outframe,clk,capframe_est,seq,len,words,crc_ok
0,453134,1,-1,-1,191,0
1,650462,2,54321,1428,191,1
2,847790,3,54322,1428,191,1
3,1045118,4,54323,1428,191,1
4,1242446,5,54324,1428,191,1
5,1439774,6,54325,1428,191,1
6,1637102,7,54326,1428,191,1
7,1834430,8,54327,1428,191,1
8,2031758,9,54328,1428,191,1
9,2229086,10,54329,1428,191,1
10,2426414,11,54330,1428,191,1
11,2623742,12,54331,1428,191,1
12,2821070,13,54332,1428,191,1
13,3018398,14,54333,1428,191,1
14,3215726,15,54334,1428,191,1
15,3413054,16,54335,1428,191,1
16,3610382,17,54336,1428,191,1
17,3807710,18,54337,1428,191,1
18,4005038,19,54338,1428,191,1
19,4202366,20,54339,1428,191,1
20,4399694,21,54340,1428,191,1
21,4597022,22,54341,1428,191,1
22,4794350,23,54342,1428,191,1
23,4991678,24,54343,1428,191,1
24,5189006,25,54344,1428,191,1
25,5386334,26,54345,1428,191,1
26,5583662,27,54346,1428,191,1
27,5780990,28,54347,1428,191,1
28,5978318,29,54348,1428,191,1
29,6175646,30,54349,1428,191,1
30,6372974,31,54350,1428,191,1
31,6570302,32,54351,1428,191,1
32,6767630,33,54352,1428,191,1
33,6964958,34,54353,1428,191,1
34,7162286,35,54354,1428,191,1
35,7359614,36,54355,1428,191,1
36,7556942,37,54356,1428,191,1
37,7754270,38,54357,1428,191,1
38,7951598,39,54358,1428,191,1
39,8148926,40,54359,1428,191,1
40,8346254,41,54360,1428,191,1
41,8543582,42,54361,1428,191,1
42,8740910,43,54362,1428,191,1
43,8938238,44,54363,1428,191,1
44,9135566,45,54364,1428,191,1
45,9332894,46,54365,1428,191,1
46,9530222,47,54366,1428,191,1
47,9727550,48,54367,1428,191,1
48,9924878,49,54368,1428,191,1
49,10122206,50,54369,1428,191,1
50,10319534,51,54370,1428,191,1
51,10516862,52,54371,1428,191,1
52,10714190,53,54372,1428,191,1
53,10911518,54,54373,1428,191,1
54,11108846,55,54374,1428,191,1
55,11306174,56,54375,1428,191,1
56,11503502,57,54376,1428,191,1
57,11700830,58,54377,1428,191,1
58,11898158,59,54378,1428,191,1
59,12095486,60,54379,1428,191,1
60,12292814,61,54380,1428,191,1
61,12490142,62,54381,1428,191,1
62,12687470,63,54382,1428,191,1
63,12884798,64,54383,1428,191,1
64,13082126,65,54384,1428,191,1
65,13279454,66,54385,1428,191,1
66,13476782,67,54386,1428,191,1
