path,onset_seq,run_len,t_s,t_mono_ns,t_real_ns
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,253890,7,184.855700,1072170567756,1788567809758164480
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,254804,6,185.589874,1072904741969,1788567810492338944
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,254858,17,185.631605,1072946473495,1788567810534070272
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,259973,7,189.739976,1077054844042,1788567814642440960
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,260015,14,189.772736,1077087604121,1788567814675201024
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,260959,15,190.530654,1077845522258,1788567815433119232
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,261005,3,190.570434,1077885302101,1788567815472899072
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,320615,1,238.429124,1125743992096,1788567863331589120
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,332163,14,247.702108,1135016976378,1788567872604573184
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,332591,3,248.048767,1135363634836,1788567872951231744
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,335667,16,250.515461,1137830329227,1788567875417926144
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,335715,17,250.553918,1137868785775,1788567875456382720
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,335745,4,250.586614,1137901482428,1788567875489079296
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,336736,6,251.375183,1138690051489,1788567876277648384
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,341470,9,255.175551,1142490419128,1788567880078016000
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,345485,11,258.399043,1145713911060,1788567883301507840
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,345965,12,258.784357,1146099225276,1788567883686822400
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,347015,3,259.630278,1146945145970,1788567884532743168
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,351156,7,262.953147,1150268015322,1788567887855612416
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,351678,14,263.371395,1150686263214,1788567888273860096
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,353164,17,264.564343,1151879210800,1788567889466807808
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,353544,6,264.870840,1152185707622,1788567889773304576
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,354102,9,265.318168,1152633036502,1788567890220633344
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,354158,4,265.364541,1152679409148,1788567890267005952
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,364508,5,273.674686,1160989554189,1788567898577150976
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,374242,16,281.488690,1168803557631,1788567906391154688
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,375276,7,282.320040,1169634907927,1788567907222504704
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,375658,10,282.626174,1169941042039,1788567907528638976
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,381784,13,287.545156,1174860023976,1788567912447620864
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,381932,10,287.663811,1174978679285,1788567912566276096
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,382950,17,288.480628,1175795496425,1788567913383093248
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,383288,16,288.752075,1176066942927,1788567913654539776
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,384492,13,289.719493,1177034361058,1788567914621957888
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,384982,4,290.114577,1177429444993,1788567915017041920
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,393065,3,296.605691,1183920559133,1788567921508155904
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,424359,1,321.728351,1209043218825,1788567946630815744
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,424395,1,321.757222,1209072090092,1788567946659686912
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,424440,1,321.793386,1209108254276,1788567946695851264
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,424449,1,321.800614,1209115481956,1788567946703078912
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,424458,1,321.807807,1209122674730,1788567946710271488
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,461704,5,351.716818,1239031686241,1788567976619283200
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,462270,16,352.169557,1239484424525,1788567977072021248
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,463201,14,352.917211,1240232078737,1788567977819675648
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,463623,9,353.256579,1240571447454,1788567978159044352
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,464225,16,353.739287,1241054154864,1788567978641751808
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,465799,11,355.003492,1242318359556,1788567979905956608
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,465873,3,355.065380,1242380248147,1788567979967844864
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,466385,3,355.476673,1242791540890,1788567980379137792
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,467303,14,356.210864,1243525731956,1788567981113328896
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,467335,15,356.239909,1243554776758,1788567981142373632
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,467429,3,356.314743,1243629610978,1788567981217207808
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,468323,5,357.031421,1244346289079,1788567981933885952
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,468913,8,357.504262,1244819130206,1788567982406727168
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,473404,14,361.109509,1248424377447,1788567986011974400
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,474928,11,362.333439,1249648307148,1788567987235904000
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,475907,9,363.119776,1250434644314,1788567988022241280
