1 1273 51 0x5216F3E2 0x52B9CE5C 0x4922282
2 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
3 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
4 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
5 1267 102 0x5216F3E2 0x52B9CE5C 0x4922282
6 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
7 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
8 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
9 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
10 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
11 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
12 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
13 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
14 1267 102 0x5216F3E2 0x52B9CE5C 0x4922282
15 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
16 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
17 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
18 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
19 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
20 1270 51 0x5216F3E2 0x52B9CE5C 0x4922282
21 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
22 1270 51 0x5216F3E2 0x52B9CE5C 0x4922282
23 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
24 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
25 1267 102 0x5216F3E2 0x52B9CE5C 0x4922282
26 1269 0 0x5216F3E2 0x52B9CE5C 0x4922282
27 1268 102 0x5216F3E2 0x52B9CE5C 0x4922282
28 1269 0 0x5216F3E2 0x52B9CE5C 0x4922282
29 1268 102 0x5216F3E2 0x52B9CE5C 0x4922282
30 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
31 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
32 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
33 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
34 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
35 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
36 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
37 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
38 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
39 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
40 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
41 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
42 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
43 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
44 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
45 1267 51 0x5216F3E2 0x52B9CE5C 0x4922282
46 1270 51 0x5216F3E2 0x52B9CE5C 0x4922282
47 1273 51 0x5216F3E2 0x52B9CE5C 0x4922282
48 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
49 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
50 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
51 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
52 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
53 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
54 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
55 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
56 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
57 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
58 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
59 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
60 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
61 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
62 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
63 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
64 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
65 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
66 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
67 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
68 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
69 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
70 1268 6099 0x7871AA08 0xA17A21A2 0x37AF0E88
71 1268 57503 0x5216F3E2 0x52B9CE5C 0x4922282
72 1268 21033 0x70DF4D74 0xFA2EDE7A 0x8E304254
73 1269 48725 0x5216F3E2 0x52B9CE5C 0x4922282
74 1269 43527 0xF6A4BC60 0x868AF9C4 0x512A6028
75 1269 42549 0x5216F3E2 0x52B9CE5C 0x4922282
76 1269 52011 0x63F21D7D 0x94929869 0xB18E113E
77 1268 21736 0x5216F3E2 0x52B9CE5C 0x4922282
78 1268 148 0x5216F3E2 0x52B9CE5C 0x4922282
79 1268 124 0x5216F3E2 0x52B9CE5C 0x4922282
80 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
81 1269 107 0x5216F3E2 0x52B9CE5C 0x4922282
82 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
83 1269 109 0x5216F3E2 0x52B9CE5C 0x4922282
84 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
85 1267 157 0x5216F3E2 0x52B9CE5C 0x4922282
86 1269 87 0x5216F3E2 0x52B9CE5C 0x4922282
87 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
88 1268 90 0x5216F3E2 0x52B9CE5C 0x4922282
89 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
90 1268 104 0x5216F3E2 0x52B9CE5C 0x4922282
91 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
92 1268 118 0x5216F3E2 0x52B9CE5C 0x4922282
93 1268 82 0x5216F3E2 0x52B9CE5C 0x4922282
94 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
95 1268 75 0x5216F3E2 0x52B9CE5C 0x4922282
96 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
97 1268 101 0x5216F3E2 0x52B9CE5C 0x4922282
98 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
99 1268 125 0x5216F3E2 0x52B9CE5C 0x4922282
100 1269 79 0x5216F3E2 0x52B9CE5C 0x4922282
101 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
102 1268 81 0x5216F3E2 0x52B9CE5C 0x4922282
103 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
104 1268 77 0x5216F3E2 0x52B9CE5C 0x4922282
105 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
106 1268 55 0x5216F3E2 0x52B9CE5C 0x4922282
107 1267 122 0x5216F3E2 0x52B9CE5C 0x4922282
108 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
109 1268 69 0x5216F3E2 0x52B9CE5C 0x4922282
110 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
111 1268 54 0x5216F3E2 0x52B9CE5C 0x4922282
112 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
113 1269 54 0x5216F3E2 0x52B9CE5C 0x4922282
114 1268 106 0x5216F3E2 0x52B9CE5C 0x4922282
115 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
116 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
117 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
118 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
119 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
120 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
121 1267 102 0x5216F3E2 0x52B9CE5C 0x4922282
122 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
123 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
124 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
125 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
126 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
127 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
128 1268 102 0x5216F3E2 0x52B9CE5C 0x4922282
129 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
130 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
131 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
132 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
133 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
134 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
135 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
136 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
137 1268 102 0x5216F3E2 0x52B9CE5C 0x4922282
138 1269 0 0x5216F3E2 0x52B9CE5C 0x4922282
139 1267 102 0x5216F3E2 0x52B9CE5C 0x4922282
140 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
141 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
142 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
143 1269 51 0x5216F3E2 0x52B9CE5C 0x4922282
144 1268 51 0x5216F3E2 0x52B9CE5C 0x4922282
