1 1297 52 3857 70060 70065 94781 96498 96504 3857
2 1298 51 3859 70993 70998 96052 97805 97811 3859
3 1297 102 3861 71929 71933 97289 99110 99116 3861
4 1298 51 3865 72862 72867 98505 100416 100422 3865
5 1298 51 3867 73798 73803 99792 101722 101728 3867
6 1298 52 3869 74732 74736 101036 103028 103034 3869
7 1299 51 3871 75667 75671 102342 104334 104340 3871
8 1299 51 3873 76604 76607 103650 105642 105648 3873
9 1300 102 3875 77539 77544 104961 106953 106959 3875
10 1301 51 3879 78475 78479 106269 108261 108268 3879
11 1301 51 3881 79413 79418 107579 109571 109577 3881
12 1303 51 3883 80349 80354 108845 110882 110888 3883
13 1301 51 3885 81286 81290 110111 112192 112198 3885
14 1300 102 3887 82222 82228 111347 113502 113509 3887
15 1301 51 3891 83160 83165 112639 114810 114817 3891
16 1300 51 3893 84096 84100 113940 116119 116126 3893
17 1299 51 3895 85032 85036 115190 117428 117434 3895
18 1298 51 3897 85967 85972 116498 118736 118742 3897
19 1299 51 3899 86902 86907 117746 120043 120049 3899
20 1300 51 3901 87837 87841 119019 121352 121358 3901
21 1297 102 3903 88774 88777 120246 122659 122665 3903
22 1299 51 3907 89707 89711 121538 123964 123970 3907
23 1298 51 3909 90641 90646 122845 125271 125277 3909
24 1298 51 3911 91577 91581 124151 126578 126584 3911
25 1298 51 3913 92511 92514 125457 127884 127890 3913
26 1298 51 3915 93444 93449 126764 129191 129197 3915
27 1298 51 3917 94380 94385 128070 130498 130504 3917
28 1299 51 3919 95315 95320 129377 131805 131812 3919
29 1299 51 3921 96251 96256 130685 133113 133119 3921
30 1298 102 3923 97187 97190 131993 134421 134427 3923
31 1302 0 3927 98123 98127 133300 135729 135735 3927
32 1298 102 3927 99057 99062 134609 137037 137043 3927
33 1298 51 3931 99995 99999 135895 138343 138349 3931
34 1299 51 3933 100929 100934 137117 139650 139656 3933
35 1298 51 3935 101863 101867 138424 140957 140963 3935
36 1298 51 3937 102798 102802 139731 142264 142270 3937
37 1298 51 3939 103733 103737 141038 143571 143576 3939
38 1298 51 3941 104668 104673 142344 144877 144883 3941
39 1299 51 3943 105602 105606 143651 146184 146190 3943
40 1298 51 3945 106536 106541 144958 147491 147497 3945
41 1299 51 3947 107470 107475 146265 148798 148804 3947
42 1298 51 3949 108405 108409 147572 150105 150111 3949
43 1298 51 3951 109340 109344 148812 151412 151418 3951
44 1299 51 3953 110274 110279 150074 152719 152726 3953
45 1299 51 3955 111211 111215 151309 154027 154033 3955
46 1299 51 3957 112146 112150 152576 155334 155340 3957
47 1299 51 3959 113081 113084 153883 156642 156647 3959
48 1298 51 3961 114015 114019 155189 157948 157954 3961
49 1299 51 3963 114948 114953 156496 159255 159261 3963
50 1299 51 3965 115882 115886 157803 160563 160568 3965
51 1299 51 3967 116816 116821 159111 161870 161876 3967
52 1299 51 3971 117753 117758 160349 163175 163181 3971
53 1297 102 3971 118688 118692 161657 164483 164489 3971
54 1299 0 3975 119621 119625 162957 165788 165795 3975
55 1298 102 3975 120556 120560 164172 167097 167103 3975
56 1299 0 3979 121490 121494 165398 168403 168409 3979
57 1297 102 3979 122424 122429 166706 169711 169717 3979
58 1299 0 3983 123360 123364 168012 171017 171023 3983
59 1297 102 3983 124294 124298 169320 172325 172331 3983
60 1299 51 3987 125230 125235 170558 173631 173637 3987
61 1299 51 3989 126164 126168 171865 174938 174944 3989
62 1299 51 3991 127097 127102 173173 176246 176252 3991
63 1299 51 3993 128033 128038 174473 177553 177559 3993
64 1299 51 3995 128969 128972 175721 178860 178866 3995
65 1299 51 3997 129906 129910 177028 180167 180173 3997
66 1298 51 3999 130840 130845 178335 181474 181480 3999
67 1298 51 4001 131777 131782 179642 182781 182787 4001
68 1299 51 4003 132712 132717 180905 184088 184095 4003
69 1299 51 4005 133646 133650 182144 185395 185401 4005
70 1299 51 4007 134583 134588 183402 186703 186709 4007
71 1299 51 4009 135517 135522 184646 188010 188016 4009
72 1299 51 4011 136452 136457 185952 189316 189322 4011
73 1298 51 4013 137386 137391 187258 190622 190629 4013
74 1299 28942 4015 138319 138324 188565 191929 191935 4015
75 1299 34236 4576 139415 139421 189871 193237 193243 4016
76 1299 50046 5215 140531 140536 191178 194543 194550 4018
77 1299 19256 6108 141720 141726 192485 195851 195857 4946
78 1299 83892 6439 142749 142753 193723 197158 197164 5242
79 1298 16117 7670 144035 144042 195025 198464 198470 5245
80 1299 58740 7953 145050 145056 196332 199771 199777 5546
81 1299 97 8959 146270 146275 197616 201079 201085 6517
82 1298 51 8961 147205 147209 198875 202385 202391 6519
