label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
148nearph1,/mnt/onetb/scratch/qpsk_variants/two_jup/gn_ph1.iq,16,16,100.000,1920,0,0.00000000,0.00000000
146to148odd,/mnt/onetb/scratch/qpsk_variants/two_jup/soak146b_odd.iq,43,0,0.000,5160,2226,0.43139535,0.43035714
FDD 146->148,/mnt/onetb/scratch/qpsk_variants/two_jup/fdd_146to148_dec2.iq,44,0,0.000,5280,2290,0.43371212,0.43255814
FDD 148->146,/mnt/onetb/scratch/qpsk_variants/two_jup/fdd_148to146_dec2.iq,43,0,0.000,5160,2241,0.43430233,0.43313492
ISO 148->146 (146 Tx off),/mnt/onetb/scratch/qpsk_variants/two_jup/iso_148to146_dec2.iq,44,0,0.000,5280,2301,0.43579545,0.43430233
148->146 @2.0,/mnt/onetb/scratch/qpsk_variants/two_jup/t148to146_dec2.iq,43,0,0.000,5160,2283,0.44244186,0.44126984
146->148 @2.0,/mnt/onetb/scratch/qpsk_variants/two_jup/t146to148_dec2.iq,43,0,0.000,5160,2344,0.45426357,0.45277778
ph0,/mnt/onetb/scratch/qpsk_variants/two_jup/t148_ph0.iq,43,0,0.000,5160,2283,0.44244186,0.44126984
ph1,/mnt/onetb/scratch/qpsk_variants/two_jup/t148_ph1.iq,43,0,0.000,5160,2243,0.43468992,0.43353175
148->146 clean ph0,/mnt/onetb/scratch/qpsk_variants/two_jup/clean148_ph0.iq,65,65,100.000,7800,0,0.00000000,0.00000000
148->146 clean ph1,/mnt/onetb/scratch/qpsk_variants/two_jup/clean148_ph1.iq,65,65,100.000,7800,0,0.00000000,0.00000000
146->148 clean,/mnt/onetb/scratch/qpsk_variants/two_jup/rev146_dec2.iq,55,54,98.182,6600,45,0.00681818,0.00000000
fail240,/mnt/onetb/scratch/qpsk_variants/two_jup/fail240_dec2.iq,44,0,0.000,5280,2306,0.43674242,0.43527132
ctrl2.0,/mnt/onetb/scratch/qpsk_variants/two_jup/ctrl20_dec2.iq,32,0,0.000,3840,1663,0.43307292,0.43145161
ne146now,/mnt/onetb/scratch/qpsk_variants/two_jup/ne146_now_dec2.iq,21,21,100.000,2520,0,0.00000000,0.00000000
