# outframe clk nwords cksum16 cfc_est sw stale rep
0 453502 191 0 -2031 0 0 0
1 650830 191 63401 -2052 0 0 0
2 848158 191 62453 -2066 0 0 0
3 1045486 191 60275 -2032 3 3 0
4 1242814 191 60897 -2052 0 0 0
5 1440142 191 59714 -2055 0 0 0
6 1637470 191 61403 -2070 0 0 0
7 1834798 191 63219 -2068 0 0 0
8 2032126 191 62394 -2045 0 0 0
9 2229454 191 60935 -2026 0 0 0
10 2426782 191 60406 -2036 0 0 0
11 2624110 191 56998 -2054 3 3 0
12 2821438 191 61628 -2038 0 0 0
13 3018766 191 62632 -2038 0 0 0
14 3216094 191 60542 -2058 0 0 0
15 3413422 191 61223 -2031 0 0 0
16 3610750 191 61303 -2049 0 0 0
17 3808078 191 63601 -2037 0 0 0
18 4005406 191 62638 -2053 0 0 0
19 4202734 191 60874 -2038 0 0 0
20 4400062 191 61542 -2071 0 0 0
21 4597390 191 61186 -2053 0 0 0
22 4794718 191 60815 -2067 0 0 0
23 4992046 191 62052 -2070 0 0 0
24 5189374 191 61115 -2048 0 0 0
25 5386702 191 60142 -2049 0 0 0
26 5584030 191 61673 -2058 0 0 0
27 5781358 191 62762 -2040 0 0 0
28 5978686 191 61221 -2030 0 0 0
29 6176014 191 62523 -2043 0 0 0
30 6373342 191 60334 -2057 0 0 0
31 6570670 191 60875 -2042 0 0 0
32 6767998 191 61540 -2038 0 0 0
33 6965326 191 61733 -2050 0 0 0
34 7162654 191 63107 -2046 0 0 0
35 7359982 191 61369 -2023 3 3 0
36 7557310 191 61719 -2044 0 0 0
37 7754638 191 62883 -2015 0 0 0
38 7951966 191 60658 -2061 0 0 0
39 8149294 191 60346 -2065 0 0 0
40 8346622 191 60569 -2055 0 0 0
41 8543950 191 60122 -2068 0 0 0
42 8741278 191 61069 -2031 0 0 0
43 8938606 191 60068 -2000 3 3 0
44 9135934 191 62096 -2080 0 0 0
45 9333262 191 62795 -2051 0 0 0
46 9530590 191 60859 -1991 0 0 0
47 9727918 191 60866 -2026 0 0 0
48 9925246 191 61554 -2003 0 0 0
49 10122574 191 62495 -1982 0 0 0
50 10319902 191 61429 -2032 0 0 0
51 10517230 191 59984 -2039 0 0 0
52 10714558 191 60094 -2009 0 0 0
53 10911886 191 60928 -2033 0 0 0
54 11109214 191 61615 -2040 0 0 0
55 11306542 191 62149 -2014 0 0 0
56 11503870 191 62826 -2030 0 0 0
57 11701198 191 61238 -2018 0 0 0
58 11898526 191 60636 -1975 0 0 0
59 12095854 191 61305 -2083 0 0 0
60 12293182 191 59976 -2029 0 0 0
61 12490510 191 60647 -2056 0 0 0
62 12687838 191 61016 -1994 0 0 0
63 12885166 191 58845 -1997 0 0 0
64 13082494 191 59512 -2071 0 0 0
65 13279822 191 60471 -2025 0 0 0
66 13477150 191 60789 -2056 0 0 0
67 13674478 191 63690 -2020 0 0 0
68 13871806 191 60975 -2009 3 3 0
69 14069134 191 60717 -1997 0 0 0
70 14266462 191 62807 -2040 0 0 0
71 14463790 191 59968 -2065 0 0 0
72 14661118 191 60817 -2084 0 0 0
73 14858446 191 61419 -2026 0 0 0
74 15055774 191 59366 -2077 0 0 0
75 15253102 191 60403 -2033 0 0 0
76 15450430 191 60993 -2007 3 3 0
77 15647758 191 61113 -2008 0 0 0
78 15845086 191 59649 -1995 0 0 0
79 16042414 191 62610 -2047 0 0 0
80 16239742 191 61691 -2021 0 0 0
81 16437070 191 61218 -2015 0 0 0
82 16634398 191 59819 -1997 0 0 0
83 16831726 191 62486 -1980 0 0 0
84 17029054 191 61505 -2012 0 0 0
85 17226382 191 61599 -2000 0 0 0
86 17423710 191 60254 -2041 0 0 0
87 17621038 191 61763 -2026 0 0 0
88 17818366 191 61421 -1980 0 0 0
89 18015694 191 60648 -2018 0 0 0
90 18213022 191 59358 -2031 0 0 0
91 18410350 191 60195 -1934 0 0 0
92 18607678 191 63026 -1994 0 0 0
93 18805006 191 60904 -2054 0 0 0
94 19002334 191 59935 -2008 0 0 0
95 19199662 191 60481 -2022 0 0 0
96 19396990 191 63325 -2040 0 0 0
97 19594318 191 63297 -2099 0 0 0
98 19791646 191 60024 -2025 0 0 0
99 19988974 191 60950 -2022 0 0 0
100 20186302 191 62879 -1998 0 0 0
101 20383630 191 61936 -2048 0 0 0
102 20580958 191 60901 -2020 0 0 0
103 20778286 191 60991 -2033 0 0 0
104 20975614 191 61011 -2012 0 0 0
105 21172942 191 62416 -2042 0 0 0
106 21370270 191 61659 -2055 0 0 0
107 21567598 191 61239 -2064 0 0 0
108 21764926 191 61674 -2069 3 3 0
109 21962254 191 60527 -2014 0 0 0
110 22159582 191 63114 -2066 0 0 0
111 22356910 191 60685 -2089 0 0 0
112 22554238 191 59769 -2040 0 0 0
113 22751566 191 60367 -1978 0 0 0
114 22948894 191 63079 -2035 0 0 0
115 23146222 191 62911 -1996 0 0 0
116 23343550 191 63512 -2026 0 0 0
117 23540878 191 60552 -2031 0 0 0
118 23738206 191 61438 -2026 0 0 0
119 23935534 191 61291 -2060 0 0 0
120 24132862 191 61062 -2060 0 0 0
121 24330190 191 62061 -2015 0 0 0
122 24527518 191 59835 -2035 0 0 0
123 24724846 191 60727 -2070 0 0 0
124 24922174 191 61615 -2024 0 0 0
125 25119502 191 61652 -2030 0 0 0
126 25316830 191 61392 -2041 0 0 0
127 25514158 191 63560 -2036 0 0 0
128 25711486 191 61870 -2069 0 0 0
129 25908814 191 62581 -2027 0 0 0
130 26106142 191 60909 -2049 0 0 0
131 26303470 191 61530 -2039 0 0 0
132 26500798 191 61146 -2066 3 3 0
133 26698126 191 63574 -2054 0 0 0
134 26895454 191 59280 -2039 0 0 0
135 27092782 191 61187 -2068 0 0 0
136 27290110 191 61525 -2044 0 0 0
137 27487438 191 60643 -2068 0 0 0
138 27684766 191 61836 -2039 0 0 0
139 27882094 191 59980 -2074 0 0 0
140 28079422 191 63601 -2042 3 3 0
141 28276750 191 60708 -2053 0 0 0
142 28474078 191 61243 -2050 0 0 0
143 28671406 191 60568 -2063 0 0 0
144 28868734 191 61537 -2019 0 0 0
145 29066062 191 60641 -2025 0 0 0
146 29263390 191 59695 -2010 0 0 0
147 29460718 191 61804 -2002 0 0 0
148 29658046 191 62405 -2044 0 0 0
149 29855374 191 61047 -2047 0 0 0
150 30052702 191 61051 -2050 0 0 0
151 30250030 191 62683 -2050 0 0 0
152 30447358 191 61911 -2032 0 0 0
153 30644686 191 61377 -2077 0 0 0
154 30842014 191 61379 -2064 0 0 0
155 31039342 191 61246 -2026 0 0 0
156 31236670 191 61287 -2039 0 0 0
157 31433998 191 61248 -2060 0 0 0
158 31631326 191 62697 -2030 0 0 0
159 31828654 191 63287 -2081 0 0 0
160 32025982 191 60884 -2036 0 0 0
161 32223310 191 61821 -2055 0 0 0
162 32420638 191 61405 -2009 0 0 0
163 32617966 191 61566 -2044 0 0 0
164 32815294 191 59791 -2064 0 0 0
165 33012622 191 61771 -2045 0 0 0
166 33209950 191 60360 -2055 0 0 0
167 33407278 191 61179 -2067 0 0 0
168 33604606 191 61521 -2042 0 0 0
169 33801934 191 61164 -2053 0 0 0
170 33999262 191 60668 -2043 0 0 0
171 34196590 191 63230 -2061 0 0 0
172 34393918 191 62117 -2060 3 3 0
173 34591246 191 61909 -2042 0 0 0
174 34788574 191 61256 -2034 0 0 0
175 34985902 191 62615 -2022 0 0 0
176 35183230 191 61693 -2048 0 0 0
177 35380558 191 61905 -2036 0 0 0
178 35577886 191 61319 -2037 0 0 0
179 35775214 191 61771 -2048 0 0 0
