# outframe clk nwords cksum16 cfc_est sw stale rep
0 453406 191 0 -2031 0 0 0
1 650734 191 59838 -2047 0 0 0
2 848062 191 61614 -2028 0 0 0
3 1045390 191 61131 -2062 0 0 0
4 1242718 191 60329 -2056 0 0 0
5 1440046 191 63093 -2043 0 0 0
6 1637374 191 61496 -2064 0 0 0
7 1834702 191 62734 -2037 0 0 0
8 2032030 191 62008 -2047 0 0 0
9 2229358 191 59331 -2055 0 0 0
10 2426686 191 61974 -2059 0 0 0
11 2624014 191 60943 -2065 0 0 0
12 2821342 191 61396 -2048 0 0 0
13 3018670 191 60866 -2053 0 0 0
14 3215998 191 61417 -2033 0 0 0
15 3413326 191 60315 -2056 0 0 0
16 3610654 191 63021 -2043 0 0 0
17 3807982 191 61040 -2056 0 0 0
18 4005310 191 60640 -2059 0 0 0
19 4202638 191 60953 -2044 0 0 0
20 4399966 191 59680 -2058 0 0 0
21 4597294 191 62676 -2049 0 0 0
22 4794622 191 61386 -2034 0 0 0
23 4991950 191 60976 -2048 0 0 0
24 5189278 191 60463 -2058 0 0 0
25 5386606 191 62808 -2044 0 0 0
26 5583934 191 61987 -2078 0 0 0
27 5781262 191 61458 -2050 0 0 0
28 5978590 191 59564 -2062 0 0 0
29 6175918 191 62115 -2049 0 0 0
30 6373246 191 61194 -2053 0 0 0
31 6570574 191 61675 -2064 0 0 0
32 6767902 191 61733 -2040 0 0 0
33 6965230 191 59912 -2047 0 0 0
34 7162558 191 59328 -2088 0 0 0
35 7359886 191 61133 -2044 0 0 0
36 7557214 191 59931 -2053 0 0 0
37 7754542 191 61258 -2035 0 0 0
38 7951870 191 61098 -2064 0 0 0
39 8149198 191 59686 -2034 0 0 0
40 8346526 191 59817 -2055 0 0 0
41 8543854 191 61339 -2060 0 0 0
42 8741182 191 59349 -2055 0 0 0
43 8938510 191 60479 -2062 0 0 0
44 9135838 191 61750 -2062 0 0 0
45 9333166 191 60377 -2046 0 0 0
46 9530494 191 61164 -2063 0 0 0
47 9727822 191 62814 -2034 0 0 0
48 9925150 191 59455 -2047 0 0 0
49 10122478 191 62812 -2066 0 0 0
50 10319806 191 59974 -2056 0 0 0
51 10517134 191 60642 -2051 0 0 0
52 10714462 191 62346 -2036 0 0 0
53 10911790 191 63014 -2044 0 0 0
54 11109118 191 62297 -2059 0 0 0
55 11306446 191 60140 -2048 0 0 0
56 11503774 191 61580 -2048 0 0 0
57 11701102 191 59290 -2053 0 0 0
58 11898430 191 61533 -2057 0 0 0
59 12095758 191 60827 -2068 0 0 0
60 12293086 191 60851 -2054 0 0 0
61 12490414 191 61471 -2049 0 0 0
62 12687742 191 60238 -2045 0 0 0
63 12885070 191 60887 -2062 0 0 0
64 13082398 191 61011 -2045 0 0 0
65 13279726 191 62533 -2053 0 0 0
66 13477054 191 63200 -2033 0 0 0
67 13674382 191 61017 -2049 0 0 0
68 13871710 191 62211 -2034 0 0 0
69 14069038 191 60194 -2056 0 0 0
70 14266366 191 61508 -2053 0 0 0
71 14463694 191 61386 -2045 0 0 0
