# outframe clk nwords cksum16 cfc_est sw stale rep
151 30249742 191 59883 -2044 0 0 0
152 30447070 191 60416 -2045 0 0 0
153 30644398 191 59300 -2051 0 0 0
154 30841726 191 60378 -2050 0 0 0
155 31039054 191 63352 -2043 0 0 0
156 31236382 191 61219 -2047 0 0 0
157 31433710 191 62456 -2037 0 0 0
158 31631038 191 60795 -2054 0 0 0
159 31828366 191 60414 -2028 0 0 0
160 32025694 191 61436 -2044 0 0 0
161 32223022 191 59288 -2024 0 0 0
162 32420350 191 61375 -2043 0 0 0
163 32617678 191 60826 -2064 0 0 0
164 32815006 191 61389 -2065 3 3 0
165 33012334 191 60426 -2055 0 0 0
166 33209662 191 60386 -2033 0 0 0
167 33406990 191 61647 -2045 0 0 0
168 33604318 191 61264 -2026 0 0 0
169 33801646 191 62749 -2067 0 0 0
170 33998974 191 61144 -2051 0 0 0
171 34196302 191 61869 -2053 0 0 0
172 34393630 191 62292 -2071 0 0 0
173 34590958 191 61411 -2025 0 0 0
174 34788286 191 59047 -2040 0 0 0
175 34985614 191 62612 -2054 0 0 0
176 35182942 191 60500 -2039 0 0 0
177 35380270 191 61762 -2039 0 0 0
178 35577598 191 62752 -2047 0 0 0
179 35774926 191 62237 -2040 0 0 0
180 35972254 191 59641 -2053 0 0 0
181 36169582 191 61320 -2064 0 0 0
182 36366910 191 62680 -2042 0 0 0
183 36564238 191 61177 -2046 0 0 0
184 36761566 191 61034 -2045 0 0 0
185 36958894 191 60476 -2054 0 0 0
186 37156222 191 60650 -2059 0 0 0
187 37353550 191 60274 -2054 0 0 0
188 37550878 191 60499 -2058 0 0 0
189 37748206 191 60886 -2054 0 0 0
190 37945534 191 61096 -2074 0 0 0
191 38142862 191 62954 -2045 0 0 0
192 38340190 191 62131 -2033 0 0 0
193 38537518 191 60996 -2082 0 0 0
194 38734846 191 59886 -2031 0 0 0
195 38932174 191 61468 -2053 0 0 0
196 39129502 191 63987 -2034 3 3 0
197 39326830 191 61587 -2018 0 0 0
198 39524158 191 59791 -2054 0 0 0
199 39721486 191 60393 -2003 0 0 0
200 39918814 191 60911 -2043 0 0 0
201 40116142 191 61532 -2057 0 0 0
202 40313470 191 59190 -2040 0 0 0
203 40510798 191 61935 -2042 0 0 0
204 40708126 191 61169 -2048 3 3 0
205 40905454 191 59080 -2047 0 0 0
206 41102782 191 60670 -2008 0 0 0
207 41300110 191 59715 -2001 0 0 0
208 41497438 191 62089 -263 0 0 0
