# hitword clk gated frame
700 980686 1 3
2236 2567502 1 11
6844 7327950 1 35
8380 8914766 0 43
12988 13676958 0 68
14524 15263774 1 76
19132 20024222 0 100
20668 21611038 1 108
25276 26371486 1 132
26812 27958302 0 140
31420 32718750 1 164
32956 34305566 0 172
37564 39066014 1 196
39100 40652830 1 204
