# outframe clk nwords cksum16 cfc_est sw stale rep
0 453310 191 0 -2065 0 0 0
1 650638 191 61044 -2052 0 0 0
2 847966 191 60710 -2032 0 0 0
3 1045294 191 61309 -2064 3 0 3
4 1242622 191 61220 -2029 0 0 0
5 1439950 191 61397 -2048 0 0 0
6 1637278 191 63105 -2053 0 0 0
7 1834606 191 61105 -2054 0 0 0
8 2031934 191 61179 -2057 0 0 0
9 2229262 191 62440 -2058 0 0 0
10 2426590 191 60569 -2028 0 0 0
11 2623918 191 63620 -2049 3 0 3
12 2821246 191 62326 -2041 0 0 0
13 3018574 191 61456 -2070 0 0 0
14 3215902 191 61963 -2073 0 0 0
15 3413230 191 61528 -2043 0 0 0
16 3610558 191 61080 -2059 0 0 0
17 3807886 191 60651 -2070 0 0 0
18 4005214 191 61653 -2030 0 0 0
19 4202542 191 61669 -2036 0 0 0
20 4399870 191 60901 -2047 0 0 0
21 4597198 191 62871 -2014 0 0 0
22 4794526 191 61141 -2061 0 0 0
23 4991854 191 60079 -2020 0 0 0
24 5189182 191 59751 -2075 0 0 0
25 5386510 191 60880 -2032 0 0 0
26 5583838 191 61001 -2041 0 0 0
27 5781166 191 62648 -2050 0 0 0
28 5978494 191 62987 -2013 0 0 0
29 6175822 191 60625 -2048 0 0 0
30 6373150 191 60969 -2059 0 0 0
31 6570478 191 63467 -2025 0 0 0
32 6767806 191 62186 -2055 0 0 0
33 6965134 191 61292 -2025 0 0 0
34 7162462 191 61223 -2057 0 0 0
35 7359790 191 59414 -2029 0 0 0
36 7557118 191 60687 -2050 0 0 0
37 7754446 191 63241 -2039 0 0 0
38 7951774 191 62480 -2041 0 0 0
39 8149102 191 63095 -2037 0 0 0
40 8346430 191 60502 -2071 0 0 0
41 8543758 191 62264 -2018 0 0 0
42 8741086 191 62824 -2056 0 0 0
43 8938414 191 60704 -2027 3 0 3
44 9135742 191 62406 -2040 0 0 0
45 9333070 191 60675 -2051 0 0 0
46 9530398 191 61026 -2016 0 0 0
47 9727726 191 62013 -2074 0 0 0
48 9925054 191 61220 -2015 0 0 0
49 10122382 191 61098 -2015 0 0 0
50 10319710 191 62038 -2033 0 0 0
51 10517038 191 60197 -2045 0 0 0
52 10714366 191 60683 -2044 0 0 0
53 10911694 191 60227 -2034 0 0 0
54 11109022 191 61638 -2031 0 0 0
55 11306350 191 61057 -2032 0 0 0
56 11503678 191 60928 -2040 0 0 0
57 11701006 191 59823 -2045 0 0 0
58 11898334 191 63793 -2026 0 0 0
59 12095662 191 59918 -2030 0 0 0
60 12292990 191 60974 -2036 0 0 0
61 12490318 191 62140 -2030 0 0 0
62 12687646 191 60682 -2063 0 0 0
63 12884974 191 62509 -2035 0 0 0
64 13082302 191 60946 -2055 0 0 0
65 13279630 191 59909 -2050 0 0 0
66 13476958 191 60165 -2020 0 0 0
67 13674286 191 60717 -2045 0 0 0
68 13871614 191 60255 -2058 0 0 0
69 14068942 191 61416 -2051 0 0 0
70 14266270 191 61377 -2037 0 0 0
71 14463598 191 61802 -2045 0 0 0
72 14660926 191 62762 -2052 0 0 0
73 14858254 191 61284 -2054 0 0 0
74 15055582 191 61776 -2012 0 0 0
75 15252910 191 62165 -2052 0 0 0
76 15450238 191 60869 -2050 3 0 3
77 15647566 191 60522 -2053 0 0 0
78 15844894 191 61676 -2033 0 0 0
79 16042222 191 62357 -2033 0 0 0
80 16239550 191 61773 -2021 0 0 0
81 16436878 191 60561 -2009 0 0 0
82 16634206 191 62810 -2032 0 0 0
83 16831534 191 59238 -2035 0 0 0
84 17028862 191 61944 -2051 0 0 0
85 17226190 191 62045 -2028 0 0 0
86 17423518 191 61468 -2040 0 0 0
87 17620846 191 63462 -2050 0 0 0
88 17818174 191 60648 -2057 0 0 0
89 18015502 191 60350 -2046 0 0 0
90 18212830 191 62572 -2057 0 0 0
91 18410158 191 63415 -2051 0 0 0
92 18607486 191 60968 -2043 0 0 0
93 18804814 191 61334 -2052 0 0 0
94 19002142 191 60572 -2071 0 0 0
95 19199470 191 60436 -2046 0 0 0
96 19396798 191 62428 -2080 0 0 0
97 19594126 191 61638 -2048 0 0 0
98 19791454 191 58807 -2042 0 0 0
99 19988782 191 62661 -2048 0 0 0
100 20186110 191 62109 -2043 3 0 3
101 20383438 191 63281 -2049 0 0 0
102 20580766 191 61292 -2040 0 0 0
103 20778094 191 61085 -2062 0 0 0
104 20975422 191 61275 -2045 0 0 0
105 21172750 191 59602 -2036 0 0 0
106 21370078 191 61061 -2047 0 0 0
107 21567406 191 61765 -2073 0 0 0
108 21764734 191 60035 -2033 3 0 3
109 21962062 191 60864 -2039 0 0 0
110 22159390 191 61155 -2054 0 0 0
111 22356718 191 62636 -2063 0 0 0
112 22554046 191 60904 -2067 0 0 0
113 22751374 191 60682 -2062 0 0 0
114 22948702 191 61414 -2069 0 0 0
115 23146030 191 60534 -2061 0 0 0
116 23343358 191 62983 -2039 0 0 0
117 23540686 191 60273 -2076 0 0 0
118 23738014 191 61025 -2067 0 0 0
119 23935342 191 62518 -2048 0 0 0
120 24132670 191 62660 -2052 0 0 0
121 24329998 191 61804 -2075 0 0 0
122 24527326 191 61668 -2058 0 0 0
123 24724654 191 61801 -2053 0 0 0
124 24921982 191 59932 -2063 0 0 0
125 25119310 191 59432 -2059 0 0 0
126 25316638 191 62681 -2054 0 0 0
127 25513966 191 62713 -2045 0 0 0
128 25711294 191 60512 -2031 0 0 0
129 25908622 191 59711 -2049 0 0 0
130 26105950 191 60208 -2053 0 0 0
131 26303278 191 62214 -2061 0 0 0
132 26500606 191 60540 -2047 3 0 3
133 26697934 191 60463 -2049 0 0 0
134 26895262 191 61564 -2030 0 0 0
135 27092590 191 60814 -2057 0 0 0
136 27289918 191 61358 -2026 0 0 0
137 27487246 191 60435 -2036 0 0 0
138 27684574 191 62096 -2061 0 0 0
139 27881902 191 62407 -2035 0 0 0
140 28079230 191 63599 -2036 3 0 3
141 28276558 191 61199 -2045 0 0 0
142 28473886 191 61659 -2058 0 0 0
143 28671214 191 61401 -2035 0 0 0
144 28868542 191 60871 -2068 0 0 0
145 29065870 191 60938 -2024 0 0 0
146 29263198 191 60588 -2022 0 0 0
147 29460526 191 61233 -2055 0 0 0
148 29657854 191 61458 -2056 0 0 0
149 29855182 191 60605 -2045 0 0 0
150 30052510 191 62429 -2073 0 0 0
151 30249838 191 63236 -2009 0 0 0
152 30447166 191 60795 -2038 0 0 0
153 30644494 191 61890 -1990 0 0 0
154 30841822 191 63050 -2024 0 0 0
155 31039150 191 59829 -2062 0 0 0
156 31236478 191 61168 -2058 0 0 0
157 31433806 191 61000 -2039 0 0 0
158 31631134 191 60460 -2046 0 0 0
159 31828462 191 60242 -2016 0 0 0
160 32025790 191 60077 -2001 0 0 0
161 32223118 191 60484 -2005 0 0 0
162 32420446 191 62064 -2038 0 0 0
163 32617774 191 62043 -2027 0 0 0
164 32815102 191 62497 -2017 3 0 3
165 33012430 191 61782 -2007 0 0 0
166 33209758 191 60971 -2047 0 0 0
167 33407086 191 63048 -1994 0 0 0
168 33604414 191 60567 -1998 0 0 0
169 33801742 191 60828 -2017 0 0 0
170 33999070 191 60074 -2019 0 0 0
171 34196398 191 59698 -2019 0 0 0
172 34393726 191 61336 -2045 3 0 3
173 34591054 191 59758 -2012 0 0 0
174 34788382 191 62244 -2007 0 0 0
175 34985710 191 63478 -2005 0 0 0
176 35183038 191 61438 -2086 0 0 0
177 35380366 191 60370 -2037 0 0 0
178 35577694 191 61304 -2039 0 0 0
179 35775022 191 61729 -2033 0 0 0
180 35972350 191 62633 -2059 0 0 0
181 36169678 191 61412 -2023 0 0 0
182 36367006 191 60977 -2017 0 0 0
183 36564334 191 59433 -1995 0 0 0
184 36761662 191 62196 -2038 0 0 0
185 36958990 191 61470 -2033 0 0 0
186 37156318 191 62365 -2067 0 0 0
187 37353646 191 60574 -2025 0 0 0
188 37550974 191 60248 -2030 0 0 0
189 37748302 191 61671 -2037 0 0 0
190 37945630 191 62313 -2021 0 0 0
191 38142958 191 60560 -2003 0 0 0
192 38340286 191 62736 -2004 0 0 0
193 38537614 191 59717 -2051 0 0 0
194 38734942 191 60401 -2013 0 0 0
195 38932270 191 61187 -2041 0 0 0
196 39129598 191 63834 -2008 3 0 3
197 39326926 191 60645 -2021 0 0 0
198 39524254 191 62627 -2005 0 0 0
199 39721582 191 63786 -2025 0 0 0
200 39918910 191 61158 -2019 0 0 0
201 40116238 191 60744 -2004 0 0 0
202 40313566 191 60502 -2027 0 0 0
203 40510894 191 61774 -2020 0 0 0
204 40708222 191 62758 -2005 3 0 3
205 40905550 191 60458 -2052 0 0 0
206 41102878 191 62291 -1986 0 0 0
207 41300206 191 62542 -2059 0 0 0
208 41497534 191 60491 -251 0 0 0
