# word	offset_bits  (frame=24640 bits; window=32 bits, LSB-packed from FEC startIn)
03BFDA6B	23459
03C0EEC8	19571
03C64D66	6976
03C71B05	17238
03C9E3ED	10515
03CC67F8	14737
03D1150A	15106
03D3C59B	16432
03D52283	8988
03D6EBD8	20108
03DBC166	11117
03DC6220	18997
03DD5F50	15634
03E3088C	3895
03E82FEA	18705
03EACAD2	7226
03ED9B12	10316
03EF444D	7816
03F012CB	1042
03F04244	7941
03F14789	4690
03F3734B	21756
03F3A638	9555
03F44A3B	7186
03FACDDF	14420
03FB91A6	20729
03FED239	22490
03FFB799	9275
040452C5	20559
0407ADD7	20115
040D9182	10608
040DEA35	18598
040F548A	8994
040FB66C	10322
041381E3	17255
0413F675	1114
041517E9	16206
0415FF87	18539
04183215	13911
0418D1D0	18504
0420561B	17021
04244B7F	7929
0424D48C	911
0429D83E	3926
042A3146	2796
042DF634	14035
043086D9	1607
0431EA9D	8229
04329D94	11459
0433C493	3412
0434DA4C	22246
0434F29C	21811
043669EA	1522
043C826A	15415
043CE2C1	12420
043EEBFA	380
04402347	10142
04407FDA	22501
0440D498	15852
0446887C	20078
044BBB71	23175
044D299E	22423
044D5235	24478
044E2869	16256
044FE903	11991
045024B3	13494
0450A094	11943
0452C563	20551
045319C5	12329
04576065	23320
04580B02	21670
045BC721	18431
045BE886	16329
045C458C	3036
045DA66D	20047
045F57CF	21906
04625157	8172
0462721F	2546
046535CC	16630
0466755F	14795
0466C209	3651
046831C9	1850
0468E6AC	10129
0468FBB1	5006
046A1BBB	19259
046ABE6B	8019
046FAE5A	9149
04751096	21177
0476CEF9	14953
0478FBE2	18753
047989C1	5810
047B8C38	13396
047D467A	22860
0480B94F	23103
048491BF	11209
048630F9	12140
048B277D	21711
04914B72	11078
0493FE9C	21522
04967C29	13481
049EDC42	3125
04A1AB86	4316
04A5E187	11924
04A6377A	4149
04A67F55	18265
04A8DED8	9389
04ADCBE4	11411
04B12C04	14059
04B2D7D1	1028
04B314E8	6041
04B6B27C	15202
04B87D8E	10643
04BB51C3	1575
04BDAC28	17505
04BEFB76	7304
04BF6671	8571
04C41CC6	5690
04C5D497	17817
04C67616	19492
04C8F7BD	9464
04C947E1	4478
04CB2D4F	3628
04CB5DB1	3531
04CB66B1	15938
04CC0C49	17896
04CCE241	13790
04CCE9DB	10583
04CE8FBC	24604
04CFBBE6	20161
04D5C8C9	15398
04D929B7	22381
04E078E3	17249
04E401F9	9572
04E496BC	12836
04E4ACA7	16841
04E4EA79	19542
04E6B5A7	16029
04E9B85D	531
04EB17BC	20449
04F35B49	16124
04F8792B	4118
04FBFE89	16537
04FD9D67	1108
05060861	1622
05085D35	994
050C43B0	7354
050F2F07	6150
050F4B17	20240
051516E2	15672
0517B245	19952
051959C6	3739
051AC1AC	8812
0520206F	18611
05205689	16170
05236A28	14896
0526FD1F	841
0527E209	23126
052A07D0	18720
052EFF4E	6271
052F3672	14308
05393E4E	6903
0539FCFD	17214
053C533C	17741
053CEED0	15465
053ECDE6	959
053F35B8	4719
0542CD6F	11757
0545FA6C	16200
05481C60	9416
054AB928	14616
054B32B4	8080
054E126A	11582
054F1542	11042
0552E40E	8623
0555245B	1354
055890E2	19622
055BB8E7	6644
0561BDD7	17009
05645A12	19888
05652E6A	3243
056894D1	16158
056D49F7	1414
056D6194	3442
056D8612	16387
05705552	1366
05754AB2	1976
05777B6E	3579
057CA65C	23551
057E0C63	15344
057EFDCC	17430
057FE1C8	18533
05807F59	14431
058162EC	21655
0582B6A4	1423
0583822B	23337
058BB05A	21645
058CF87A	2837
058E01A3	8500
059372BE	1699
0593D17D	22307
0594B3E8	2651
0597F555	17784
059A4A07	22920
059A8824	11099
059B38A4	4537
059CD459	18899
05A27480	21407
05A48E46	17066
05A51E48	9877
05AA728E	21625
05B221DC	3482
05B33D47	21143
05B6ECB8	196
05BEE362	8889
05C3F669	7046
05C92BFC	20893
05CA7C0C	23092
05CC103E	10336
05CC51DA	19653
05D03F37	21768
05D67509	21377
05D99631	21948
05E1A340	11787
05ED88E9	24279
05F2AA66	4574
05F96B4D	12556
05F9F217	13143
05FD4B71	18692
05FE2FCE	16729
05FF54AE	21032
0602B82A	1375
0606322F	18050
0608610D	1614
060C855F	13905
060FF618	18383
0610D011	3673
061561D2	13060
0617FF52	22657
0618D3D7	14698
061AA92A	20480
06215271	24434
0624BA5E	17881
062B074F	15822
062CE4C6	23069
0631E78F	15329
06322FF0	18042
0634742B	18498
06349F38	17966
0634A231	16289
0639342F	1837
063C38D5	12361
0642AFBD	13898
0646F2AF	18353
0654661B	6080
065DAF0F	23300
0660996B	3542
06669BF8	9805
066C8FCA	19445
066D87FD	17106
066EE872	6514
066EF770	12688
0672D4ED	23649
06742541	20585
067521FF	4942
06763DE9	10059
06779EF9	19401
067F2EB0	598
0686F808	12443
06897F9B	6427
068B7E70	18811
068C01D9	2182
068F7322	8482
06904751	21189
06918F57	2485
0694757B	8951
0696452A	15709
06972275	13303
06A4B0BA	1247
06A4C0C5	15841
06A5AB7E	10692
06AB9425	22000
06B08FBF	20821
06B208D0	1865
06B2684B	8794
06B2B9E5	499
06BA6611	21103
06BBA93E	17461
06BCA385	20976
06BF58BD	10456
06C14F3B	15475
06C28CA9	6184
06C633BC	14157
06C8C133	10601
06C92C10	15437
06D714BA	10178
06DE920E	3966
06E8808F	22879
06E91CE2	11837
06EA1085	12493
06EA6C43	12787
06ECA6C9	4371
06F03396	23662
06F1232C	5525
06F1CFD0	18782
06F4BBD2	2715
06F51ACA	18591
06F8203D	20128
06FE0103	9012
06FE3298	20509
0703944C	2442
07045760	23328
070A2463	14239
070AFAC8	8600
070C4975	6355
070DA26E	15139
070DED7F	14358
07130214	3943
07182546	9402
07185EE8	19682
071C2C78	19369
071DE6F2	17673
072866F0	1651
072898FF	2433
072C0988	5705
07306947	8963
07307458	11488
07314985	13528
07319B93	5676
0734C69E	8711
0741652C	2661
07458219	11476
0745F442	20317
074628F5	19080
07470691	2501
074F9F6D	15806
075110AA	13764
07518BC6	6836
07527D31	7518
075B3461	11260
075E294A	23811
0762E477	22990
0764530F	10237
07668F1A	2164
0766E2D6	7724
076AC208	11966
076D403B	23011
076E132A	4644
076E61F3	24246
077019D4	4956
077029C9	6916
07719C51	9945
07764139	19560
0777F5B3	3173
077A0374	22896
077C3D99	12195
077D8EB4	1188
077F754F	4853
077FB4D7	23458
0781DD90	19570
078C9ACD	6975
078D7630	11345
078E360A	17237
078F089F	5784
078F2282	3061
0793C7DB	10514
0796C66B	5263
07981DB8	4658
0798CFF1	14736
079D65BF	2253
079E58B6	22341
07A22A14	15105
07A2E7CA	12394
07A78B37	16431
07AA4507	8987
07ABAA9D	18970
07ADD7B0	20107
07B3A7CF	23986
07B482A5	14633
