# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
1E998BD1	1669
1E9E6F1C	4663
1EA48171	4847
1EAE4A29	1485
1EB27DD0	592
1EB8535E	5084
1EBA1C47	9612
1EBCBA75	10427
1ECA26E0	9824
1ECCD16C	10803
1EE203D2	10027
1EF21E8C	4030
1EF44B94	390
1EF94615	670
1EFAB775	9870
1EFDD089	11731
1EFF0220	11248
1F00DC47	7560
1F02318E	8223
1F0500CE	10124
1F05F289	9532
1F07F0A1	120
1F0C8851	7760
1F0F64E0	1416
1F0FE268	4132
1F111238	11847
1F124D1F	3948
1F181964	441
1F197ABF	177
1F1C569A	11021
1F2EDD85	10613
1F42A141	9359
1F43FE23	9014
1F4C8452	7114
1F4FD451	4197
1F512AD2	5105
1F519F56	6368
1F52E3B9	90
1F5DFCDC	3548
1F5E3840	513
1F5EB64B	7635
1F61741F	3760
1F65A382	1324
1F70D307	6303
1F78825B	8167
1F7A652A	5874
1F7F25F5	4376
1F96460F	12049
1F97E86D	2049
1F9F6FBA	10502
1FA85528	7434
1FB4ECC2	5028
1FB59976	6608
1FB8BC72	3391
1FB93160	2072
1FBC0A9E	3912
1FC0C787	3599
1FC286F9	125
1FCA87FB	2409
1FCD3E42	9390
1FCF4DC6	1104
1FD88237	5998
1FDF4497	10406
1FE07645	4211
1FE7D3C6	5251
1FEF328A	3772
1FEF6ABB	2418
1FF0C585	4594
1FF43EF2	12292
1FF65F48	3335
1FF7D80F	8269
1FF96212	3960
200441EB	5074
2008DD9A	11597
201FCD3E	9386
2020A84A	10285
2023F1FF	4584
20258960	7027
202920C2	1835
202A9D99	8637
2030787B	4019
20367A46	8520
203D2291	10033
20491192	32
204983A6	11400
204B4786	1007
205011F5	503
205C6611	4854
205DC2FC	6249
2060F56D	141
206851DE	3471
206E797A	2682
206F2B15	4326
2083A9D0	5981
20869169	9639
20870008	10598
208D99DB	11260
208DEA15	6005
209050B7	813
20947433	5739
209578A8	9225
209619C2	7717
2096F333	8174
2097FF73	465
209BF9BC	7407
20A35AC1	9279
20A84ACC	10289
20A85678	7486
20AA4D2D	6174
20BD032A	3974
20BD7F54	11221
20BE1F0F	4124
20BE40CF	10067
20BF6638	6965
20BFDBCC	10915
20C2E3E7	1843
20C6D22B	7091
20CAEEAF	11341
20CC75C2	10550
20D7D634	5475
20D81C38	7879
20EA7421	5984
20EB8FD9	295
20F2BA6A	3190
20F2D0D8	2894
20F4FE07	4650
20FD95A7	8793
21002511	6078
2114B009	7121
211BD7F7	1543
2120BD03	3970
2125949D	9736
213CD133	6508
213E1F7F	4368
213FD311	1209
21400F53	7455
21439AF5	8092
2145192B	7769
214BCE18	6737
2150F307	4714
21555F7A	1050
2156E92D	8856
215B1561	9
215C441A	12240
215F0102	4497
216CB184	11886
216DC6C5	8407
217640DD	2474
2181800B	5607
2198D1EB	582
21A45A73	9642
21A50B17	8537
21AD5AB9	1033
21ADE435	1984
21B3ABA4	375
21BAD7FF	5500
21BB2AF6	3627
21C0021F	10601
21C2CAC2	1249
21D139F8	12136
21DC2FE3	5923
21E7913B	6047
21E8CE15	4036
21EBA1C4	9610
21EFF022	11246
21F2EDD8	10611
21FD8823	5996
2206F2B1	4324
2208D99D	11258
22145192	7767
22347A2F	5944
223942D7	1744
223E3CB7	2804
22403F17	12224
22445A4C	8141
22466536	5906
22471538	11689
224A8AC4	3348
225E2E67	3857
22648BB2	12152
2266AA3D	2282
226BD28D	11037
226DDE11	11742
22717709	6393
227D8A04	6234
22898DA4	7004
2291109F	10041
22A25BFC	6673
22AC821C	10591
22AD8A2C	4962
22B46D6E	6319
22BA74DA	10748
22BB91FE	5241
22BBEA39	11101
22BE2B01	10158
22BE2B63	11148
22BEEF87	7101
22BF2E84	11871
22CCEF58	4282
22D8B764	7069
22DFDDE5	4613
22E51514	7833
22E7C603	1562
22ECB793	12159
22F61427	11564
22FD5735	6797
23030EFD	9184
230EE973	3997
23109A26	4738
2318ED2F	8229
231F43FE	9010
2324240A	9026
232E29B4	10630
2337CA40	4240
233E4A4F	3405
23471E96	6270
2347A2FD	5946
234AEE64	3254
23555FD6	8886
2357106D	7701
235AA088	4313
235F4363	11069
23624402	1274
23644F56	838
236676D3	11263
23673E14	7151
236A5E2C	8922
237145E5	8037
23766A5B	11602
2379793D	3111
237A8568	6008
237BFD26	10305
237DEF77	6863
237F423E	10367
237FF47B	9859
23845AD2	11857
23870B27	7858
2389FD6A	1288
238C6534	11788
23942D7F	1746
2394CF25	1909
239C1248	800
239EA237	8027
239F7D3C	7999
23A19359	7192
23AD23FA	637
23AFA0D0	4298
23B02626	5124
23BDD6BD	10093
23BFF832	1504
23C6DAB1	9763
23CE07C1	9523
23DC477F	7382
23DC914B	2998
23DF3ECC	9697
23E13159	10377
23E3CB7E	2806
23ED8E48	362
23F1FF0C	4588
23FA5E8C	645
23FB52CA	5384
23FDFCA5	7257
2403F172	12226
240A6A53	9034
24106C3F	9258
24142DCC	816
241A5544	8992
24240A6A	9030
24261701	7920
242BBEB0	6539
24314FF3	7358
243164FD	10249
24402389	1280
2442BADA	4093
2445A4C0	8143
24464B96	37
244BAC9B	279
2452CA11	3005
245D0F59	3422
2466536C	5908
24670109	5304
246C44AF	3237
246E7163	11183
246E958D	10177
24715386	11691
24739740	5629
2474000E	9545
24783393	4149
24824142	810
2482F87C	4121
24840094	6075
248A896F	6670
248B9454	7830
2490C53F	7355
24922A25	6667
24A7D7A2	7536
24A8AC4B	3350
24B083CA	3183
24B5A105	5962
24BA28A0	9089
24BC9AAC	2568
24C2F543	7671
24D00323	9847
24D08543	4707
24D1FF96	3954
24D6AC46	6642
24D6B47D	6357
24DDD8DC	2974
24EE93C2	5671
24F0FA75	11644
24F42F09	1952
24F63A78	7596
24F86A7E	6431
24F9EFE8	6149
24FC6D4F	4263
25093F1B	4258
251061AF	10841
2511633B	6086
25135105	1518
251D0CD0	5742
252614CD	6760
252CB08F	9686
253047DE	8158
25369B84	2027
253C1EAE	1477
253D6AEA	2215
2548978B	3852
25507B28	9817
2551F7A6	5868
255242BB	6533
255685F9	5762
255ABE0F	1885
255D629D	6980
255E2A15	9228
256681B2	9205
256A2836	535
25734720	5062
257727DC	868
257D3BBC	2494
257FA11A	9053
2580F432	7036
2585C08E	626
258670A7	7720
258683B0	9581
25888F8F	2799
2589603D	7031
258968E4	12186
258F5B95	5700
25949D93	9740
2599D434	10975
259B2049	11392
259F3169	11204
25A2020A	10279
25A38DDB	4814
25A39371	12191
25B03281	2858
25BC15BE	1921
25BCCCD5	8177
25BD883C	2885
25BFC306	6679
25C0D1EB	10417
25C1E998	1663
25D4B5CC	2620
25D4D3E9	6406
25D82A1A	10229
25E2E674	3859
25E54028	1724
25ECAB66	10564
25ED6007	8754
25EF5298	910
25F5EB84	4384
25F7111F	3900
25FE908A	5230
25FFDCF9	468
260236A5	8916
2604A1BA	7299
260544B5	10317
260E9BC5	11405
2614CD0A	6764
26170110	7924
261ABFF8	11322
261D4C5A	1343
2626FC47	5132
262C21AD	1976
26338F63	3691
26365303	11534
263693BE	7009
2641CDE7	1778
2645643F	3041
2648BB2D	12154
2648D9CF	7146
264DE661	3731
264F97B6	4419
26515F67	3284
26518ED4	9970
265804F9	3025
265918B7	2758
265C1497	8743
266AA3D4	2284
26757A6D	9892
267AFEEC	1583
267CA2DD	10934
26882A93	6169
2688EC09	5119
26899D5E	9887
2689AA60	4745
268C91E0	4142
2696CA3B	5718
2696DA5E	11358
269B084F	4359
269CC7B8	10018
26A98337	4750
26AB2BCD	2575
26B259B2	11386
26BA984B	5783
26BD28DF	11039
26C28857	4488
26C83AE3	290
26CB5F1C	7340
26D023DC	7374
26D062D1	2335
26D10AB7	2909
26D19DF8	2003
26DDE118	11744
26E0AED4	9832
26E7421D	12126
26E834E1	326
26F74D3A	7509
26FC477B	5136
26FE6F3A	7410
270831B4	7086
270AA198	7745
27112DFE	7050
27177097	6395
271BC879	6038
27263653	11530
27320292	1829
27323ED8	356
273AEE9B	2087
273DDD17	4985
273FE11C	3210
2740A9EC	11502
274BBFFB	5425
274EF0D6	5317
275380E0	10825
27544343	11663
275A7EB2	8770
2764C411	9747
27681098	1965
27712247	11681
2771E2E7	11576
27789945	3277
277B9DA9	11815
27848AB2	10584
278D5458	4078
278F0B45	2635
27954E26	7134
279906C7	8557
279DEFBE	3646
27AE8615	10784
27BA5982	1764
27BAB4C8	1236
27BD4836	7870
27CA588A	4951
27CA7258	9571
27D8A048	6236
27DCFF71	876
27DD0DA8	598
27E9B21E	11236
27E9B834	9418
27EB97C0	10052
27F5AA5C	1293
27F638A7	12081
280C956A	1878
281205DC	6243
2812AE7C	2868
281511F0	7550
28154F15	5517
2817E574	9100
2817FDAC	1431
28365CB1	10206
2836B65D	543
2838C399	5843
283900F8	3096
283D56DC	9169
2840515B	2165
28476899	3014
2847F031	3594
284A5195	9940
28699402	11461
286EA150	7306
286F9206	131
28709B0A	4481
287827CA	4943
2878ACB5	6120
28820EA7	5978
28857C04	4494
2891D000	9542
28955A17	5759
2898DA4E	7006
289B82BB	9829
289BA0D3	323
28A05F95	9097
28A7723B	1494
28A9C850	7446
28AEB977	3782
28B11089	8130
28B32EC2	4971
28B76F3D	10941
28BDE3AC	1120
28BFABC3	5397
28D6B059	9282
28D8B49C	11519
28DD2239	1736
28DEBF19	5042
28DF7529	11047
28E2A6CE	9445
28E5A59E	6777
28EC5920	5727
28F0C7F2	2400
28F261AB	11316
28F491B1	3230
28F6E2B4	6194
28F9538D	8378
28FA407E	10491
2902C942	4249
2907F3D3	1099
291033F1	2509
291065C2	931
291109FA	10043
2915EF2B	5270
291C3E08	5893
2920C2E3	1839
2928E2A6	9441
2929867A	3156
2933D052	9916
293E245D	3414
2946541D	9945
2950850E	8085
29622AD8	4956
2964D5F4	7268
296CE235	11059
296F527A	10774
2972E7EC	8298
297AF349	5658
2983F3D2	12112
29867A76	3160
2987FD0F	12287
298D30A4	920
298E90E9	4399
298F3DBE	5199
2991D4BC	8470
299D00CA	1086
299E64BA	2147
29A4A679	2140
29A94F52	9039
29B38B4B	774
29B4CAFF	10638
29C961A0	9576
29CA3C31	2395
29CB1854	2380
29D592F8	6714
29DC8EFF	1497
29DDB682	7731
29DE7DBC	7896
29DF4C12	6990
29E5FE8A	12092
29EA26F7	7501
29F5E8A0	7539
2A00A470	5886
2A040F87	1403
2A12B308	10292
2A1414F7	9365
2A159BA0	9236
2A159E29	7489
2A1AA924	10237
2A1FEF6A	2414
2A25BFC3	6675
2A2B12D7	3353
2A2CA60F	12105
2A35766B	1139
2A3AF9D6	10720
2A4F660F	10531
2A6A312E	2315
2A6CE0AA	9451
2A721400	7449
2A758239	790
2A7ACDFD	3921
2A7B028D	11509
2A7C3287	6110
2A833DAB	6918
2A8661F0	7750
2A934B4C	6177
2A9D996E	8641
2AA16788	6850
2AA760EA	3819
2AAD8ECA	3581
2AB318CE	9462
2AC821C0	10593
2ACEB800	10689
2AD2688E	5113
2AD55156	2450
2AD73136	12266
2AD77ACA	724
2AD8A2CC	4964
2AD917D1	11426
2AD99E09	10571
2ADC0406	9300
2ADC5D96	8961
2ADE74FA	2918
2AE7C496	2874
2AE876F5	8354
2AF64C9E	3635
2AF6948C	3986
2AF7AE2C	9798
2B01B491	10166
2B098753	1338
2B0ADAFD	1258
2B12D7BF	3357
2B15A8F6	4334
2B1B883F	8784
2B2D4D66	6127
2B308DEF	10298
2B30DAE1	2198
2B31068B	12306
2B438B3C	6204
2B46D6EF	6321
2B4BEA8A	2127
2B511F18	433
2B5FF615	1176
2B616C61	1159
2B638039	11156
2B6915FD	1639
2B6BF48D	1263
2B742869	11453
2B764D17	8663
2B76A1DC	11919
2B8371D8	262
2B877B1D	5282
2B8BECA2	312
2B8DDA79	9073
2BA45DC3	7781
2BA6A4D2	3196
2BA74DAF	10750
2BA912A8	6908
2BADA53B	4099
2BAE5DFE	3785
2BB3AA3D	5181
2BB524D0	9839
2BB91FE7	5243
2BB9905B	3259
2BBABC26	11346
2BBEA394	11103
2BBEB06F	6543
2BC234AE	3248
2BCAF71A	416
2BCDE6E3	2583
2BD23471	6264
2BD95F97	737
2BDB151A	959
2BDC682B	421
2BE2B01B	10160
2BE2B638	11150
2BEA2929	3148
2BEEF87D	7103
2BF2E848	11873
2BFB61EA	4837
2BFD75DF	10647
2C027954	7128
2C0D7879	7578
2C1570D3	7954
2C17491C	5620
2C189541	9810
2C20F2BA	3186
2C21ADE4	1980
2C23DF3E	9693
2C2DCC85	8845
2C32ED10	6696
2C3ADDEA	11960
2C3E1D61	8934
2C442244	8133
2C4B7E25	10217
2C54186E	5796
2C568E92	10004
2C5B6920	10903
2C5FF49E	8546
2C611568	11893
2C61529C	2385
2C73489C	6384
2C7ED3B3	5025
2C8BF55C	6794
2C9424FC	4255
2C95CD1C	5059
2C9B4677	2000
2C9EF520	7867
2CA11DA2	3011
2CA2FEAF	5394
2CA3E901	10488
2CA4A38A	9438
2CA60FCF	12109
2CA8EBE7	10717
2CA9D608	787
2CAB645F	11423
2CAC2B6B	1255
2CB08F7C	9690
2CC9A20A	6164
2CCBB09C	4974
2CCC42BA	6898
2CCEF582	4284
2CD153E9	1308
2CD55A9A	10468
2CDD1B89	11489
2CE52A6A	2307
2CE6AB38	5685
2CE8CA03	1869
2CF040F7	6213
2CF5CD5C	2605
2CF61C90	8981
2CFE51C2	9404
2D0ABDEB	9793
2D0D89B4	2900
2D14554B	2644
2D14FC0D	2345
2D165DC5	9318
2D1E1BE1	1012
2D272636	11526
2D2CA9D6	783
2D3028F6	6186
2D37CDE1	2727
2D3BFEC3	1599
2D4D66F8	6131
2D55B172	6836
2D578C18	8433
2D68414A	5965
2D68A72C	2373
2D699FC3	3517
2D6EC4D5	10328
2D73278F	2627
2D7BFC14	3363
2D7C7249	7345
2D7DE595	5364
2D7DED5B	3708
2D7FE27B	1754
2D85549B	7329
2D8B764C	7071
2D91124F	1942
2D9A2DA0	8868
2DA03235	8876
2DA4A2C4	8123
2DAD3BDE	5334
2DC0DFF5	2769
2DC4B692	8116
2DC733F2	2554
2DCC16C2	824
2DCC855B	8849
2DD93270	7076
2DDBCF57	10944
2DE20957	9219
2DE4FFD3	12166
2DED0BD5	5562
2DF3B746	8573
2DF4F452	11475
2DF89760	10222
2DFA57CD	2815
2DFDDE51	4615
2DFE4C8B	7058
2E12F849	2786
2E138668	75
2E18C77E	11623
2E29B4CA	10634
2E2B6915	1635
2E3B9E50	96
2E3BE653	8206
2E3E7F67	1849
2E44C31C	3885
2E4ECE72	945
2E515141	7835
2E51E385	399
2E55206E	2674
2E5A759D	46
2E5D9484	6497
2E67417E	3865
2E7426D0	2327
2E775880	11586
2E7C6037	1564
2E7ECCD7	8304
2E8485B2	11879
2E8A1294	9935
2E8A2817	9092
2E8B055C	7949
2E96214B	6729
2E9D36CB	3311
2E9D76FD	10434
2EA4A101	2158
2EA63D85	2255
2EAB146C	2657
2EB26C83	284
2EC273DD	4979
2EC356B6	2946
2ECB793F	12161
2ECBA284	9930
2ED01AE8	9504
2ED10F29	6702
2EDD8548	10617
2EDEEA3C	237
2EE119D8	9154
2EE5507F	3324
2EFFED33	5430
2F09DA04	1960
2F0B2928	9433
2F107EE4	2065
2F1AB699	753
2F1C399D	8481
2F1C8CF9	3398
2F26AB2B	2571
2F2E1386	71
2F386014	6742
2F3E5215	12319
2F40CABD	3977
2F43B14A	3568
2F458C43	2238
2F476CFD	1678
2F5437AE	7677
2F55AD6A	5571
2F5D11CF	5455
2F5FD527	11224
2F614277	11566
2F6EDF89	5217
2F783AF4	4171
2F78EB3C	1123
2F849622	2792
2F87C3F8	4127
2F89AC96	11381
2F8BA588	6724
2F8D6C84	1198
2F9033DD	10070
2F9981D8	8246
2F9E83C8	7986
2F9EDCAB	2439
2FAA29A4	2132
2FB0A9F0	6103
2FB289BA	317
2FC9E355	4073
2FCAF48D	6259
2FCBE660	8241
2FD24B5A	5956
2FD3CF24	7659
2FD5735E	6799
2FD98E25	6968
2FDB14BF	7648
2FE3E988	5931
2FE417F7	4511
2FEAF0CE	5400
2FF09DEE	11808
2FF6F331	10918
2FF7D85E	700
300C316F	9710
300FCD7D	4912
30212594	9732
30253047	8154
30256681	9201
3028F6E2	6190
3030EFD0	9186
303310AB	8950
303DA350	11544
303E4047	11834
30416497	1713
3047DE20	8162
3048A263	6999
304AA9D8	3814
30502633	3683
305B08D9	829
305F577C	7813
3061ABF5	8442
3068B0CB	6689
306A5C72	6628
306BA51E	658
30722B46	6313
3077EDF2	4724
30787BC8	4023
3082FD98	6962
30832BBA	11338
308DEFF4	10302
30A37AFC	5039
30A44197	928
30B8F9FD	1846
30BD50DE	7674
30BFDF61	697
30C5BD19	9715
30C69C70	11118
30C725F7	3892
30CCF9FF	4631
30D1F1C5	11015
30DAE1C9	2202
30DDFB99	6340
30E64C59	5850
30E7A0B8	8195
30EE973D	3999
30EFD0C0	9190
310448F1	9754
31049CC8	1822
31068BCF	12310
31078BE7	7977
31096C0C	2853
3109A26A	4740
310AB717	8956
310AEA44	6903
310E2EA6	2247
3116C0D0	1219
31267CA2	10930
312ACEB8	10685
312D55B1	6832
312DC733	2550
312E18C7	11619
312E7426	2323
3135387C	10113
31368472	4800
3136BF8A	12274
31495DC9	863
314F252C	9678
314FF326	7362
3159E1B7	10385
31603F0D	9138
31609CEB	2080
31615522	4601
316461F1	3938
3164FDC0	10253
3165C954	5859
3169882F	11212
316B75AD	1352
316D88F7	2989
316F4673	9718
316FA08E	11777
3178E88A	11090
31893776	2969
318CE76D	9468
318ED2FC	8231
3194D1E8	11793
319C59DC	2182
31A71C10	11121
31B48AFB	7094
31C8DFD0	10362
31C97DC4	3895
31D7097B	10555
31DA312D	6824
31DBD006	4779
31DC6615	1378
31DF8112	11630
31E1E8EA	3606
31EE203D	10025
31F43FE2	9012
31F61741	3758
31F97E86	2047
31FCA87F	2407
3202920C	1833
3209BF9B	7405
32114B00	7119
32156E92	8854
321C2CAC	1247
32214519	7765
322D8B76	7067
323555FD	8884
32357106	7699
3237FF47	9857
32394CF2	1907
323ED8E4	360
324240A6	9028
32478339	4147
32484009	6073
324922A2	6665
324A7D7A	7534
32513510	1516
3255ABE0	1883
3258968E	12184
32599D43	10973
326882A9	6167
326D023D	7372
3270831B	7084
327112DF	7048
3278F0B4	2633
3279DEFB	3644
3280C956	1876
32812AE7	2866
328365CB	10204
32838C39	5841
3283900F	3094
32878ACB	6118
328AEB97	3780
32907F3D	1097
329DE7DB	7894
32A040F8	1401
32AD7313	12264
32AF6948	3984
32BBABC2	11344
32BFD75D	10645
32C7ED3B	5023
32CE8CA0	1867
32E29B4C	10632
32E55206	2672
32E9D36C	3309
32EC273D	4977
32ED01AE	9502
32ED10F2	6700
32F783AF	4169
3300FCD7	4910
3306A5C7	6626
3310AB71	8954
3310AEA4	6901
331267CA	10928
331D7097	10553
33209BF9	7403
333560C3	8184
333E7FF4	4634
33402895	5751
33413109	2845
33428E5A	6771
3345B15E	10808
33499646	2753
3350AECE	5174
33560C39	8186
33585BCB	5442
335C5910	8313
3364C5E3	11083
33719935	4760
337695F9	1446
337818F2	4929
337CA40B	4242
337FBD50	8713
33854196	4043
338F638B	3695
33938732	4157
339DB76A	9473
33A68749	6520
33ACD572	5411
33B0E9DF	10135
33B35917	12006
33B4BEC2	6096
33BD608E	4287
33BDBC76	4873
33C96F05	1916
33D052EC	9920
33D81583	7230
33DAB797	6924
33DDF660	10078
33E4A4F8	3407
33E7FF42	4636
33F1D936	2517
33F24BC9	2562
3400C8DF	9850
34028955	5753
34127BAB	1230
34131096	2847
342150F3	4710
34235AA0	4309
3423A193	7188
3428E5A5	6773
34382771	11673
34475C7D	6292
3447C65E	172
3447D77F	3543
344CE9A1	6515
3454FA47	1311
345B15E0	10810
345B7388	5487
345E6FA0	8672
346598CA	10193
346A31DA	6816
3471E96F	6272
34720044	5068
347A2FD2	5948
347A2FF0	11800
347AC9F7	589
347AF2E9	10424
347C715A	11018
347FE588	3957
3489C5DC	6390
348FED4B	5381
3493BA4F	5668
34996462	2755
3499EBFB	1580
349CFF84	3207
34AEE641	3256
34B0EB77	11957
34B3D735	2602
34B4C0A3	6183
34BB8467	9151
34BC2CA4	9430
34C1C8AD	6310
34C29106	925
34C76F40	4776
34D19663	10190
34E1786A	334
34E99E31	7965
34E9D475	7518
34EB39D8	217
34F03608	8624
34F90B3F	9395
34FA586C	6413
34FB6160	10987
35001D34	3531
3501822F	11554
350AECEA	5176
351051B4	1524
3514C966	10966
352C9B46	1996
3534C76F	4772
353615B3	8699
35387C14	10117
3540C2FF	690
354757B5	4556
35516244	4083
3555FD65	8888
3556A6A9	10471
355C9D2E	5418
356046DE	10339
3560C39E	8188
3565C2B8	252
356761F4	4187
356B6866	2952
357106D2	7703
3571F964	12043
35725D4B	2614
35766B1E	1143
357D0DA7	7275
3582DAD3	5328
3585BCBD	5444
35917F1A	12012
3593785F	9339
359BE3C9	6136
359F773A	7202
35A17130	7801
35A3A02E	1623
35AA0881	4315
35AB11B8	6645
35AC165C	9285
35AD1F51	6360
35B213FD	1203
35C59103	8315
35C75205	493
35CA5CB9	8293
35E1E749	7583
35E4047D	5094
35E48663	575
35ECD1A8	6809
35F43633	11071
35F58D16	5478
35F63378	4921
35F72023	4576
36058D4D	8690
36070E32	7882
36080AA7	8632
3608E7A8	8022
360B55E3	8428
36152240	12216
3615B337	8703
36244023	1276
3626D10A	2905
362D2726	11522
36304AA9	3810
36325896	12180
363364C5	11079
3644F56E	840
364C5E3A	11085
365303DA	11538
365CB12D	10210
3664B394	2300
36676D39	11265
36738089	2271
3673E143	7153
3675735A	1613
367A46C8	8524
3680DD08	3458
3684725A	4804
368D64DE	9334
3693BE52	7013
369B84EE	2031
369FB478	7284
36A166C5	607
36A32839	3088
36A5E2C3	8924
36B65D9F	547
36B87253	2205
36BF8A61	12278
36BFC610	10759
36C8770B	5918
36CBB954	3319
36CF5EEF	2529
36ED4E4D	4435
3711E4B0	7567
37145E5F	8039
3718A2F7	1113
37199353	4762
3719DEC4	12201
371D8091	268
37316D88	2985
373499EB	1576
373A4BD0	3559
373C53AD	8391
373CF58A	5645
373F01D4	10881
3741495F	2485
37420685	3465
3746E274	11492
37488E50	1739
375C7BF7	11724
3766A5B4	11604
37695F94	1448
3769E492	9078
376E316F	11769
376EC3D2	4823
37763731	2977
377BE705	9656
377EE642	6343
37818F28	4931
37851841	5538
3785FD41	9345
37871D1B	2736
379793D9	3113
379986EA	3736
379B8DF3	2588
379BCE84	4678
379FBBA0	1787
37A38737	10869
37A67C9F	12070
37A6F680	2358
37A85686	6010
37AEFA63	7685
37AFC672	5045
37B98D8C	3801
37BEC6E6	2828
37BFD260	10307
37CA40B2	4244
37CD2CF5	2597
37CDE1C7	2731
37DD4A5B	11050
37DE03EF	4448
37DEF77A	6865
37F423E1	10369
37F53164	3930
37FBD50F	8715
37FCBCB8	64
37FD62E1	2776
37FF47BE	9861
38033D81	7224
380394E3	11162
380899AA	2277
38094418	10836
380C5257	858
380E0251	10831
381F05F2	9528
38277122	11677
382817FD	1427
382AB318	9458
382AD77A	720
382B0987	1334
382DED0B	5558
3840FC02	521
3845AD22	11859
38541969	4045
385CAF2B	409
385E1AA9	337
38601442	6746
386687D4	81
3866BE06	6560
386BB9F1	11701
3870B27B	7860
38732F78	4163
387373F0	10875
387C1403	10121
3886EB5F	5497
388D7D0D	11066
3895758A	6977
38963D6E	5697
38992367	7143
389FD6A9	1290
38A64752	8467
38A797FA	12089
38A9B382	9448
38B3C103	6210
38B4B2A7	780
38B5F7B5	3705
38BA98F6	2252
38C39931	5847
38C41273	1819
38C65347	11790
38CA779F	7891
38DCF14E	8388
38DDBB0F	4820
38E399F2	9596
38E67C87	9599
38F3C246	11173
38F638B5	3697
38FD45CE	11282
3900F88D	3100
3921B3AB	371
3934F036	8620
393719DE	12197
3937DE03	4444
3938732F	4159
3942D7FE	1748
394A9A8C	2310
394C31A7	11113
394CF25B	1911
394E3CF0	11168
394E3F51	11277
395B3F9C	8339
395BD7A3	6586
395D8DDB	11760
39667C3C	6460
39696792	6780
39740373	5635
3980967C	11197
398ADD93	8658
3993165C	5853
399DECFE	8489
399EF010	5159
399F21EB	9602
39AACE25	5688
39AC515B	11295
39AF5150	8098
39C12482	802
39CAF6C5	954
39D8762E	225
39DB76AA	9475
39DF15CF	6476
39E82E3B	8198
39EA2371	8029
39F7D3C7	8001
39F82264	12144
39F91582	4693
3A012036	8512
3A02E2B6	1629
3A139F91	4687
3A15F91F	7422
3A19359F	7194
3A22BBEA	11097
3A242617	7916
3A25A202	10275
3A26BA98	5779
3A3280C9	1872
3A43A450	4404
3A450993	4410
3A49A731	10013
3A4BD0EC	3563
3A678C41	7968
3A687495	6522
3A6F16CB	11410
3A751D4C	7521
3A77C6D1	10142
3A78417D	7604
3A7F178E	1806
3A857543	987
3A92F89A	11375
3A9D087F	5987
3A9E253C	1469
3A9F151D	3830
3A9F56C3	3057
3AA3DF29	5187
3AB935CA	8285
3ABA47BD	381
3ABC021B	3617
3ACC4B71	2545
3ACD5727	5413
3ACE761D	220
3ACF0A8D	1130
3AD216DC	8401
3AD23FA5	639
3AD5DF86	4534
3ADDEA55	11964
3AE001AC	10694
3AE3F642	298
3AEE9B6B	2091
3AF43567	4179
3AF9D617	10724
3AFA0D08	4300
3AFC0380	7214
3B02626F	5126
3B04C140	3676
3B0E38E6	9591
3B0E9DF1	10137
3B14AAB6	3574
3B15F248	4111
3B164825	5730
3B1E3E2F	4061
3B2847F0	3590
3B30A37A	5035
3B35917F	12008
3B39CAF6	950
3B433B35	12000
3B45AF89	9558
3B4788FF	7248
3B4BEC2A	6098
3B4BF2F9	8236
3B5141D6	9979
3B56EC7E	3380
3B5E1BC3	6059
3B6F18F8	10669
3B746FDE	8579
3B8C7E5F	2042
3B931DC6	1372
3B9E50FB	100
3BA4F0B3	5674
3BA5CF55	4002
3BB11FF7	8261
3BBCA440	2502
3BC3582D	5322
3BD608EB	4289
3BDBC76B	4875
3BDD6BD1	10095
3BDE8344	162
3BDEA5A9	5342
3BDECFD7	7167
3BE204B4	1001
3BE52025	7019
3BE653C7	8210
3BF25369	2021
3BF43025	9193
3BFEC367	1603
3BFF8325	1506
3C001BB1	3496
3C0D8202	8627
3C103DC1	6216
3C1436A3	3080
3C1EAE4A	1481
3C211BD7	1539
3C246E71	11179
3C2A3576	1135
3C2CE6AB	5681
3C2D1455	2640
3C31FCA8	2403
3C39DF15	6472
3C3E9D64	11647
3C404716	8069
3C4B4DF3	2722
3C4B5F79	5359
3C53AD21	8395
3C540637	5526
3C6D0A45	5261
3C6DAB1B	9765
3C7269B0	4353
3C7A5CD8	8011
3C7C08C6	8220
3C807F34	9383
3C8E7DF4	7996
3C930BD5	7668
3C93E7BF	6146
3C94B2C2	9683
3C96F056	1918
3C986AFF	11319
3CA1E09F	4940
3CA67403	1083
3CA7564B	6711
3CAE9A93	3193
3CB15A3A	10001
3CB43626	2897
3CB7E95F	2812
3CC10592	1710
3CC1DFB7	4721
3CC8E533	1904
3CD133A6	6512
3CD5970A	249
3CE07C17	9525
3CEAE4D7	8282
3CF091B9	11176
3CF24C2F	7665
3CF2C568	9998
3CF58A5E	5649
3CF6F94B	5204
3D052ECB	9922
3D0BC276	1955
3D0C9C44	7043
3D0F8F05	3071
3D14B374	11482
3D229110	10037
3D246C44	3233
3D26E742	12122
3D2BFB61	4833
3D3718A2	1109
3D3B4788	7244
3D3F81E9	4653
3D43664B	2294
3D495FE8	9048
3D4B6444	1937
3D4F98F7	7464
3D56DC8C	9173
3D572030	4011
3D5B5FD3	148
3D5B98E0	847
3D5F510D	10953
3D6297AF	5652
3D65DF94	3431
