# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
07F34F90	9389
07F3D371	1103
07FBCCA2	3771
07FD97D2	3334
080AA766	8636
081A1477	3470
0828D6B0	9278
082A12B3	10288
082F9033	10066
082FD98E	6964
0831B48A	7090
0832BBAB	11340
083A9D08	5983
083CAE9A	3189
083D3F81	4649
0846F5FD	1542
08496527	9735
084F87DF	4367
0850E6BD	8091
08543CC1	4713
0869169C	9641
086B790D	1983
086ECABD	3626
08700087	10600
08744E7E	12135
087CBB76	10610
087F6208	5995
0881BCAC	4323
08823667	11257
08911693	8140
0891994D	5905
089922EC	12151
0899AA8F	2281
089B7784	11741
089F6281	6233
08AEE47F	5240
08BD8509	11563
08C63B4B	8228
08D2BB99	3253
08D6A822	4312
08D913D5	837
08D99DB4	11262
08DA978B	8921
08DD9A96	11601
08DEA15A	6007
08DEFF49	10304
08E27F5A	1287
08E3194D	11787
08E70492	799
08E7A88D	8026
08E864D6	7191
08EB48FE	636
08EBE834	4297
08EF75AF	10092
08F711DF	7381
08F7CFB3	9696
08F84C56	10376
08FC7FC3	4587
09029A94	9033
09050B73	815
0912EB26	278
0919C042	5303
091B9C58	11182
0922E515	7829
09342150	4706
0935AD1F	6356
093E1A9F	6430
093F1B53	4262
0944186B	10840
094458CE	6085
09474334	5741
09498533	6759
094C11F7	8157
09578A85	9227
0959A06C	9204
095A8A0D	534
09619C29	7719
0962580F	7030
0967CC5A	11203
096C0CA0	2857
096F3335	8176
097534FA	6405
097B2AD9	10563
097FF73E	467
0985C044	7923
09875316	1342
0989BF11	5131
098B086B	1975
098CE3D8	3690
09907379	1777
0993E5ED	4418
09970525	8742
09A26A98	4744
09A5B28E	5717
09A5B697	11357
09B0A215	4487
09B418B4	2334
09BF9BCE	7409
09C2A866	7744
09CEBBA6	2086
09CF7745	4984
09D3BC35	5316
09D4E038	10824
09D510D0	11662
09DA0426	1964
09DC4891	11680
09DC78B9	11575
09DEE76A	11814
09E122AC	10583
09E55389	7133
09F29622	4950
09FA6E0D	9417
09FAE5F0	10051
0A05FF6B	1430
0A1A6500	11460
0A1BE481	130
0A215F01	4493
0A255685	5758
0A35AC16	9281
0A362D27	11518
