t,errps
1,102
2,102
3,110
4,118
5,110
6,153
7,102
8,110
9,118
10,110
11,51
12,110
13,102
14,102
15,110
16,110
17,118
18,110
19,102
20,102
21,110
22,51
23,110
24,110
25,110
26,51
27,102
28,110
29,110
30,102
31,110
32,59
33,110
34,110
35,102
36,59
37,110
38,110
39,102
40,63600
