1 1276 83 1277 1277 15649457 1277
2 1273 52 1272 1272 15596523 1272
3 1273 86 1273 1273 15593296 1273
4 1271 51 1271 1271 15580283 1271
5 1272 124 1272 1272 15590921 1273
6 1273 62 1274 1274 15614643 1274
7 1274 52 1274 1274 15601929 1273
8 1273 66 1272 1272 15598458 1272
9 1273 51 1273 1273 15597633 1273
10 1273 52 1273 1273 15595528 1273
11 1271 51 1271 1271 15584373 1271
12 1272 103 1272 1272 15585307 1272
13 1273 51 1273 1273 15595710 1273
14 1272 51 1272 1272 15596843 1272
15 1273 51 1273 1273 15596402 1273
16 1273 51 1273 1273 15597158 1273
17 1272 52 1272 1272 15595877 1272
18 1271 102 1271 1271 15578629 1272
19 1273 51 1273 1273 15595192 1272
20 1273 51 1273 1273 15595498 1273
21 1272 51 1272 1272 15597169 1272
22 1273 51 1273 1273 15594836 1273
23 1273 51 1273 1273 15601239 1273
24 1273 51 1273 1273 15597964 1273
25 1270 102 1270 1270 15571768 1270
26 1273 51 1273 1273 15593838 1273
27 1271 51 1271 1271 15583365 1272
28 1273 51 1273 1273 15597227 1272
29 1273 51 1273 1273 15595567 1273
30 1272 51 1272 1272 15593003 1272
31 1273 51 1273 1273 15601687 1273
32 1273 51 1273 1273 15595823 1273
33 1273 51 1274 1274 15617691 1274
34 1273 103 1273 1273 15596825 1273
35 1275 0 1274 1274 15602662 1273
36 1272 102 1272 1272 15601591 1273
37 1273 51 1273 1273 15601605 1273
38 1273 51 1273 1273 15596873 1273
39 1271 51 1271 1272 15583506 1272
40 1273 51 1273 1272 15596889 1272
41 1273 51 1273 1273 15594587 1273
42 1272 51 1273 1273 15598469 1273
43 1273 51 1272 1273 15600263 1273
44 1272 51 1272 1272 15587592 1272
45 1273 51 1273 1272 15598456 1272
46 1273 51 1273 1273 15597404 1273
47 1272 51 1273 1273 15593839 1272
48 1273 51 1272 1272 15594582 1273
49 1272 51 1272 1272 15594451 1273
50 1272 51 1272 1272 15583676 1271
51 1273 51 1273 1273 15597568 1273
52 1272 51 1272 1273 15595016 1273
53 1273 51 1273 1272 15598873 1272
54 1273 51 1273 1273 15600874 1273
55 1273 51 1273 1273 15599925 1273
56 1273 51 1273 1273 15598279 1273
57 1273 51 1273 1273 15597968 1273
58 1273 51 1273 1273 15601608 1273
59 1272 52 1272 1273 15600387 1273
60 1273 51 1274 1273 15595890 1273
61 1273 51 1272 1272 15595064 1272
62 1273 51 1274 1274 15614554 1275
63 1274 51 1273 1273 15610576 1273
64 1274 51 1275 1275 15610795 1274
65 1273 51 1272 1272 15585424 1272
66 1273 52 1274 1274 15613398 1274
67 1273 102 1271 1271 15587137 1272
68 1273 0 1274 1274 15612242 1274
69 1270 102 1270 1270 15561785 1269
70 1274 0 1274 1274 15614509 1275
71 1271 102 1271 1271 15576329 1271
72 1274 0 1274 1274 15610678 1273
73 1271 102 1271 1271 15575303 1271
74 1274 0 1274 1274 15611533 1274
75 1271 102 1271 1271 15576762 1271
76 1274 0 1274 1274 15608807 1274
77 1271 102 1271 1271 15576177 1271
78 1273 0 1274 1274 15611954 1274
79 1272 102 1272 1272 15587406 1272
80 1274 0 1274 1274 15611589 1274
81 1272 102 1272 1272 15589179 1272
82 1274 0 1274 1274 15615071 1274
83 1272 102 1272 1272 15585609 1272
84 1274 0 1274 1274 15614463 1274
85 1272 103 1271 1272 15588760 1272
86 1274 0 1275 1274 15609857 1274
87 1273 54859 1272 1272 15595923 1272
88 1271 10168 1271 1271 15574535 1271
89 1273 68333 1273 1273 15601966 1273
90 1272 20274 1273 1273 15594016 1273
91 1272 65802 1272 1272 15595159 1273
92 1275 33045 1275 1276 15637607 1276
93 1275 40702 1275 1274 15608382 1273
94 1271 148 1271 1271 15575992 1271
95 1274 0 1274 1274 15615874 1274
96 1273 175 1272 1272 15582245 1271
97 1272 107 1272 1272 15594977 1273
98 1272 51 1272 1272 15586222 1272
99 1272 109 1273 1273 15595914 1273
100 1272 51 1271 1271 15582560 1271
101 1273 106 1273 1273 15600521 1273
102 1272 51 1272 1272 15585291 1272
103 1271 138 1272 1272 15586760 1272
104 1273 90 1272 1272 15596983 1272
105 1273 51 1273 1273 15594075 1273
106 1272 104 1273 1273 15596938 1273
107 1273 51 1272 1272 15595770 1272
108 1273 67 1273 1273 15598306 1273
109 1272 51 1273 1273 15596887 1273
110 1272 133 1271 1271 15584607 1271
111 1273 75 1273 1273 15597430 1273
112 1273 51 1273 1273 15599056 1273
113 1272 101 1273 1273 15600479 1273
114 1274 51 1273 1273 15601363 1273
115 1273 74 1273 1273 15597905 1273
116 1272 51 1272 1273 15597646 1273
117 1272 130 1272 1271 15587673 1272
118 1273 81 1273 1273 15595961 1272
119 1272 51 1273 1273 15594918 1273
120 1276 77 1276 1276 15647709 1277
121 1274 51 1274 1274 15604211 1273
122 1273 55 1273 1273 15600716 1273
123 1274 51 1273 1273 15599657 1273
124 1270 122 1271 1271 15578783 1271
125 1274 69 1273 1273 15606126 1273
