k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
123,1,32132,191,61716,-716,0.0,0.000,0,3560,2352,3842048,1
124,1,32133,191,60456,-697,0.0,0.000,0,3559,-21168,-1589248,1
125,1,32134,191,59624,-736,0.0,0.000,0,4133,-15680,7249920,1
126,1,32135,191,61273,-711,0.0,0.000,0,3770,-10192,3801088,1
127,1,32136,191,60098,-731,0.0,0.000,0,3695,71344,9019392,1
128,1,32137,191,59995,-704,0.0,0.000,0,4120,-46256,1376256,1
129,1,32138,191,61667,-721,5098259.0,0.000,0,3919,-19600,7274496,1
130,1,32139,191,61864,-700,6043814.9,0.000,0,4087,-31360,-614400,1
131,1,32140,191,62308,-719,6187764.4,0.000,0,4027,-29792,-3047424,1
132,1,32141,191,59746,-707,5974065.8,0.000,0,3731,35280,2433024,1
133,1,32142,191,59278,-723,3868663.8,0.000,0,4554,-28224,1040384,1
134,1,32143,191,59832,-702,0.0,0.000,0,4431,27440,1515520,1
135,1,32144,191,60510,-707,0.0,0.000,0,3716,-3920,81920,1
136,1,32145,191,61471,-705,0.0,0.000,0,4311,3920,-466944,1
137,1,32146,191,61179,-698,0.0,0.000,-4039,5222,19600,-2129920,1
138,1,32147,191,60324,-705,0.0,0.000,51412,3488,-52528,2400256,1
139,1,32148,191,61056,-695,0.0,0.000,6791,3563,8624,-3276800,1
140,1,32149,191,59985,-709,0.0,0.000,0,1918,55664,10895360,1
141,1,32150,191,63045,-700,0.0,0.000,0,4375,41552,-3203072,1
142,0,-1,191,57745,-719,0.0,0.000,0,4534,-31360,1138688,1
143,1,32152,191,61095,-718,0.0,0.000,0,5358,-14112,139264,1
144,1,32153,191,62658,-715,0.0,0.000,0,5478,-3136,3801088,1
145,1,32154,191,58349,-721,0.0,0.000,0,5203,32144,4628480,1
146,0,-1,191,59255,-691,0.0,0.000,0,5059,22736,-1302528,1
147,1,32156,191,62298,-726,0.0,0.000,0,3770,41552,6004736,1
148,1,32157,191,63481,-696,0.0,0.000,0,5284,-27440,-3784704,1
149,1,32158,191,61634,-723,0.0,0.000,0,4236,-27440,6299648,1
150,1,32159,191,59319,-738,0.0,0.000,0,3759,51744,5054464,1
151,1,32160,191,60989,-725,0.0,0.000,0,3723,39200,7151616,1
152,1,32161,191,61137,-710,0.0,0.000,0,4426,45472,-3891200,1
153,1,32162,191,61270,-709,0.0,0.000,0,3971,47040,-212992,1
154,1,32163,191,59139,-718,0.0,0.000,0,3623,-47824,1867776,1
155,1,32164,191,59054,-694,0.0,0.000,0,3676,14896,-1048576,1
156,1,32165,191,61562,-699,0.0,0.000,0,4510,29008,1048576,1
157,1,32166,191,62630,-713,0.0,0.000,0,3766,784,-2269184,1
158,1,32167,191,61504,-711,0.0,0.000,0,4493,30576,-1777664,1
159,1,32168,191,59964,-711,0.0,0.000,0,3987,-61152,-2572288,1
160,1,32169,191,60137,-703,2374913.4,0.000,0,5222,-3136,184360960,1
