k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-698,158390.5,0.000,0,3551,54880,-1179648,1
1,1,32010,191,61276,-700,0.0,0.000,0,4628,6272,-3522560,1
2,1,32011,191,60741,-714,0.0,0.000,0,3682,39984,-974848,1
3,1,32012,191,60054,-708,5550751.8,0.000,0,3907,73696,-6520832,1
4,1,32013,191,59143,-727,6132593.8,0.000,0,3467,-41552,1679360,1
5,1,32014,191,59765,-695,6147992.3,0.000,0,4258,45472,-1720320,1
6,1,32015,191,61912,-717,6226164.5,0.000,0,3442,-38416,5472256,1
7,1,32016,191,62443,-719,6111764.3,0.000,0,3940,-6272,5668864,1
8,1,32017,191,60594,-706,6205238.6,0.000,0,4170,-46256,-2105344,1
9,1,32018,191,62141,-707,5372957.2,0.000,0,4844,-23520,876544,1
10,1,32019,191,59285,-721,0.0,0.000,0,3554,60368,5349376,1
11,1,32020,191,58437,-698,0.0,0.000,-3308,3747,4704,-2318336,1
12,1,32021,191,59994,-684,0.0,0.000,22941,3677,23520,-5332992,1
13,1,32022,191,62759,-712,0.0,0.000,78825,3641,-21168,6012928,1
14,1,32023,191,62241,-697,0.0,0.000,-1930,3584,20384,966656,1
15,1,32024,191,59570,-697,0.0,0.000,-2882,3679,3136,-3891200,1
16,1,32025,191,61848,-715,0.0,0.000,39503,4224,-14112,3678208,1
17,1,32026,191,60670,-684,0.0,0.000,0,4016,48608,-4702208,1
18,1,32027,191,61752,-703,0.0,0.000,0,3643,-784,-278528,1
19,1,32028,191,60670,-705,0.0,0.000,0,4320,7056,450560,1
20,1,32029,191,63059,-699,0.0,0.000,0,4139,41552,-2531328,1
21,1,32030,191,60030,-700,0.0,0.000,0,4133,9408,-6397952,1
22,1,32031,191,59154,-694,0.0,0.000,0,3806,-61152,-7405568,1
23,1,32032,191,62017,-711,0.0,0.000,0,3716,18032,-1957888,1
24,1,32033,191,61742,-728,0.0,0.000,0,4332,6272,2752512,1
25,1,32034,191,60395,-716,0.0,0.000,0,3266,-52528,4997120,1
26,1,32035,191,60399,-711,0.0,0.000,0,4972,-8624,-1540096,1
27,1,32036,191,60874,-712,0.0,0.000,0,5000,25088,-2998272,1
28,1,32037,191,60486,-707,0.0,0.000,0,3696,-1568,-1392640,1
29,1,32038,191,60038,-720,0.0,0.000,0,3580,21952,3612672,1
30,1,32039,191,60548,-713,0.0,0.000,0,5305,35280,1458176,1
31,1,32040,191,60591,-706,0.0,0.000,0,5343,30576,147456,1
32,1,32041,191,60713,-724,0.0,0.000,0,3865,-57232,4775936,1
33,1,32042,191,61824,-718,0.0,0.000,0,3950,23520,-925696,1
34,1,32043,191,60867,-720,2073023.3,0.000,0,3418,31360,2465792,1
35,1,32044,191,60099,-726,6010341.7,0.000,0,3765,-60368,5767168,1
36,1,32045,191,60841,-720,6004672.1,0.000,0,3811,14896,3932160,1
37,1,32046,191,61004,-724,5981239.8,0.000,0,3919,12544,2293760,1
38,1,32047,191,62686,-715,5969507.5,0.000,0,4071,40768,3203072,1
39,1,32048,191,61025,-708,6080964.8,0.000,0,4646,9408,917504,1
40,1,32049,191,60352,-715,6004489.5,0.000,0,3551,-5488,-524288,1
41,1,32050,191,60170,-717,3819742.7,0.000,0,3561,39984,-204800,1
42,1,32051,191,61037,-724,0.0,0.000,29811,4048,-7840,5332992,1
43,1,32052,191,58882,-728,0.0,0.000,27434,3738,-32928,9650176,1
44,1,32053,191,61541,-731,0.0,0.000,-407,3602,-3920,5668864,1
45,1,32054,191,61226,-720,0.0,0.000,16014,3695,-36848,3817472,1
46,1,32055,191,61274,-726,0.0,0.000,34180,3723,-25872,4128768,1
47,1,32056,191,61336,-719,0.0,0.000,30359,3850,-16464,1802240,1
48,1,32057,191,61623,-727,0.0,0.000,6762,3807,7056,3883008,1
49,1,32058,191,61061,-718,0.0,0.000,0,4007,2352,1818624,1
50,1,32059,191,59588,-709,0.0,0.000,0,4068,-25872,-3186688,1
51,1,32060,191,60051,-719,0.0,0.000,0,4649,2352,4235264,1
52,1,32061,191,60211,-733,0.0,0.000,0,3482,-55664,10821632,1
53,1,32062,191,60490,-712,0.0,0.000,0,3966,-63504,2072576,1
54,1,32063,191,60620,-704,0.0,0.000,0,3796,8624,-2580480,1
55,1,32064,191,62376,-725,0.0,0.000,0,3798,14112,9912320,1
56,1,32065,191,60348,-699,0.0,0.000,0,4177,20384,-5701632,1
57,1,32066,191,60490,-738,0.0,0.000,0,3778,3920,8093696,1
58,1,32067,191,60292,-700,0.0,0.000,0,4077,-53312,-1671168,1
59,1,32068,191,60724,-723,0.0,0.000,0,3913,-12544,6078464,1
60,1,32069,191,60689,-714,0.0,0.000,0,3671,7056,532480,1
61,1,32070,191,60432,-726,0.0,0.000,0,4041,-10192,5373952,1
62,1,32071,191,59163,-713,0.0,0.000,0,3607,12544,1835008,1
63,1,32072,191,62340,-713,0.0,0.000,0,3722,-57232,-5914624,1
64,1,32073,191,60428,-699,0.0,0.000,0,3212,46256,819200,1
65,1,32074,191,60907,-708,0.0,0.000,0,3441,-2352,-1720320,1
66,1,32075,191,63005,-709,3966945.9,0.000,0,4280,-42336,-770048,1
67,1,32076,191,61258,-723,6001241.5,0.000,0,4468,14112,2260992,1
68,1,32077,191,60593,-702,4080590.9,0.000,0,3824,-40768,507904,1
69,1,32078,191,62328,-714,1752604.6,0.000,0,4531,26656,4726784,1
70,1,32079,191,60279,-724,5523776.8,0.000,0,4339,-39200,5079040,1
71,1,32080,191,62843,-721,5907898.8,0.000,0,4475,37632,5750784,1
72,1,32081,191,60331,-692,5699667.0,0.000,0,5040,18032,-4636672,1
73,1,32082,191,59996,-720,818702.0,0.000,0,3315,-37632,7077888,1
74,1,32083,191,59804,-722,0.0,0.000,-6472,4282,39984,3579904,1
75,1,32084,191,59559,-708,0.0,0.000,-4180,4256,-2352,-3842048,1
76,1,32085,191,60590,-719,0.0,0.000,0,4227,14896,3497984,1
77,1,32086,191,59526,-710,0.0,0.000,0,3942,-23520,-335872,1
78,1,32087,191,61294,-704,0.0,0.000,600,3845,0,-1810432,1
79,1,32088,191,60943,-724,0.0,0.000,-38341,3908,34496,7651328,1
80,1,32089,191,59078,-719,0.0,0.000,0,4807,-51744,589824,1
81,1,32090,191,60712,-706,0.0,0.000,0,3875,-17248,3006464,1
82,1,32091,191,59717,-708,0.0,0.000,0,3823,-7056,-1343488,1
83,1,32092,191,60559,-720,0.0,0.000,0,3381,-49392,4448256,1
84,1,32093,191,61952,-705,0.0,0.000,0,4286,32144,-5791744,1
85,1,32094,191,62767,-703,0.0,0.000,0,4451,35280,475136,1
86,1,32095,191,59804,-718,0.0,0.000,0,4300,-59584,3563520,1
87,1,32096,191,61135,-706,0.0,0.000,0,3504,-4704,1466368,1
88,1,32097,191,60820,-699,0.0,0.000,0,3557,19600,-16384,1
89,1,32098,191,61856,-712,0.0,0.000,0,3705,-50176,-122880,1
90,1,32099,191,62155,-715,0.0,0.000,0,3902,-784,122880,1
91,1,32100,191,60423,-713,0.0,0.000,0,5391,5488,-1802240,1
92,1,32101,191,61835,-704,0.0,0.000,0,3659,10192,-2621440,1
93,1,32102,191,60448,-725,0.0,0.000,0,3998,36848,7258112,1
94,1,32103,191,58670,-695,0.0,0.000,0,4291,25088,-974848,1
95,1,32104,191,63146,-719,0.0,0.000,0,3927,47824,1204224,1
96,1,32105,191,62552,-728,0.0,0.000,0,3177,-10976,5021696,1
97,1,32106,191,61869,-713,0.0,0.000,0,3617,-25872,-1236992,1
98,1,32107,191,61202,-727,5170295.3,0.000,0,3915,44688,8159232,1
99,1,32108,191,60679,-702,5515755.6,0.000,0,4057,-56448,-1146880,1
100,1,32109,191,61248,-698,173072.7,0.000,0,3974,49392,-3670016,1
101,1,32110,191,60603,-705,0.0,0.000,0,4295,-24304,925696,1
