k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-703,159397.9,0.000,0,3664,52528,90112,1
1,1,32010,191,61276,-707,0.0,0.000,0,4349,8624,-1679360,1
2,1,32011,191,60741,-708,2531324.0,0.000,0,3630,43120,-2244608,1
3,1,32012,191,60054,-709,4129695.8,0.000,0,3888,77616,-6373376,1
4,1,32013,191,59143,-729,0.0,0.000,-34675,4252,-43120,2285568,1
5,1,32014,191,59765,-696,0.0,0.000,0,4202,46256,-1441792,1
6,1,32015,191,61912,-719,5293100.3,0.000,0,3832,-36064,5742592,1
7,1,32016,191,62443,-720,1628429.3,0.000,0,3762,-8624,5709824,1
8,1,32017,191,60594,-710,0.0,0.000,0,4221,-47040,-1097728,1
9,1,32018,191,62141,-712,3814986.9,0.000,0,5048,-26656,1957888,1
10,1,32019,191,59285,-719,3205945.9,0.000,516,3470,61152,5177344,1
11,1,32020,191,58437,-697,0.0,0.000,0,3555,8624,-2637824,1
12,1,32021,191,59994,-688,0.0,0.000,0,3593,23520,-4317184,1
13,1,32022,191,62759,-713,0.0,0.000,0,3564,-21168,6569984,1
14,1,32023,191,62241,-698,0.0,0.000,-2918,3614,11760,1089536,1
15,1,32024,191,59570,-698,0.0,0.000,0,3611,7056,-3973120,1
16,1,32025,191,61848,-717,0.0,0.000,0,4583,-14112,3883008,1
17,1,32026,191,60670,-687,0.0,0.000,387,4049,50960,-3809280,1
18,1,32027,191,61752,-699,0.0,0.000,0,3816,3136,-1114112,1
19,1,32028,191,60670,-704,0.0,0.000,0,4313,6272,65536,1
20,1,32029,191,63059,-703,0.0,0.000,0,4074,42336,-1236992,1
21,1,32030,191,60030,-700,0.0,0.000,0,3989,10192,-6012928,1
22,1,32031,191,59154,-694,0.0,0.000,0,3727,-58800,-7307264,1
23,1,32032,191,62017,-710,0.0,0.000,0,3614,12544,-2007040,1
24,1,32033,191,61742,-729,0.0,0.000,0,4351,9408,2940928,1
25,1,32034,191,60395,-719,0.0,0.000,0,3162,-53312,5693440,1
26,1,32035,191,60399,-708,0.0,0.000,0,5018,-6272,-3653632,1
27,1,32036,191,60874,-711,0.0,0.000,0,4859,23520,-3416064,1
28,1,32037,191,60486,-711,5589348.4,0.000,0,3922,0,-40960,1
29,1,32038,191,60038,-720,3813972.2,0.000,0,3630,19600,3702784,1
30,1,32039,191,60548,-713,0.0,0.000,0,5092,30576,1482752,1
31,1,32040,191,60591,-708,0.0,0.000,0,4879,32144,663552,1
32,1,32041,191,60713,-724,0.0,0.000,0,3811,-55664,4751360,1
33,1,32042,191,61824,-717,0.0,0.000,0,3854,21952,-999424,1
34,1,32043,191,60867,-718,3388368.1,0.000,0,3729,21952,1703936,1
35,1,32044,191,60099,-726,3202410.9,0.000,0,3662,-60368,6094848,1
36,1,32045,191,60841,-721,0.0,0.000,7389,3751,13328,3981312,1
37,1,32046,191,61004,-724,0.0,0.000,0,4216,16464,2301952,1
38,1,32047,191,62686,-714,4903010.9,0.000,0,4161,40768,2744320,1
39,1,32048,191,61025,-708,2308399.4,0.000,0,4682,7056,688128,1
40,1,32049,191,60352,-716,0.0,0.000,0,3792,-2352,-139264,1
41,1,32050,191,60170,-716,4556177.0,0.000,0,3519,37632,-589824,1
42,1,32051,191,61037,-726,1974886.5,0.000,30848,3777,-1568,6012928,1
