k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-699,158486.3,0.000,0,3502,55664,-835584,1
1,1,32010,191,61276,-708,0.0,0.000,0,4350,10976,-1466368,1
2,1,32011,191,60741,-717,2730266.3,0.000,0,3805,43904,212992,1
3,1,32012,191,60054,-708,6174941.1,0.000,0,3911,76048,-6594560,1
4,1,32013,191,59143,-727,6144986.5,0.000,0,3479,-42336,1605632,1
5,1,32014,191,59765,-699,6152266.2,0.000,0,4210,44688,-368640,1
6,1,32015,191,61912,-722,6123067.8,0.000,0,3634,-36848,6578176,1
7,1,32016,191,62443,-720,6059837.6,0.000,0,3623,-7056,5931008,1
8,1,32017,191,60594,-702,5478592.3,0.000,0,4394,-45472,-3227648,1
9,1,32018,191,62141,-708,0.0,0.000,0,4879,-23520,843776,1
10,1,32019,191,59285,-721,0.0,0.000,43,3471,62720,5537792,1
11,1,32020,191,58437,-697,0.0,0.000,-3667,3885,7840,-2686976,1
12,1,32021,191,59994,-674,0.0,0.000,0,3993,24304,-7831552,1
13,1,32022,191,62759,-712,0.0,0.000,0,5166,-23520,5980160,1
14,1,32023,191,62241,-700,0.0,0.000,-1740,3634,18032,1638400,1
15,1,32024,191,59570,-697,0.0,0.000,0,4081,-3920,-3522560,1
16,1,32025,191,61848,-716,0.0,0.000,0,3895,-14112,3760128,1
17,1,32026,191,60670,-679,0.0,0.000,0,4230,43120,-5996544,1
18,1,32027,191,61752,-699,0.0,0.000,0,3874,784,-1474560,1
19,1,32028,191,60670,-704,0.0,0.000,0,4392,5488,57344,1
20,1,32029,191,63059,-700,0.0,0.000,0,3890,39200,-2195456,1
21,1,32030,191,60030,-696,0.0,0.000,0,3883,10192,-7151616,1
22,1,32031,191,59154,-694,0.0,0.000,0,3553,-58800,-7266304,1
23,1,32032,191,62017,-711,0.0,0.000,0,3600,18816,-1925120,1
24,1,32033,191,61742,-728,0.0,0.000,0,4237,3920,2777088,1
25,1,32034,191,60395,-718,0.0,0.000,0,3338,-53312,5406720,1
26,1,32035,191,60399,-712,0.0,0.000,0,4893,-5488,-2416640,1
27,1,32036,191,60874,-712,0.0,0.000,0,5033,26656,-2924544,1
28,1,32037,191,60486,-706,0.0,0.000,0,3544,-4704,-1425408,1
29,1,32038,191,60038,-719,0.0,0.000,0,3439,22736,3440640,1
30,1,32039,191,60548,-716,0.0,0.000,0,5301,35280,2269184,1
31,1,32040,191,60591,-706,0.0,0.000,0,5223,32144,40960,1
32,1,32041,191,60713,-725,0.0,0.000,0,3927,-55664,5013504,1
33,1,32042,191,61824,-717,0.0,0.000,0,3781,18816,-1015808,1
34,1,32043,191,60867,-722,0.0,0.000,0,3821,24304,2711552,1
35,1,32044,191,60099,-727,0.0,0.000,0,3900,-60368,6070272,1
36,1,32045,191,60841,-721,5018394.9,0.000,0,3838,9408,4055040,1
37,1,32046,191,61004,-717,5135996.9,0.000,0,3979,13328,409600,1
38,1,32047,191,62686,-714,0.0,0.000,0,4151,41552,2949120,1
39,1,32048,191,61025,-710,0.0,0.000,0,4536,5488,1294336,1
40,1,32049,191,60352,-711,3599866.4,0.000,0,3499,-1568,-1179648,1
41,1,32050,191,60170,-707,5763864.2,0.000,0,4284,32144,-3817472,1
42,1,32051,191,61037,-726,1073855.1,0.000,0,4476,784,6152192,1
43,1,32052,191,58882,-730,0.0,0.000,27460,3496,-33712,10215424,1
44,1,32053,191,61541,-733,0.0,0.000,-20792,3830,0,5931008,1
45,1,32054,191,61226,-718,0.0,0.000,0,3790,-40768,3407872,1
46,1,32055,191,61274,-714,0.0,0.000,34218,3854,-21168,1318912,1
47,1,32056,191,61336,-719,0.0,0.000,30079,3715,-16464,1736704,1
48,1,32057,191,61623,-725,0.0,0.000,7016,3890,8624,3309568,1
49,1,32058,191,61061,-718,0.0,0.000,0,3845,3920,1826816,1
50,1,32059,191,59588,-704,0.0,0.000,0,4102,-25872,-4521984,1
51,1,32060,191,60051,-719,0.0,0.000,0,4539,2352,4218880,1
52,1,32061,191,60211,-726,0.0,0.000,0,3905,-52528,8658944,1
53,1,32062,191,60490,-713,0.0,0.000,0,4013,-68992,2318336,1
54,1,32063,191,60620,-704,0.0,0.000,0,3740,8624,-2654208,1
55,1,32064,191,62376,-726,0.0,0.000,0,3719,15680,10403840,1
56,1,32065,191,60348,-693,0.0,0.000,0,4053,28224,-7258112,1
57,1,32066,191,60490,-738,0.0,0.000,0,3046,3136,8486912,1
58,1,32067,191,60292,-703,0.0,0.000,0,3935,-55664,-851968,1
59,1,32068,191,60724,-725,0.0,0.000,0,3894,-9408,6651904,1
60,1,32069,191,60689,-715,0.0,0.000,0,3855,14896,811008,1
61,1,32070,191,60432,-719,0.0,0.000,0,3678,-8624,3514368,1
62,1,32071,191,59163,-715,0.0,0.000,0,3587,8624,2375680,1
63,1,32072,191,62340,-715,0.0,0.000,0,3297,-58016,-5251072,1
64,1,32073,191,60428,-698,0.0,0.000,0,3379,56448,-40960,1
65,1,32074,191,60907,-709,5600735.7,0.000,0,3587,-1568,-1368064,1
66,1,32075,191,63005,-714,5969054.7,0.000,0,4372,-43120,786432,1
67,1,32076,191,61258,-724,6001501.7,0.000,0,4385,14112,2514944,1
68,1,32077,191,60593,-703,5882690.8,0.000,0,3716,-36064,-1556480,1
69,1,32078,191,62328,-714,5968043.9,0.000,0,4394,26656,4382720,1
70,1,32079,191,60279,-726,5975676.3,0.000,0,4064,-43120,5652480,1
71,1,32080,191,62843,-722,2073690.6,0.000,0,4489,37632,6029312,1
72,1,32081,191,60331,-699,0.0,0.000,3527,4533,30576,-3792896,1
73,1,32082,191,59996,-721,0.0,0.000,-8121,3675,-43120,7626752,1
74,1,32083,191,59804,-725,0.0,0.000,0,4413,40768,3948544,1
75,1,32084,191,59559,-708,0.0,0.000,0,4382,784,-3710976,1
76,1,32085,191,60590,-715,0.0,0.000,-32664,4091,7840,2260992,1
77,1,32086,191,59526,-709,0.0,0.000,37165,3850,-29008,-925696,1
78,1,32087,191,61294,-722,0.0,0.000,0,3716,-11760,2883584,1
79,1,32088,191,60943,-725,0.0,0.000,0,4217,18032,7847936,1
80,1,32089,191,59078,-725,0.0,0.000,0,5033,-51744,1826816,1
81,1,32090,191,60712,-705,0.0,0.000,0,4171,-16464,2662400,1
82,1,32091,191,59717,-707,0.0,0.000,0,3896,-6272,-1769472,1
83,1,32092,191,60559,-721,0.0,0.000,0,4331,-49392,4882432,1
84,1,32093,191,61952,-704,0.0,0.000,0,4359,35280,-6258688,1
85,1,32094,191,62767,-702,0.0,0.000,0,4061,35280,106496,1
86,1,32095,191,59804,-724,0.0,0.000,0,4566,-55664,5005312,1
87,1,32096,191,61135,-706,0.0,0.000,0,3485,-11760,1196032,1
88,1,32097,191,60820,-704,0.0,0.000,0,3720,16464,1105920,1
89,1,32098,191,61856,-712,0.0,0.000,0,3417,-47824,106496,1
90,1,32099,191,62155,-715,0.0,0.000,0,3829,1568,114688,1
91,1,32100,191,60423,-716,0.0,0.000,0,4436,-1568,-630784,1
