k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-698,158515.4,0.000,0,3554,54880,-1163264,1
1,1,32010,191,61276,-704,0.0,0.000,0,4552,7056,-2686976,1
2,1,32011,191,60741,-716,0.0,0.000,0,3828,41552,-311296,1
3,1,32012,191,60054,-709,3289571.4,0.000,0,3641,65856,-6062080,1
4,1,32013,191,59143,-727,6123054.7,0.000,0,3519,-43120,1753088,1
5,1,32014,191,59765,-685,5912741.5,0.000,0,3693,44688,-3694592,1
6,1,32015,191,61912,-720,2291323.4,0.000,0,3654,-34496,6045696,1
7,1,32016,191,62443,-723,2761459.0,0.000,0,4423,0,8519680,1
8,1,32017,191,60594,-706,5844305.9,0.000,0,4197,-43904,-2039808,1
9,1,32018,191,62141,-708,6039448.3,0.000,0,4827,-24304,974848,1
10,1,32019,191,59285,-715,4985140.9,0.000,0,3621,61936,3858432,1
11,1,32020,191,58437,-696,0.0,0.000,0,3721,6272,-2867200,1
12,1,32021,191,59994,-680,0.0,0.000,23799,3698,21952,-6455296,1
13,1,32022,191,62759,-713,0.0,0.000,78765,3719,-24304,6291456,1
14,1,32023,191,62241,-698,0.0,0.000,0,3594,18816,1204224,1
15,1,32024,191,59570,-698,0.0,0.000,0,3851,1568,-3612672,1
16,1,32025,191,61848,-716,0.0,0.000,0,4362,-12544,3760128,1
17,1,32026,191,60670,-689,0.0,0.000,0,4102,51744,-3530752,1
18,1,32027,191,61752,-703,0.0,0.000,0,4099,1568,32768,1
19,1,32028,191,60670,-703,0.0,0.000,0,4206,6272,-286720,1
20,1,32029,191,63059,-700,0.0,0.000,0,3939,39984,-2285568,1
21,1,32030,191,60030,-704,0.0,0.000,0,3948,10976,-4997120,1
22,1,32031,191,59154,-694,0.0,0.000,0,3923,-56448,-7659520,1
23,1,32032,191,62017,-711,0.0,0.000,0,3570,18816,-1785856,1
24,1,32033,191,61742,-728,0.0,0.000,0,4308,2352,2646016,1
25,1,32034,191,60395,-722,0.0,0.000,0,5208,-51744,5906432,1
26,1,32035,191,60399,-701,0.0,0.000,0,3448,-7840,-5758976,1
27,1,32036,191,60874,-709,0.0,0.000,0,4975,24304,-3710976,1
28,1,32037,191,60486,-708,0.0,0.000,0,3666,1568,-1114112,1
29,1,32038,191,60038,-722,0.0,0.000,0,4835,21168,4538368,1
30,1,32039,191,60548,-716,0.0,0.000,0,5220,37632,2334720,1
31,1,32040,191,60591,-707,0.0,0.000,0,5074,37632,-16384,1
32,1,32041,191,60713,-725,0.0,0.000,0,3807,-56448,4956160,1
33,1,32042,191,61824,-722,3824313.2,0.000,0,3881,20384,327680,1
34,1,32043,191,60867,-719,6038389.6,0.000,0,3735,21168,1843200,1
35,1,32044,191,60099,-726,6039931.2,0.000,0,3940,-60368,5816320,1
36,1,32045,191,60841,-720,6057858.0,0.000,0,3930,12544,3784704,1
37,1,32046,191,61004,-725,6045465.3,0.000,0,3952,14112,2605056,1
38,1,32047,191,62686,-714,5958977.1,0.000,0,4070,41552,2801664,1
39,1,32048,191,61025,-709,6073240.3,0.000,0,4620,7056,1073152,1
40,1,32049,191,60352,-712,5559020.2,0.000,0,3430,0,-1417216,1
41,1,32050,191,60170,-715,0.0,0.000,0,3586,38416,-745472,1
42,1,32051,191,61037,-727,0.0,0.000,30446,4099,-3136,6021120,1
43,1,32052,191,58882,-728,0.0,0.000,27231,3843,-32928,9576448,1
44,1,32053,191,61541,-731,0.0,0.000,-684,3774,-2352,6086656,1
45,1,32054,191,61226,-717,0.0,0.000,15897,3707,-37632,2973696,1
46,1,32055,191,61274,-727,0.0,0.000,34282,3740,-25088,4243456,1
47,1,32056,191,61336,-719,0.0,0.000,30105,3870,-16464,1646592,1
48,1,32057,191,61623,-726,0.0,0.000,6915,3934,7840,3489792,1
49,1,32058,191,61061,-717,0.0,0.000,0,3723,3920,1507328,1
50,1,32059,191,59588,-711,0.0,0.000,0,3968,-25088,-2498560,1
51,1,32060,191,60051,-719,0.0,0.000,0,4480,3920,3964928,1
52,1,32061,191,60211,-727,0.0,0.000,0,4257,-51744,9486336,1
53,1,32062,191,60490,-715,0.0,0.000,0,3983,-68992,2949120,1
54,1,32063,191,60620,-705,0.0,0.000,0,3598,10192,-2646016,1
55,1,32064,191,62376,-727,0.0,0.000,0,3773,14112,10797056,1
56,1,32065,191,60348,-702,0.0,0.000,0,4046,25872,-4923392,1
57,1,32066,191,60490,-739,0.0,0.000,0,3893,5488,8470528,1
58,1,32067,191,60292,-704,0.0,0.000,0,3858,-55664,-409600,1
59,1,32068,191,60724,-725,0.0,0.000,0,3987,-17248,6676480,1
60,1,32069,191,60689,-716,0.0,0.000,0,3697,13328,1138688,1
61,1,32070,191,60432,-718,0.0,0.000,0,3696,-11760,3235840,1
62,1,32071,191,59163,-715,0.0,0.000,0,3734,10192,2375680,1
63,1,32072,191,62340,-714,0.0,0.000,0,3622,-58800,-5308416,1
64,1,32073,191,60428,-699,0.0,0.000,0,3453,53312,139264,1
65,1,32074,191,60907,-706,0.0,0.000,0,3504,0,-2334720,1
66,1,32075,191,63005,-712,0.0,0.000,0,4213,-41552,0,1
67,1,32076,191,61258,-722,0.0,0.000,0,4510,11760,1892352,1
