k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-701,1365971.1,0.000,0,3470,55664,-417792,1
1,1,32010,191,61276,-707,0.0,0.000,0,4248,7056,-1835008,1
2,1,32011,191,60741,-711,2915789.4,0.000,0,3451,39200,-1810432,1
3,1,32012,191,60054,-711,0.0,0.000,0,3707,71344,-5693440,1
4,1,32013,191,59143,-725,0.0,0.000,0,4338,-45472,1400832,1
5,1,32014,191,59765,-698,0.0,0.000,0,4275,46256,-991232,1
6,1,32015,191,61912,-721,2990459.7,0.000,0,4048,-38416,6455296,1
7,1,32016,191,62443,-719,0.0,0.000,0,4015,-5488,5677056,1
8,1,32017,191,60594,-710,0.0,0.000,0,4068,-47040,-1073152,1
9,1,32018,191,62141,-710,0.0,0.000,0,4620,-27440,1335296,1
10,1,32019,191,59285,-718,2796191.1,0.000,0,3254,61936,4767744,1
11,1,32020,191,58437,-697,0.0,0.000,0,3702,5488,-2637824,1
12,1,32021,191,59994,-686,4440025.4,0.000,0,3684,24304,-4694016,1
13,1,32022,191,62759,-715,0.0,0.000,0,3967,-28224,7151616,1
14,1,32023,191,62241,-695,1359499.1,0.000,0,3967,16464,434176,1
15,1,32024,191,59570,-694,2821334.5,0.000,0,3859,1568,-4775936,1
16,1,32025,191,61848,-717,0.0,0.000,0,4652,-12544,3989504,1
17,1,32026,191,60670,-687,2789312.2,0.000,0,3867,43120,-3973120,1
18,1,32027,191,61752,-708,1166290.3,0.000,0,3661,2352,1187840,1
19,1,32028,191,60670,-704,3547888.8,0.000,0,4071,6272,-106496,1
20,1,32029,191,63059,-702,0.0,0.000,0,4526,41552,-1630208,1
21,1,32030,191,60030,-699,3524385.8,0.000,0,4219,9408,-6365184,1
22,1,32031,191,59154,-699,0.0,0.000,38826,4139,-60368,-6004736,1
23,1,32032,191,62017,-708,3724984.3,0.000,0,4129,19600,-2531328,1
24,1,32033,191,61742,-729,0.0,0.000,0,4784,5488,3137536,1
25,1,32034,191,60395,-721,3487894.6,0.000,2093,3289,-41552,6438912,1
26,1,32035,191,60399,-712,0.0,0.000,0,4394,-7056,-2875392,1
27,1,32036,191,60874,-710,2939318.1,0.000,0,4846,27440,-3399680,1
28,1,32037,191,60486,-710,0.0,0.000,0,4091,2352,-2916352,1
29,1,32038,191,60038,-717,62140.9,0.000,0,3877,11760,2637824,1
30,1,32039,191,60548,-709,3035517.5,0.000,0,5427,32928,344064,1
31,1,32040,191,60591,-709,0.0,0.000,0,4628,32928,876544,1
32,1,32041,191,60713,-724,0.0,0.000,0,3551,-56448,4825088,1
33,1,32042,191,61824,-718,0.0,0.000,0,3476,25088,-909312,1
34,1,32043,191,60867,-720,2719970.2,0.000,0,3505,28224,2334720,1
35,1,32044,191,60099,-726,0.0,0.000,0,3522,-60368,5931008,1
36,1,32045,191,60841,-722,0.0,0.000,0,3229,-784,4489216,1
37,1,32046,191,61004,-725,0.0,0.000,0,5169,10976,2482176,1
38,1,32047,191,62686,-711,2830041.2,0.000,0,4752,40768,2220032,1
39,1,32048,191,61025,-711,0.0,0.000,0,4789,8624,1556480,1
40,1,32049,191,60352,-716,0.0,0.000,0,3530,-7056,-212992,1
41,1,32050,191,60170,-714,0.0,0.000,0,3292,37632,-925696,1
42,1,32051,191,61037,-726,2751295.2,0.000,0,3876,-8624,4980736,1
43,1,32052,191,58882,-726,0.0,0.000,0,3686,-33712,9076736,1
44,1,32053,191,61541,-735,5345987.1,0.000,0,3603,-2352,6905856,1
45,1,32054,191,61226,-719,773890.2,0.000,0,3856,-39200,4038656,1
46,1,32055,191,61274,-728,1580037.4,0.000,0,4600,-25088,4677632,1
47,1,32056,191,61336,-715,2497746.9,0.000,0,4262,-16464,655360,1
48,1,32057,191,61623,-728,0.0,0.000,0,3616,6272,4038656,1
49,1,32058,191,61061,-714,2974049.3,0.000,0,3341,2352,647168,1
50,1,32059,191,59588,-708,0.0,0.000,0,3533,-26656,-3440640,1
51,1,32060,191,60051,-715,3282617.1,0.000,0,4128,3136,3096576,1
52,1,32061,191,60211,-725,0.0,0.000,3230,5197,-55664,8503296,1
53,1,32062,191,60490,-714,3443898.2,0.000,0,4717,-63504,2629632,1
54,1,32063,191,60620,-704,0.0,0.000,-2691,3983,9408,-2793472,1
55,1,32064,191,62376,-729,3714483.7,0.000,0,3910,14112,10936320,1
56,1,32065,191,60348,-701,138801.1,0.000,0,4527,19600,-5300224,1
57,1,32066,191,60490,-739,3740832.3,0.000,0,3575,3920,8470528,1
58,1,32067,191,60292,-705,1670176.5,0.000,0,3602,-52528,-212992,1
59,1,32068,191,60724,-721,2368522.2,0.000,0,3856,-13328,5718016,1
60,1,32069,191,60689,-718,0.0,0.000,0,4489,10192,1327104,1
61,1,32070,191,60432,-716,402215.0,0.000,0,4397,-6272,2924544,1
62,1,32071,191,59163,-719,2920321.3,0.000,0,4089,11760,3424256,1
63,1,32072,191,62340,-711,0.0,0.000,0,3808,-56448,-6799360,1
64,1,32073,191,60428,-698,0.0,0.000,7320,3849,54096,147456,1
65,1,32074,191,60907,-709,0.0,0.000,0,2999,-2352,-1409024,1
66,1,32075,191,63005,-711,2732082.8,0.000,8169,3983,-43120,-442368,1
67,1,32076,191,61258,-723,0.0,0.000,0,3681,13328,2457600,1
68,1,32077,191,60593,-704,0.0,0.000,0,4060,-39200,286720,1
69,1,32078,191,62328,-713,0.0,0.000,0,4601,22736,5537792,1
70,1,32079,191,60279,-725,2814039.6,0.000,0,4461,-39200,5406720,1
71,1,32080,191,62843,-720,0.0,0.000,0,4528,36064,5570560,1
72,1,32081,191,60331,-694,0.0,0.000,0,4175,29008,-5021696,1
73,1,32082,191,59996,-718,0.0,0.000,0,3093,-39984,6856704,1
74,1,32083,191,59804,-723,2789222.2,0.000,0,4249,40768,3842048,1
75,1,32084,191,59559,-710,112939.4,0.000,0,4055,-2352,-3203072,1
76,1,32085,191,60590,-715,5927250.3,0.000,0,4276,11760,2277376,1
77,1,32086,191,59526,-706,1477267.2,0.000,0,4629,-13328,-2154496,1
78,1,32087,191,61294,-719,1949551.6,0.000,0,4186,-9408,2138112,1
79,1,32088,191,60943,-724,2371231.9,0.000,0,3654,36064,7806976,1
80,1,32089,191,59078,-718,0.0,0.000,0,4056,-49392,360448,1
81,1,32090,191,60712,-707,2982863.1,0.000,0,3702,-13328,3129344,1
82,1,32091,191,59717,-706,0.0,0.000,0,3493,-7056,-1400832,1
83,1,32092,191,60559,-722,3204133.9,0.000,56889,3599,-50176,5160960,1
84,1,32093,191,61952,-704,0.0,0.000,2677,4382,32144,-6127616,1
85,1,32094,191,62767,-700,3254570.1,0.000,0,3015,32144,1384448,1
86,1,32095,191,59804,-723,0.0,0.000,-10612,4574,-57232,4677632,1
87,1,32096,191,61135,-707,3878055.3,0.000,0,4334,-10192,1720320,1
88,1,32097,191,60820,-706,2359174.6,0.000,0,3506,18816,1736704,1
89,1,32098,191,61856,-712,3062197.3,0.000,0,2029,-10976,-622592,1
90,1,32099,191,62155,-717,2550113.8,0.000,0,3472,0,638976,1
91,1,32100,191,60423,-719,1348268.1,0.000,0,4473,25088,253952,1
92,1,32101,191,61835,-704,0.0,0.000,0,3714,17248,-2523136,1
93,0,-1,191,855,-729,1041169.2,0.000,0,3989,36848,8372224,1
94,1,32103,191,58670,-701,2687040.7,0.000,0,4072,26656,1130496,1
95,1,32104,191,63146,-721,0.0,0.000,0,4411,50176,1712128,1
96,1,32105,191,62552,-719,0.0,0.000,-4463,3501,-11760,2629632,1
97,1,32106,191,61869,-714,0.0,0.000,0,4128,-23520,-860160,1
98,1,32107,191,61202,-730,2759878.3,0.000,-7404,3329,40768,8790016,1
99,1,32108,191,60679,-702,0.0,0.000,0,3806,-57232,-1171456,1
100,1,32109,191,61248,-698,0.0,0.000,0,4311,46256,-3473408,1
101,1,32110,191,60603,-705,0.0,0.000,-29948,5376,-23520,565248,1
102,1,32111,191,61467,-702,2941180.8,0.000,0,4124,36064,925696,1
103,1,32112,191,59968,-699,0.0,0.000,0,3783,0,-1687552,1
104,1,32113,191,60830,-714,0.0,0.000,0,3858,40768,-1294336,1
105,1,32114,191,60068,-703,1343468.4,0.000,0,4722,72128,32768,1
106,1,32115,191,60455,-708,2506546.8,0.000,0,3320,-44688,-1810432,1
107,1,32116,191,59656,-696,2355782.1,0.000,0,4649,38416,-2719744,1
108,1,32117,191,59966,-717,6018279.9,0.000,0,5142,30576,4784128,1
109,1,32118,191,60059,-709,1646471.4,0.000,0,3643,15680,-2269184,1
110,1,32119,191,61726,-718,2133596.2,0.000,0,5197,21168,1376256,1
111,1,32120,191,61153,-711,2252345.3,0.000,0,5034,-39200,-2121728,1
112,1,32121,191,60447,-693,0.0,0.000,0,4258,32928,778240,1
113,1,32122,191,60873,-716,3049715.9,0.000,740,3426,25872,5111808,1
114,1,32123,191,60770,-732,0.0,0.000,0,3170,-18816,3637248,1
115,1,32124,191,61206,-727,3163783.1,0.000,70382,3892,9408,4603904,1
116,1,32125,191,59810,-727,0.0,0.000,-49663,5355,-25088,6152192,1
117,1,32126,191,60682,-714,3314271.4,0.000,0,3964,21952,-2228224,1
118,1,32127,191,60713,-707,0.0,0.000,-2664,4107,-17248,-3432448,1
119,1,32128,191,60709,-719,4100819.5,0.000,0,3712,-9408,5709824,1
120,1,32129,191,62734,-725,3357162.5,0.000,0,3656,-18032,8232960,1
121,1,32130,191,61461,-731,2360437.3,0.000,0,3618,-7840,3342336,1
122,1,32131,191,59697,-727,2904203.0,0.000,0,4199,19600,2482176,1
123,1,32132,191,61716,-723,0.0,0.000,0,3477,40768,5750784,1
124,0,32133,191,60473,-697,0.0,0.000,0,5301,-67424,-7725056,1
125,0,-1,191,59784,-733,1360802.0,0.000,0,4578,-17248,6373376,1
126,1,32135,191,61273,-711,2586589.2,0.000,0,4320,-14112,3596288,1
127,1,32136,191,60098,-728,0.0,0.000,0,4231,63504,8044544,1
128,1,32137,191,59995,-706,0.0,0.000,2266,4095,-46256,1753088,1
129,1,32138,191,61667,-726,0.0,0.000,0,2805,-18816,8388608,1
130,1,32139,191,61864,-700,2758452.3,0.000,0,3477,-30576,-589824,1
131,1,32140,191,62308,-716,0.0,0.000,0,3800,-29792,-3784704,1
132,1,32141,191,59746,-707,0.0,0.000,0,3778,39984,2400256,1
133,1,32142,191,59278,-722,0.0,0.000,7903,4888,-21168,827392,1
134,1,32143,191,59832,-700,2900724.5,0.000,0,4104,26656,1105920,1
135,1,32144,191,60510,-706,0.0,0.000,0,3332,784,-499712,1
136,1,32145,191,61471,-704,0.0,0.000,0,4179,3136,-802816,1
137,1,32146,191,61179,-695,2365382.4,0.000,0,4264,18032,-3112960,1
138,1,32147,191,60324,-705,1696420.8,0.000,0,3841,-50960,2277376,1
139,1,32148,191,61056,-696,3232497.0,0.000,0,3636,10192,-3129344,1
140,1,32149,191,59985,-709,6185102.5,0.000,0,3714,-8624,-360448,1
141,1,32150,191,63045,-684,1841341.4,0.000,0,4764,43120,-5308416,1
142,1,32151,191,60035,-715,2447133.3,0.000,0,4410,-30576,155648,1
143,1,32152,191,61095,-716,2068824.1,0.000,0,4443,-11760,-221184,1
144,1,32153,191,62658,-718,0.0,0.000,0,4530,17248,507904,1
145,1,32154,191,58349,-717,3095086.3,0.000,-29957,3882,-1568,3194880,1
146,1,32155,191,57658,-687,0.0,0.000,0,4744,24304,-2588672,1
147,1,32156,191,62298,-726,3279628.2,0.000,-7911,3157,44688,5750784,1
148,1,32157,191,63481,-698,0.0,0.000,-2382,4081,-18816,-3268608,1
149,1,32158,191,61634,-726,3379574.9,0.000,0,4324,-28224,6946816,1
150,1,32159,191,59319,-731,0.0,0.000,7505,4346,51744,3293184,1
151,1,32160,191,60989,-726,4545272.0,0.000,0,4062,38416,7364608,1
152,1,32161,191,61137,-707,4227061.1,0.000,0,3662,41552,-3031040,1
153,1,32162,191,61270,-707,1078604.6,0.000,0,2984,48608,-352256,1
154,1,32163,191,59139,-719,2830987.3,0.000,0,3235,-44688,2285568,1
155,1,32164,191,59054,-695,0.0,0.000,0,3555,-36848,-1064960,1
156,0,32165,191,57551,-697,0.0,0.000,0,4758,14112,-1261568,1
157,0,-1,191,1863,-716,1936115.8,0.000,0,4263,0,-1531904,1
158,0,-1,191,61440,-711,2290025.8,0.000,0,4633,32928,-1605632,1
159,1,32168,191,59964,-709,0.0,0.000,0,3913,-58800,-3710976,1
160,1,32169,191,60137,-709,0.0,0.000,0,3512,-2352,185974784,1
