k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
81,1,32090,191,60712,-705,0.0,0.000,0,4106,-10976,2957312,1
82,1,32091,191,59717,-709,0.0,0.000,0,3915,-3136,-2736128,1
83,1,32092,191,60559,-722,0.0,0.000,0,4243,-50176,4997120,1
84,1,32093,191,61952,-704,0.0,0.000,0,4525,35280,-6234112,1
85,1,32094,191,62767,-704,0.0,0.000,0,4675,30576,2957312,1
86,1,32095,191,59804,-724,0.0,0.000,0,4177,-63504,4931584,1
87,1,32096,191,61135,-706,0.0,0.000,0,3356,-14896,1105920,1
88,1,32097,191,60820,-705,0.0,0.000,0,3630,18032,1302528,1
89,1,32098,191,61856,-710,0.0,0.000,0,3647,-53312,-647168,1
90,1,32099,191,62155,-716,0.0,0.000,0,3962,1568,417792,1
91,1,32100,191,60423,-715,0.0,0.000,0,4542,-1568,-1032192,1
92,1,32101,191,61835,-704,0.0,0.000,0,3528,14112,-2695168,1
93,1,32102,191,60448,-723,0.0,0.000,0,3518,29008,6258688,1
94,1,32103,191,58670,-702,0.0,0.000,0,3558,27440,1130496,1
95,1,32104,191,63146,-721,0.0,0.000,0,3795,43120,1433600,1
96,1,32105,191,62552,-722,0.0,0.000,0,3592,-11760,3514368,1
97,1,32106,191,61869,-711,1093130.7,0.000,0,4411,-41552,-884736,1
98,1,32107,191,61202,-727,5831848.0,0.000,0,4042,42336,8167424,1
99,1,32108,191,60679,-707,6011070.6,0.000,0,3731,-58016,204800,1
100,1,32109,191,61248,-698,5950267.4,0.000,0,4174,47824,-3399680,1
101,1,32110,191,60603,-704,5392646.4,0.000,0,4160,-23520,778240,1
102,1,32111,191,61467,-705,1252402.7,0.000,0,3464,37632,1220608,1
103,1,32112,191,59968,-701,0.0,0.000,0,3874,-6272,-1007616,1
104,1,32113,191,60830,-711,0.0,0.000,0,4276,43120,-2048000,1
105,1,32114,191,60068,-707,0.0,0.000,0,3771,72128,1851392,1
106,1,32115,191,60455,-712,0.0,0.000,-8988,3285,-50960,720896,1
107,1,32116,191,59656,-696,0.0,0.000,-30528,5150,39984,-2834432,1
108,1,32117,191,59966,-715,0.0,0.000,84210,3751,36848,4292608,1
109,1,32118,191,60059,-720,0.0,0.000,0,3985,-10192,-1327104,1
110,0,32119,191,61896,-716,0.0,0.000,0,4943,18816,884736,1
111,0,32120,191,61287,-710,0.0,0.000,0,5138,-43120,-2326528,1
112,1,32121,191,60447,-696,0.0,0.000,0,4680,34496,1785856,1
113,1,32122,191,60873,-711,0.0,0.000,0,4536,-25872,1064960,1
114,1,32123,191,60770,-729,0.0,0.000,0,5199,28224,4136960,1
115,0,-1,191,61806,-723,0.0,0.000,0,5078,10192,3579904,1
116,1,32125,191,59810,-727,0.0,0.000,0,4469,-23520,6266880,1
117,1,32126,191,60682,-718,0.0,0.000,0,3531,21168,-966656,1
118,1,32127,191,60713,-702,0.0,0.000,0,3602,-17248,-4792320,1
119,1,32128,191,60709,-721,0.0,0.000,0,4532,-15680,6381568,1
120,1,32129,191,62734,-722,0.0,0.000,0,4132,-17248,7512064,1
121,1,32130,191,61461,-727,0.0,0.000,0,3980,-16464,2359296,1
122,1,32131,191,59697,-728,0.0,0.000,0,4430,19600,3112960,1
123,1,32132,191,61716,-716,0.0,0.000,0,3838,5488,3948544,1
124,1,32133,191,60456,-698,0.0,0.000,0,4488,-19600,-671744,1
125,1,32134,191,59624,-736,0.0,0.000,0,3892,-14896,7217152,1
126,1,32135,191,61273,-711,0.0,0.000,0,3910,-10976,3653632,1
127,1,32136,191,60098,-731,0.0,0.000,0,3800,69776,8986624,1
128,1,32137,191,59995,-705,0.0,0.000,0,4128,-46256,1564672,1
129,1,32138,191,61667,-723,4233613.1,0.000,0,4084,-20384,7839744,1
130,1,32139,191,61864,-698,6044752.0,0.000,0,4131,-31360,-1073152,1
131,1,32140,191,62308,-718,6179108.9,0.000,0,3864,-29792,-3481600,1
132,1,32141,191,59746,-707,5812265.2,0.000,0,3662,44688,3055616,1
133,1,32142,191,59278,-723,2327927.7,0.000,0,4556,-22736,1171456,1
134,1,32143,191,59832,-702,0.0,0.000,0,4503,28224,1409024,1
135,1,32144,191,60510,-707,0.0,0.000,0,3662,-3920,-32768,1
136,1,32145,191,61471,-706,0.0,0.000,0,4388,5488,-335872,1
137,1,32146,191,61179,-698,0.0,0.000,-4681,4993,19600,-2048000,1
138,1,32147,191,60324,-705,0.0,0.000,51203,3468,-51744,2342912,1
139,1,32148,191,61056,-695,0.0,0.000,6232,3413,10192,-3358720,1
140,1,32149,191,59985,-684,0.0,0.000,0,2988,-39984,2301952,1
141,1,32150,191,63045,-699,0.0,0.000,0,4465,41552,-3588096,1
142,0,-1,191,62282,-720,0.0,0.000,0,4500,-31360,1376256,1
143,1,32152,191,61095,-718,0.0,0.000,0,4926,-14112,81920,1
144,1,32153,191,62658,-714,0.0,0.000,0,5104,24304,-671744,1
145,1,32154,191,58349,-715,0.0,0.000,0,5071,32928,3096576,1
146,0,-1,191,55755,-692,0.0,0.000,0,4862,23520,-1024000,1
147,0,-1,191,62234,-726,0.0,0.000,0,3618,41552,5971968,1
148,1,32157,191,63481,-692,0.0,0.000,0,4098,-21952,-4415488,1
149,1,32158,191,61634,-722,0.0,0.000,0,4426,-27440,5890048,1
150,1,32159,191,59319,-736,0.0,0.000,0,3796,51744,4530176,1
151,1,32160,191,60989,-726,0.0,0.000,0,3555,40768,7389184,1
152,1,32161,191,61137,-709,0.0,0.000,0,3560,40768,-2621440,1
153,1,32162,191,61270,-710,0.0,0.000,0,3889,47040,32768,1
154,1,32163,191,59139,-717,0.0,0.000,0,3640,-45472,1802240,1
155,1,32164,191,59054,-695,0.0,0.000,0,3536,14112,-1007616,1
156,1,32165,191,61562,-694,0.0,0.000,0,4309,41552,-57344,1
157,1,32166,191,62630,-712,0.0,0.000,0,3735,-1568,-2506752,1
158,1,32167,191,61504,-712,0.0,0.000,0,4529,29008,-1572864,1
159,1,32168,191,59964,-710,0.0,0.000,0,3892,-61936,-2670592,1
160,1,32169,191,60137,-716,0.0,0.000,0,4251,-2352,187801600,1
