k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-682,158032.0,0.000,0,4458,14896,-6930432,1
1,1,32010,191,61276,-706,0.0,0.000,0,4484,8624,-1892352,1
2,1,32011,191,60741,-714,0.0,0.000,0,3625,39200,-925696,1
3,1,32012,191,60054,-700,2388998.1,0.000,0,3208,72912,-9445376,1
4,1,32013,191,59143,-730,5979286.8,0.000,0,3370,-43120,2531328,1
5,1,32014,191,59765,-700,6151374.8,0.000,0,4154,46256,-409600,1
6,1,32015,191,61912,-718,6230548.1,0.000,0,3587,-40768,5652480,1
7,1,32016,191,62443,-719,6085846.3,0.000,0,3630,-3136,5734400,1
8,1,32017,191,60594,-711,4243484.8,0.000,0,4441,-45472,-942080,1
9,1,32018,191,62141,-709,0.0,0.000,0,5099,-26656,1130496,1
10,1,32019,191,59285,-722,0.0,0.000,0,3517,62720,5783552,1
11,1,32020,191,58437,-695,0.0,0.000,-4376,3452,9408,-3121152,1
12,1,32021,191,59994,-687,0.0,0.000,21935,3732,22736,-4538368,1
13,1,32022,191,62759,-716,0.0,0.000,79088,3649,-21952,7479296,1
14,1,32023,191,62241,-697,0.0,0.000,-2250,3558,18816,942080,1
15,1,32024,191,59570,-698,0.0,0.000,-2987,3874,9408,-4210688,1
16,1,32025,191,61848,-716,0.0,0.000,0,4270,-14896,3735552,1
17,1,32026,191,60670,-688,0.0,0.000,0,4523,50176,-3833856,1
18,1,32027,191,61752,-703,0.0,0.000,0,4018,0,-98304,1
19,1,32028,191,60670,-705,0.0,0.000,0,4135,2352,303104,1
20,1,32029,191,63059,-699,0.0,0.000,0,4112,42336,-2342912,1
21,1,32030,191,60030,-700,0.0,0.000,0,3874,10192,-6029312,1
22,1,32031,191,59154,-694,0.0,0.000,0,3773,-60368,-7127040,1
23,1,32032,191,62017,-707,0.0,0.000,0,3688,8624,-2768896,1
24,1,32033,191,61742,-729,0.0,0.000,0,4416,8624,2932736,1
25,1,32034,191,60395,-718,0.0,0.000,0,3438,-53312,5439488,1
26,1,32035,191,60399,-711,0.0,0.000,0,4983,-5488,-3112960,1
27,1,32036,191,60874,-709,0.0,0.000,0,4782,20384,-3891200,1
28,1,32037,191,60486,-711,0.0,0.000,0,3870,2352,-65536,1
29,1,32038,191,60038,-719,0.0,0.000,0,3547,21168,3448832,1
30,1,32039,191,60548,-713,0.0,0.000,0,5113,35280,1490944,1
31,1,32040,191,60591,-708,0.0,0.000,0,5017,34496,598016,1
32,1,32041,191,60713,-725,0.0,0.000,0,3801,-55664,5087232,1
33,1,32042,191,61824,-717,0.0,0.000,0,3880,25088,-1212416,1
34,1,32043,191,60867,-718,0.0,0.000,0,3954,24304,1744896,1
35,1,32044,191,60099,-726,2726741.5,0.000,0,4033,-63504,5677056,1
36,1,32045,191,60841,-721,6013665.5,0.000,0,3920,11760,4038656,1
37,1,32046,191,61004,-724,6078764.0,0.000,0,4135,14112,2383872,1
38,1,32047,191,62686,-715,5930804.5,0.000,0,4243,40768,3022848,1
