ts,occ,push_ptr,pop_ptr,pop_on_empty,push_on_full,frames,cSS,cRH,cCFC,cCS,cPD,cPC,d_pop_on_empty,d_push_on_full,d_frames,d_cSS,d_cRH,d_cCFC,d_cCS,d_cPD,d_cPC,r4b_locked,r4b_skips,r4b_opens,d_r4b_skips,d_r4b_opens,dt_s,aux_lag_s
2026-09-04T20:15:40-04:00,9,17,8,44,0,98154,1209687601,1209687592,1209687584,1209687581,1209675241,1208387820,,,,,,,,,,1,8,32579,,,,0.051
2026-09-04T20:15:51-04:00,9,9,0,44,0,111989,1380314505,1380314496,1380314488,1380314485,1380302144,1378834869,0,0,13835,170626904,170626904,170626904,170626904,170626903,170447049,1,8,13646,0,13835,11.0,0.051
2026-09-04T20:16:03-04:00,8,3,27,44,0,125848,1551238627,1551238619,1551238611,1551238608,1551226267,1549578825,0,0,13859,170924122,170924123,170924123,170924123,170924123,170743956,1,8,27505,0,13859,12.0,0.051
