1 1312 51 112 23743 23746 23756 23766 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
2 1312 51 113 23773 23775 23785 23795 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
3 1312 51 114 23802 23804 23814 23824 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
4 1312 51 115 23831 23834 23843 23853 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
5 1312 51 116 23860 23863 23873 23883 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
6 1312 51 117 23890 23893 23903 23913 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
7 1312 51 118 23920 23922 23932 23942 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
8 1313 51 119 23949 23952 23961 23971 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
9 1313 51 120 23978 23980 23991 24000 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
10 1313 51 121 24007 24009 24020 24029 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
11 1312 102 122 24036 24038 24048 24059 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
12 1314 0 124 24066 24069 24079 24089 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
13 1312 102 124 24094 24096 24107 24116 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
14 1314 0 126 24124 24126 24137 24147 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
15 1312 102 126 24153 24155 24166 24175 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
16 1313 51 128 24182 24184 24194 24204 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
17 1314 51 129 24211 24213 24223 24233 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
18 1313 51 130 24240 24243 24253 24263 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
19 1313 51 131 24270 24272 24282 24292 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
20 1312 51 132 24300 24303 24313 24323 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
21 1313 51 133 24330 24332 24342 24352 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
22 1312 51 134 24359 24361 24371 24381 0x5216F3E2 0x52B9CE5C 0x282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
23 1313 51 135 24388 24391 24401 24411 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
24 1313 51 136 24418 24421 24431 24441 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
25 1313 51 137 24448 24450 24460 24470 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
26 1312 51 138 24477 24479 24489 24499 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
27 1313 51 139 24506 24509 24519 24529 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
28 1312 51 140 24536 24538 24548 24558 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
29 1313 51 141 24565 24567 24577 24587 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
30 1313 51 142 24594 24597 24607 24617 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
31 1313 51 143 24623 24625 24635 24645 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
32 1313 51 144 24652 24655 24665 24675 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
33 1315 51 145 24681 24684 24694 24704 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x0 0xBCF94856
34 1311 102 146 24710 24712 24722 24732 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
35 1313 0 148 24739 24741 24751 24761 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
36 1310 102 148 24767 24769 24779 24789 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
37 1313 0 150 24797 24800 24810 24820 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
38 1312 102 150 24826 24828 24838 24848 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
39 1313 51 152 24856 24858 24868 24878 0x5216F3E2 0x52B9CE5C 0x4922282 0x121D8572 0x4464B969 0x5EDFB6EE 0xBCF94856
