# outframe clk cap_out golden user frameStart rstcs
0 453278 00000000 0 0 1 0
1 650606 a029d28a 0 0 2 0
2 847934 a029d28a 0 0 3 0
3 1045262 a029d28a 0 0 4 0
4 1242590 a029d28a 0 0 5 0
5 1439918 a029d28a 0 0 6 0
6 1637246 a029d28a 0 0 7 0
7 1834574 a029d28a 0 0 8 0
8 2031902 a029d28a 0 0 9 0
9 2229230 a029d28a 0 0 10 0
10 2426558 a029d28a 0 0 11 0
11 2623886 a029d28a 0 0 12 0
12 2821214 a029d28a 0 0 13 0
13 3018542 a029d28a 0 0 14 0
14 3215870 a029d28a 0 0 15 0
15 3413198 a029d28a 0 0 16 0
16 3610526 a029d28a 0 0 17 0
17 3807854 a029d28a 0 0 18 0
18 4005182 a029d28a 0 0 19 0
19 4202510 a029d28a 0 0 20 0
20 4399838 a029d28a 0 0 21 0
21 4597166 a029d28a 0 0 22 0
22 4794494 a029d28a 0 0 23 0
23 4991822 a029d28a 0 0 24 0
24 5189150 a029d28a 0 0 25 0
25 5386478 a029d28a 0 0 26 0
26 5583806 a029d28a 0 0 27 0
27 5781134 a029d28a 0 0 28 0
28 5978462 a029d28a 0 0 29 0
29 6175790 a029d28a 0 0 30 0
30 6373118 a029d28a 0 0 31 0
31 6570446 a029d28a 0 0 32 0
32 6767774 a029d28a 0 0 33 0
33 6965102 a029d28a 0 0 34 0
34 7162430 a029d28a 0 0 35 0
35 7359758 a029d28a 0 0 36 0
36 7557086 a029d28a 0 0 37 0
37 7754414 a029d28a 0 0 38 0
38 7951742 a029d28a 0 0 39 0
39 8149070 a029d28a 0 0 40 0
40 8346398 a029d28a 0 0 41 0
41 8543726 a029d28a 0 0 42 0
42 8741054 a029d28a 0 0 43 0
43 8938382 a029d28a 0 0 44 0
44 9135710 a029d28a 0 0 45 0
45 9333038 a029d28a 0 0 46 0
46 9530366 a029d28a 0 0 47 0
47 9727694 a029d28a 0 0 48 0
48 9925022 a029d28a 0 0 49 0
49 10122350 a029d28a 0 0 50 0
50 10319678 a029d28a 0 0 51 0
51 10517006 a029d28a 0 0 52 0
52 10714334 a029d28a 0 0 53 0
53 10911662 a029d28a 0 0 54 0
54 11108990 a029d28a 0 0 55 0
55 11306318 a029d28a 0 0 56 0
56 11503646 a029d28a 0 0 57 0
57 11700974 a029d28a 0 0 58 0
58 11898302 a029d28a 0 0 59 0
59 12095630 a029d28a 0 0 60 0
60 12292958 a029d28a 0 0 61 0
61 12490286 a029d28a 0 0 62 0
62 12687614 a029d28a 0 0 63 0
63 12884942 a029d28a 0 0 64 0
64 13082270 a029d28a 0 0 65 0
65 13279598 a029d28a 0 0 66 0
66 13476926 a029d28a 0 0 67 0
67 13674254 a029d28a 0 0 68 0
68 13871582 a029d28a 0 0 69 0
69 14068910 a029d28a 0 0 70 0
70 14266238 a029d28a 0 0 71 0
71 14463566 a029d28a 0 0 72 0
72 14660894 a029d28a 0 0 73 0
73 14858222 a029d28a 0 0 74 0
74 15055550 a029d28a 0 0 75 0
75 15252878 a029d28a 0 0 76 0
76 15450206 a029d28a 0 0 77 0
