t,errps
1,103
2,102
3,102
4,102
5,102
6,102
7,102
8,102
9,102
10,102
11,102
12,102
13,102
14,102
15,102
16,102
17,102
18,102
19,102
20,51
21,102
22,102
23,102
24,51
25,102
26,102
27,102
28,102
29,102
30,51
31,102
32,102
33,102
34,51
35,102
36,102
37,102
38,102
39,102
40,47969
