fill,gap,offered_fps,ok,lost,gaps,biterr,dup,junk,torn_zero,torn_stale,scattered,batch_drop,d104,d108,d1C0
16,100000,623.8,1436,364,47,3,0,2877,0,0,3,0,5677,295484,832148
2,100000,623.8,0,0,0,0,0,1315,0,0,0,0,1415,73800,251165
0,100000,623.8,0,0,0,0,0,1237,0,0,0,0,1302,67912,236458
1,100000,623.8,0,0,0,0,0,1061,0,0,0,0,1119,58195,202651
