fill,gap,offered_fps,ok,lost,gaps,biterr,dup,junk,torn_zero,torn_stale,scattered,batch_drop,d104,d108,d1C0
1516,100000,623.8,35379,2013,147,15,0,38875,0,0,15,0,75983,4036580,14185575
700,100000,623.8,37252,164,158,1,0,37346,0,0,1,0,75972,4055976,14248600
100,100000,623.8,34613,2780,200,17,1,39203,0,0,17,0,75947,3944665,14102485
1,100000,623.8,0,0,0,0,0,3164,0,0,0,0,4284,220528,604324
