fill,gap,offered_fps,ok,lost,gaps_ev,biterr,dup,junk,ok_per_s,verdict
1516,200000,620,18746,0,0,0,0,16277,624.9,PASS
700,200000,620,18747,0,0,0,0,17970,624.9,PASS
100,200000,620,1,0,0,0,0,5445,0.0,PASS
48,200000,620,0,0,0,0,0,0,0.0,NO_DELIVERY
16,200000,620,0,0,0,0,0,0,0.0,NO_DELIVERY
1,200000,620,0,0,0,0,0,0,0.0,NO_DELIVERY
0,200000,620,0,0,0,0,0,0,0.0,NO_DELIVERY
