fill,gap,offered_fps,ok,lost,gaps,biterr,dup,junk,torn_zero,torn_stale,scattered,batch_drop,d104,d108,d1C0
0,100000,623.8,159,14,5,0,0,1358,0,0,0,0,2774,141974,300497
2,100000,623.8,0,0,0,0,0,1289,0,0,0,0,1397,72907,246390
16,100000,623.8,0,0,0,0,0,1233,0,0,0,0,1350,70717,235503
1,100000,623.8,0,0,0,0,0,1083,0,0,0,0,1149,59833,207044
