fill,gap,offered_fps,ok,lost,gaps_ev,biterr,dup,junk,ok_per_s,verdict
1516,400000,311,0,0,0,1,0,3597,0.0,NO_DELIVERY
1516,200000,620,18730,0,0,0,3261,15524,624.3,PASS
1516,100000,1229,37131,0,0,0,3237,15546,1237.7,PASS
1516,60000,2025,1,0,0,0,3253,2969,0.0,NO_DELIVERY
1516,30000,3941,1,0,0,0,3221,3011,0.0,NO_DELIVERY
1516,15000,7477,224000,0,0,0,3358,15419,7466.7,PASS
1516,8000,12861,383237,0,0,0,2929,15756,12774.6,PASS
1516,4000,21857,495088,0,0,0,3300,15479,16502.9,FAIL
1516,2000,33611,495652,0,0,0,3263,15521,16521.7,FAIL
1516,0,72717,495602,0,0,0,3239,15526,16520.1,FAIL
