fill,gap,offered_fps,ok,lost,gaps,biterr,dup,junk,torn_zero,torn_stale,scattered,batch_drop,d104,d108,d1C0
1516,200000,416.1,12543,91,76,0,0,59885,0,0,0,0,75932,3978226,13837568
1516,100000,623.8,37198,213,148,1,0,37429,0,0,1,0,75982,4018696,14259296
1516,50000,831.1,26202,135,46,12,0,46254,0,0,12,1,75992,4210759,13846736
1516,20000,1038.2,74351,467,146,27,0,258,0,0,27,3,75990,4192690,14259175
