fill,gap,offered_fps,ok,lost,gaps_ev,biterr,dup,junk,ok_per_s,verdict
700,200000,620,18749,0,0,0,3290,15452,625.0,PASS
100,200000,620,18822,0,0,0,0,16153,627.4,PASS
48,200000,620,18801,0,0,0,3347,15332,626.7,PASS
16,200000,620,18829,0,0,0,3323,15259,627.6,PASS
1,200000,620,0,0,,0,,,0.0,NO_DELIVERY
0,200000,620,18770,0,0,0,0,16234,625.7,PASS
