ts,iter,mode,class,locks,caps,rssi,temp148,temp146,cfo_hz,capfile
2026-07-07T04:02:55-04:00,22,rearm,VARYING,0/5,"0xA6540A6E;0x1EA507BE;0x50EE3518;0x1C271B12;0xDE3FA178;",25.203,57000,60000,-5526,fail_22_040253.iq
2026-07-07T04:03:12-04:00,23,rearm,VARYING,0/5,"0xF8494DD2;0x5144A356;0xC4064790;0x982E3A8C;0x43FE7C74;",25.181,56000,60000,-5540,fail_23_040310.iq
2026-07-07T04:03:29-04:00,24,rearm,VARYING,0/5,"0xD29C639C;0x1B59CADA;0xC88DCBE8;0xB2ED1066;0x13F175C8;",25.18,57000,60000,-5548,fail_24_040327.iq
2026-07-07T04:03:47-04:00,25,rearm,VARYING,0/5,"0xF84D6AA4;0xD383631E;0xDD7F1EB8;0x9E1BD584;0xB3CB232;",25.296,56000,59000,-5540,fail_25_040345.iq
2026-07-07T04:04:04-04:00,26,rearm,VARYING,0/5,"0x1E2F167C;0x7F0EE612;0x14F366A0;0x5F453ECE;0x5A05D2F8;",24.926,56000,60000,-5533,fail_26_040402.iq
2026-07-07T04:04:21-04:00,27,rearm,VARYING,0/5,"0x6BA8ACE0;0x50457D78;0xF20BAB5E;0x86001762;0x80181D22;",25.115,56000,60000,-5533,fail_27_040419.iq
2026-07-07T04:04:38-04:00,28,rearm,VARYING,0/5,"0xFE3A8100;0x4446E332;0xB8A59616;0x523BC72E;0x93E743DC;",25.272,56000,58000,-5526,fail_28_040436.iq
2026-07-07T04:04:55-04:00,29,rearm,VARYING,0/5,"0x2B918082;0x2B918082;0x3FBF6D6;0x91D6ACC8;0x391F7FD2;",25.293,55000,59000,-5518,fail_29_040453.iq
2026-07-07T04:05:12-04:00,30,rearm,VARYING,0/5,"0x68447130;0x11CB1518;0x9C04B166;0xCD71AC18;0xF1903B2C;",25.167,55000,58000,-5511,fail_30_040510.iq
2026-07-07T04:06:55-04:00,31,reboot,VARYING,0/5,"0x55AEF800;0x1DCC583E;0x83335A2;0xDC4E853A;0x2F70DD22;",25.251,59000,59000,-5416,fail_31_040653.iq
2026-07-07T04:07:12-04:00,32,rearm,VARYING,0/5,"0x70237E92;0xBD0CF62;0x8EC938B0;0xEFDB069C;0x2BD5D79A;",25.108,57000,60000,-5496,fail_32_040710.iq
2026-07-07T04:07:29-04:00,33,rearm,VARYING,0/5,"0x8F3897A4;0x2C65747C;0x828035C6;0x376314E4;0x6848F518;",25.262,57000,59000,-5518,fail_33_040727.iq
2026-07-07T04:07:46-04:00,34,rearm,VARYING,0/5,"0xA22A29E8;0x49E67724;0x45D219F0;0x305D2E22;0xEFC0888E;",25.267,56000,60000,-5526,fail_34_040744.iq
2026-07-07T04:08:04-04:00,35,rearm,VARYING,0/5,"0xE36516EA;0x4BA050A4;0x9794BB24;0xD945A89C;0x2D0F5B3A;",25.05,55000,58000,-5526,fail_35_040802.iq
2026-07-07T04:08:21-04:00,36,rearm,VARYING,0/5,"0xAE8B82DA;0xF12F964C;0x5AE6493C;0x4A3C4848;0xDB900D2A;",25.299,56000,60000,-5518,fail_36_040819.iq
2026-07-07T04:08:38-04:00,37,rearm,VARYING,0/5,"0x54396520;0x17825FE;0xE300D944;0x33149160;0x7AC83E92;",25.12,56000,57000,-5511,fail_37_040836.iq
2026-07-07T04:08:55-04:00,38,rearm,VARYING,0/5,"0xF65B566A;0x8B18354E;0x9FEC999A;0x4EFE2628;0x3B57EB50;",25.288,57000,58000,-5511,fail_38_040853.iq
2026-07-07T04:09:12-04:00,39,rearm,VARYING,0/5,"0x11E66450;0x6118F9D6;0x6118F9D6;0xB70B852C;0x768F5BC4;",25.357,55000,59000,-5504,fail_39_040910.iq
2026-07-07T04:09:29-04:00,40,rearm,VARYING,0/5,"0x7FB4AC96;0xD1117298;0xC1F2ED1A;0xE28C563E;0x7E9979E8;",24.972,54000,57000,-5504,fail_40_040927.iq
2026-07-07T04:11:14-04:00,41,reboot,VARYING,0/5,"0x7F27CAF0;0x644091BC;0x33511C02;0x952D7B86;0x966EA7C2;",25.164,57000,58000,-5430,fail_41_041112.iq
