# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens
0,641570,641569,1,1,3,1,12131,1,8
1,690902,690901,1,1,3,2,12130,1,9
2,740238,740237,1,1,3,3,12130,1,10
3,789574,789573,1,1,3,4,12130,1,11
4,838910,838909,1,1,3,4,12130,1,12
5,888246,888245,1,1,3,5,12130,1,13
6,937582,937581,1,1,3,6,12130,1,14
7,986918,986917,1,1,3,7,12130,1,15
8,1036254,1036253,1,1,3,8,12130,1,16
9,1085590,1085589,1,1,3,9,12130,1,17
10,1430922,1430921,1,1,3,9,12131,1,24
11,1825582,1825581,1,1,3,9,12131,1,32
12,2220242,2220241,1,1,3,9,12131,1,40
13,2614902,2614901,1,1,3,9,12131,1,48
14,3009562,3009561,1,1,3,9,12131,1,56
15,3404222,3404221,1,1,3,9,12131,1,64
16,3798882,3798881,1,1,3,9,12131,1,72
17,4242874,4242873,1,1,3,9,12131,1,81
18,4637534,4637533,1,1,3,9,12131,1,89
19,5032194,5032193,1,1,3,9,12131,1,97
20,5426854,5426853,1,1,3,9,12131,1,105
21,5821514,5821513,1,1,3,9,12131,1,113
22,6216174,6216173,1,1,3,9,12131,1,121
23,6610834,6610833,1,1,3,9,12131,1,129
24,7005494,7005493,1,1,3,9,12131,1,137
25,7449486,7449485,1,1,3,9,12131,1,146
26,7844146,7844145,1,1,3,9,12131,1,154
27,8238806,8238805,1,1,3,9,12131,1,162
28,8633466,8633465,1,1,3,9,12131,1,170
29,9028126,9028125,1,1,3,9,12131,1,178
30,9422786,9422785,1,1,3,9,12131,1,186
31,9817446,9817445,1,1,3,9,12131,1,194
32,10212106,10212105,1,1,3,9,12131,1,202
33,10606766,10606765,1,1,3,9,12131,1,210
34,11001426,11001425,1,1,3,9,12131,1,218
35,11445418,11445417,1,1,3,9,12131,1,227
36,11840078,11840077,1,1,3,9,12131,1,235
37,12234738,12234737,1,1,3,9,12131,1,243
38,12629398,12629397,1,1,3,9,12131,1,251
39,13024058,13024057,1,1,3,9,12131,1,259
40,13418718,13418717,1,1,3,9,12131,1,267
41,13813378,13813377,1,1,3,9,12131,1,275
42,14208038,14208037,1,1,3,9,12131,1,283
43,14602706,14602705,3,3,11,9,12133,1,291
44,15046690,15046689,1,1,3,9,12131,1,300
45,15441350,15441349,1,1,3,9,12131,1,308
46,15836010,15836009,1,1,3,9,12131,1,316
47,16230670,16230669,1,1,3,9,12131,1,324
48,16625330,16625329,1,1,3,9,12131,1,332
49,17019990,17019989,1,1,3,9,12131,1,340
50,17414650,17414649,1,1,3,9,12131,1,348
51,17809310,17809309,1,1,3,9,12131,1,356
52,18203970,18203969,1,1,3,9,12131,1,364
53,18647962,18647961,1,1,3,9,12131,1,373
54,19042622,19042621,1,1,3,9,12131,1,381
55,19437282,19437281,1,1,3,9,12131,1,389
56,19831942,19831941,1,1,3,9,12131,1,397
57,20226602,20226601,1,1,3,9,12131,1,405
58,20621262,20621261,1,1,3,9,12131,1,413
59,21015922,21015921,1,1,3,9,12131,1,421
