# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens
0,641566,641565,1,1,3,1,12323,1,8
1,690898,690897,1,1,3,3,12322,1,9
2,740234,740233,1,1,3,3,12322,1,10
3,789570,789569,1,1,3,5,12322,1,11
4,838906,838905,1,1,3,6,12322,1,12
5,888242,888241,1,1,3,6,12322,1,13
6,937578,937577,1,1,3,7,12322,1,14
7,986914,986913,1,1,3,8,12322,1,15
