# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-38,1973637,1973636,0,1,0,0,0,3,-11888,12024,0,0,0,0,2097143,-11888,-11822,1,-11831,-12113,0,0,0,191743505,0,51,51,62,0,0,62,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-37,1973638,1973637,1,0,1,0,0,0,-11888,12024,1,10398,-13244,1,2097143,0,0,0,-11831,-12113,0,0,0,191743505,0,51,51,62,0,0,63,62,1,1,0,0,0,0,0,0,0,0,1
0,0,-36,1973639,1973638,0,0,0,0,0,1,-11832,11708,0,0,0,0,2097143,0,0,0,-11831,-12113,1,0,0,191743505,0,51,51,62,0,0,63,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-35,1973640,1973639,0,0,0,0,0,2,-11700,-12012,0,0,0,0,2097143,0,0,0,-11831,-12113,0,1,10316953,208615810,0,51,51,62,0,0,63,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-34,1973641,1973640,0,1,0,0,0,3,-11700,-12012,0,0,0,0,2097143,-11521,-11626,1,-11645,11962,0,0,0,192539706,0,52,52,62,0,0,63,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-33,1973642,1973641,1,0,1,0,0,0,-11700,-12012,1,10010,-12962,1,2097143,0,0,0,-11645,11962,0,0,0,192539706,0,52,52,62,0,0,64,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-32,1973643,1973642,0,0,0,0,0,1,-11600,-11936,0,0,0,0,2097143,0,0,0,-11645,11962,1,0,0,192539706,0,52,52,62,0,0,64,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-31,1973644,1973643,0,0,0,0,0,2,11768,12060,0,0,0,0,2097143,0,0,0,-11645,11962,0,1,411044,209055723,0,52,52,62,0,0,64,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-30,1973645,1973644,0,1,0,0,0,3,11768,12060,0,0,0,0,2097143,-11805,11914,1,11940,11505,0,0,0,193185246,0,53,53,62,0,0,64,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-29,1973646,1973645,1,0,1,0,0,0,11768,12060,1,13091,10340,1,2097143,0,0,0,11940,11505,0,0,0,193185246,0,53,53,62,0,0,65,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-28,1973647,1973646,0,0,0,0,0,1,-11764,11960,0,0,0,0,2097143,0,0,0,11940,11505,1,0,0,193185246,0,53,53,62,0,0,65,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-27,1973648,1973647,0,0,0,0,0,2,11536,-11940,0,0,0,0,2097143,0,0,0,11940,11505,0,1,2027584,209481489,0,53,53,62,0,0,65,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-26,1973649,1973648,0,1,0,0,0,3,11536,-11940,0,0,0,0,2097143,11936,-11877,1,-11864,11785,0,0,0,193364281,0,54,54,62,0,0,65,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-25,1973650,1973649,1,0,1,0,0,0,11536,-11940,1,-10530,12931,1,2097143,0,0,0,-11864,11785,0,0,0,193364281,0,54,54,62,0,0,66,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-24,1973651,1973650,0,0,0,0,0,1,11840,-11908,0,0,0,0,2097143,0,0,0,-11864,11785,1,0,0,193364281,0,54,54,62,0,0,66,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-23,1973652,1973651,0,0,0,0,0,2,11672,-11552,0,0,0,0,2097143,0,0,0,-11864,11785,0,1,421370,209593015,0,54,54,62,0,0,66,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-22,1973653,1973652,0,1,0,0,0,3,11672,-11552,0,0,0,0,2097143,11521,-11640,1,-11498,-11639,0,0,0,193996564,0,55,55,62,0,0,66,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-21,1973654,1973653,1,0,1,0,0,0,11672,-11552,1,13211,10233,1,2097143,0,0,0,-11498,-11639,0,0,0,193996564,0,55,55,62,0,0,67,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-20,1973655,1973654,0,0,0,0,0,1,11716,-11676,0,0,0,0,2097143,0,0,0,-11498,-11639,1,0,0,193996564,0,55,55,62,0,0,67,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-19,1973656,1973655,0,0,0,0,0,2,11496,-11640,0,0,0,0,2097143,0,0,0,-11498,-11639,0,1,2017405,210102028,0,55,55,62,0,0,67,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-18,1973657,1973656,0,1,0,0,0,3,11496,-11640,0,0,0,0,2097143,11726,11865,1,-11924,-11865,0,0,0,193906963,0,56,56,62,0,0,67,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-17,1973658,1973657,1,0,1,0,0,0,11496,-11640,1,10007,-13244,1,2097143,0,0,0,-11924,-11865,0,0,0,193906963,0,56,56,62,0,0,68,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-16,1973659,1973658,0,0,0,0,0,1,-11732,11780,0,0,0,0,2097143,0,0,0,-11924,-11865,1,0,0,193906963,0,56,56,62,0,0,68,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-15,1973660,1973659,0,0,0,0,0,2,11704,-11668,0,0,0,0,2097143,0,0,0,-11924,-11865,0,1,5242250,210437921,0,56,56,62,0,0,68,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-14,1973661,1973660,0,1,0,0,0,3,11704,-11668,0,0,0,0,2097143,-11989,11590,1,12003,11828,0,0,0,193922518,0,57,57,62,0,0,68,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-13,1973662,1973661,1,0,1,0,0,0,11704,-11668,1,10139,-12834,1,2097143,0,0,0,12003,11828,0,0,0,193922518,0,57,57,62,0,0,69,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-12,1973663,1973662,0,0,0,0,0,1,-11716,11664,0,0,0,0,2097143,0,0,0,12003,11828,1,0,0,193922518,0,57,57,62,0,0,69,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-11,1973664,1973663,0,0,0,0,0,2,-12008,11820,0,0,0,0,2097143,0,0,0,12003,11828,0,1,1983250,210958932,0,57,57,62,0,0,69,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-10,1973665,1973664,0,1,0,0,0,3,-12008,11820,0,0,0,0,2097143,11845,11786,1,-11815,-11676,0,0,0,194746494,0,58,58,62,0,0,69,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-9,1973666,1973665,1,0,1,0,0,0,-12008,11820,1,10128,-13118,1,2097143,0,0,0,-11815,-11676,0,0,0,194746494,0,58,58,62,0,0,70,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-8,1973667,1973666,0,0,0,0,0,1,11908,-11828,0,0,0,0,2097143,0,0,0,-11815,-11676,1,0,0,194746494,0,58,58,62,0,0,70,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-7,1973668,1973667,0,0,0,0,0,2,11840,11728,0,0,0,0,2097143,0,0,0,-11815,-11676,0,1,393130,210400148,0,58,58,62,0,0,70,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-6,1973669,1973668,0,1,0,0,0,3,11840,11728,0,0,0,0,2097143,11548,-11925,1,-11535,-11676,0,0,0,194948307,0,59,59,62,0,0,70,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-5,1973670,1973669,1,0,1,0,0,0,11840,11728,1,-10347,13372,1,2097143,0,0,0,-11535,-11676,0,0,0,194948307,0,59,59,62,0,0,71,62,0,0,0,0,0,0,0,0,0,0,1
0,0,-4,1973671,1973670,0,0,0,0,0,1,-11944,-11624,0,0,0,0,2097143,0,0,0,-11535,-11676,1,0,0,194948307,0,59,59,62,0,0,71,62,0,0,0,0,0,0,0,0,0,0,1
