# sidx,nbytes,magic,seq,nbad,ok
5574801,1528,1,108,0,1
5624137,1528,1,109,0,1
5673469,1528,1,110,0,1
5722805,1528,1,111,0,1
5772137,1528,1,112,0,1
5821473,1528,1,113,0,1
5870805,1528,1,114,0,1
5920141,1528,1,115,0,1
5969473,1528,1,116,0,1
6018809,1528,1,117,0,1
6068141,1528,1,118,0,1
6117477,1528,1,119,0,1
6166809,1528,1,120,0,1
6216145,1528,1,121,0,1
6265477,1528,1,122,0,1
6314813,1528,1,123,0,1
6364145,1528,1,124,0,1
6413481,1528,1,125,0,1
6462813,1528,1,126,0,1
6512149,1528,1,127,0,1
6561481,1528,1,128,0,1
6610817,1528,1,129,0,1
6660149,1528,1,130,0,1
6709485,1528,1,131,0,1
6758817,1528,1,132,0,1
6836405,1600,1,133,-1,0
6906817,1528,0,3225891890,-1,0
6956153,1528,1,136,0,1
7005489,1528,1,137,0,1
7054821,1528,1,138,0,1
7104157,1528,1,139,0,1
7153489,1528,1,140,0,1
7202825,1528,1,141,0,1
7252157,1528,1,142,0,1
7301493,1528,1,143,0,1
7350825,1528,1,144,0,1
7400161,1528,1,145,0,1
7449493,1528,1,146,0,1
7498825,1528,1,147,0,1
7548161,1528,1,148,0,1
7597493,1528,1,149,0,1
7646829,1528,1,150,0,1
7696161,1528,1,151,0,1
7745497,1528,1,152,0,1
7794829,1528,1,153,0,1
7844165,1528,1,154,0,1
7893497,1528,1,155,0,1
7942833,1528,1,156,0,1
7992165,1528,1,157,0,1
8041501,1528,1,158,0,1
8090833,1528,1,159,0,1
8140169,1528,1,160,0,1
8189501,1528,1,161,0,1
8238837,1528,1,162,0,1
8288169,1528,1,163,0,1
8337505,1528,1,164,0,1
8386837,1528,1,165,0,1
8436173,1528,1,166,0,1
8485505,1528,1,167,0,1
8534841,1528,1,168,0,1
8584173,1528,1,169,0,1
8633509,1528,1,170,0,1
8682841,1528,1,171,0,1
8732177,1528,1,172,0,1
8781509,1528,1,173,0,1
8830845,1528,1,174,0,1
8880177,1528,1,175,0,1
8929513,1528,1,176,0,1
8978845,1528,1,177,0,1
9028181,1528,1,178,0,1
9077513,1528,1,179,0,1
9126849,1528,1,180,0,1
9176181,1528,1,181,0,1
9225517,1528,1,182,0,1
9274849,1528,1,183,0,1
9324185,1528,1,184,0,1
9373517,1528,1,185,0,1
9422853,1528,1,186,0,1
9472185,1528,1,187,0,1
9521521,1528,1,188,0,1
