# sidx,nbytes,magic,seq,nbad,ok
10162525,1528,1,201,0,1
10211857,1528,1,202,0,1
10261189,1528,1,203,0,1
10310521,1528,1,204,0,1
10359853,1528,1,205,0,1
10409313,1528,0,206,-1,0
10458649,1528,1,207,0,1
10507853,1528,0,208,-1,0
10557185,1528,1,209,0,1
10606517,1528,1,210,0,1
10655849,1528,1,211,0,1
10705181,1528,1,212,0,1
10754513,1528,1,213,0,1
10803973,1528,1,214,32,0
10853309,1528,1,215,0,1
10902513,1528,1,216,81,0
10951845,1528,1,217,0,1
11001177,1528,1,218,0,1
11050509,1528,1,219,0,1
11099841,1528,1,220,0,1
11149173,1528,1,221,0,1
11247969,1528,1,222,0,1
11297173,1528,1,224,0,1
11346505,1528,1,225,0,1
11395837,1528,1,226,0,1
11445169,1528,1,227,0,1
11494501,1528,1,228,0,1
11543833,1528,1,229,0,1
11593165,1528,1,230,0,1
11642625,1528,0,2422877828,-1,0
11691961,1528,1,232,0,1
11741165,1528,0,1874945103,-1,0
11790497,1528,0,234,-1,0
11839829,1528,1,235,0,1
11889161,1528,1,236,0,1
11938493,1528,1,237,0,1
11987825,1528,1,238,0,1
12037285,1528,0,1534005311,-1,0
12086621,1528,1,240,0,1
12135825,1528,0,4282577881,-1,0
12185157,1528,1,242,0,1
12234489,1528,1,243,0,1
12283821,1528,1,244,0,1
12333153,1528,1,245,0,1
12382485,1528,1,246,0,1
12431945,1528,0,1365446550,-1,0
12481281,1528,0,248,-1,0
12530485,1528,0,2657535220,-1,0
12579817,1528,1,250,0,1
12629149,1528,1,251,0,1
12678481,1528,1,252,0,1
12727813,1528,1,253,0,1
12777145,1528,1,254,0,1
12826605,1528,0,110118237,-1,0
12875941,1528,1,256,0,1
12925145,1528,0,392734912,-1,0
12974477,1528,1,258,0,1
13023809,1528,1,259,0,1
13073141,1528,1,260,0,1
13122473,1528,1,261,0,1
13171805,1528,1,262,0,1
13221265,1528,0,3573862658,-1,0
13270601,1528,0,264,-1,0
13319805,1528,0,3181773449,-1,0
13369137,1528,0,266,-1,0
13418469,1528,1,267,0,1
13467801,1528,1,268,0,1
13517133,1528,1,269,0,1
13566465,1528,1,270,0,1
13615925,1528,0,271,-1,0
13665261,1528,1,272,0,1
13714465,1528,0,13687113,-1,0
13763797,1528,1,274,0,1
13813129,1528,1,275,0,1
13862461,1528,1,276,0,1
13911793,1528,1,277,0,1
13961125,1528,1,278,0,1
14010585,1528,1,279,634,0
14059921,1528,1,280,0,1
14109125,1528,0,441,-1,0
14158457,1528,1,282,0,1
14207789,1528,1,283,0,1
14257121,1528,1,284,0,1
14306453,1528,1,285,0,1
14355785,1528,1,286,0,1
14405245,1528,1,287,145,0
14454581,1528,1,288,0,1
14503785,1528,1,289,157,0
14553117,1528,1,290,0,1
14602449,1528,1,291,0,1
14651781,1528,1,292,0,1
14701113,1528,1,293,0,1
14750445,1528,1,294,0,1
14799777,1528,1,295,2,0
14849241,1528,0,253991909,-1,0
14898445,1528,1,297,0,1
14947777,1528,1,298,0,1
14997109,1528,1,299,0,1
15046441,1528,1,300,0,1
15095773,1528,1,301,0,1
15145105,1528,1,302,0,1
15194437,1528,1,303,0,1
15243897,1528,0,4138384213,-1,0
15293233,1528,1,305,0,1
15342437,1528,0,2156631563,-1,0
15391769,1528,1,307,0,1
15441101,1528,1,308,0,1
15490433,1528,1,309,0,1
15539765,1528,1,310,0,1
15589097,1528,1,311,0,1
15638557,1528,0,3565689592,-1,0
15687893,1528,1,313,0,1
15737097,1528,0,3531121018,-1,0
15786429,1528,1,315,0,1
15835761,1528,1,316,0,1
15885093,1528,1,317,0,1
15934425,1528,1,318,0,1
15983757,1528,1,319,0,1
16033217,1528,0,328206129,-1,0
16082553,1528,1,321,0,1
16131757,1528,0,4121385400,-1,0
16181089,1528,1,323,0,1
16230421,1528,1,324,0,1
16279753,1528,1,325,0,1
16329085,1528,1,326,0,1
16378417,1528,1,327,0,1
16427877,1528,0,3490222495,-1,0
16477213,1528,1,329,0,1
16526417,1528,0,3640672713,-1,0
16575749,1528,1,331,0,1
16625081,1528,1,332,0,1
16674413,1528,1,333,0,1
16723745,1528,1,334,0,1
16773077,1528,1,335,0,1
16822537,1528,0,1494475126,-1,0
16871873,1528,1,337,0,1
16921077,1528,0,33583455,-1,0
16970409,1528,1,339,0,1
17019741,1528,1,340,0,1
17069073,1528,1,341,0,1
17118405,1528,1,342,0,1
17167737,1528,1,343,0,1
17217197,1528,0,3768719704,-1,0
17266533,1528,0,345,-1,0
17315737,1528,0,3103973855,-1,0
17365069,1528,1,347,0,1
17414401,1528,1,348,0,1
17463733,1528,1,349,0,1
17513065,1528,1,350,0,1
17562397,1528,1,351,0,1
17611857,1528,0,1885209184,-1,0
17661193,1528,1,353,0,1
17710397,1528,0,50332002,-1,0
17759729,1528,1,355,0,1
17809061,1528,1,356,0,1
17858393,1528,1,357,0,1
17907725,1528,1,358,0,1
17957057,1528,1,359,0,1
18006517,1528,1,360,212,0
18055853,1528,1,361,0,1
18105057,1528,1,362,280,0
18154389,1528,1,363,0,1
18203721,1528,1,364,0,1
18253053,1528,1,365,0,1
18302385,1528,1,366,0,1
18351717,1528,1,367,0,1
18401177,1528,1,368,18,0
18450513,1528,0,369,-1,0
18499717,1528,1,370,2,0
18549049,1528,1,371,0,1
18598381,1528,1,372,0,1
18647713,1528,1,373,0,1
18697045,1528,1,374,0,1
18746377,1528,1,375,0,1
18795709,1528,1,376,0,1
18845169,1528,0,1779990457,-1,0
18894505,1528,1,378,0,1
18943709,1528,0,3576621410,-1,0
18993041,1528,1,380,0,1
19042373,1528,1,381,0,1
19091705,1528,1,382,0,1
19141037,1528,1,383,0,1
19190369,1528,1,384,0,1
19239829,1528,0,312511950,-1,0
19289165,1528,1,386,0,1
19338369,1528,0,2845482197,-1,0
19387701,1528,1,388,0,1
19437033,1528,1,389,0,1
19486365,1528,1,390,0,1
19535697,1528,1,391,0,1
19585029,1528,1,392,0,1
19634489,1528,0,98485403,-1,0
19683825,1528,1,394,0,1
19733029,1528,0,1126005960,-1,0
19782361,1528,0,396,-1,0
19831693,1528,1,397,0,1
19881025,1528,1,398,0,1
19930357,1528,1,399,0,1
19979689,1528,1,400,0,1
20029149,1528,0,1405346867,-1,0
20078485,1528,1,402,0,1
20127689,1528,0,588657808,-1,0
20177021,1528,1,404,0,1
20226353,1528,1,405,0,1
20275685,1528,1,406,0,1
20325017,1528,1,407,0,1
20374349,1528,1,408,0,1
20423809,1528,0,562957017,-1,0
20473145,1528,1,410,0,1
20522349,1528,0,135444,-1,0
20571681,1528,1,412,0,1
20621013,1528,1,413,0,1
20670345,1528,1,414,0,1
20719677,1528,1,415,0,1
20769009,1528,1,416,0,1
20818469,1528,0,4026859779,-1,0
20867805,1528,1,418,0,1
20917009,1528,0,50381222,-1,0
20966341,1528,0,420,-1,0
21015673,1528,1,421,0,1
21065005,1528,1,422,0,1
21114096,1528,1,423,0,1
21114096,1528,1,424,0,1
