# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens
139,14060462,14060461,1,1,3,9,12296,1,272
140,14159130,14159129,1,1,3,9,12296,1,274
141,14257798,14257797,1,1,3,9,12296,1,276
142,14356466,14356465,1,1,3,9,12296,1,278
143,14455134,14455133,1,1,3,9,12296,1,280
144,14553802,14553801,1,1,3,9,12296,1,282
145,14652470,14652469,1,1,3,9,12296,1,284
146,14751138,14751137,1,1,3,9,12296,1,286
147,14899138,14899137,1,1,3,9,12296,1,289
148,14997806,14997805,1,1,3,9,12296,1,291
149,15096474,15096473,1,1,3,9,12296,1,293
150,15195142,15195141,1,1,3,9,12296,1,295
151,15293810,15293809,1,1,3,9,12296,1,297
152,15392478,15392477,1,1,3,9,12296,1,299
153,15491146,15491145,1,1,3,9,12296,1,301
154,15589814,15589813,1,1,3,9,12296,1,303
155,15688482,15688481,1,1,3,9,12296,1,305
156,15787150,15787149,1,1,3,9,12296,1,307
157,15885818,15885817,1,1,3,9,12296,1,309
158,15984486,15984485,1,1,3,9,12296,1,311
159,16083154,16083153,1,1,3,9,12296,1,313
160,16181822,16181821,1,1,3,9,12296,1,315
161,16280490,16280489,1,1,3,9,12296,1,317
162,16379158,16379157,1,1,3,9,12296,1,319
163,16477826,16477825,1,1,3,9,12296,1,321
164,16576494,16576493,1,1,3,9,12296,1,323
165,16675162,16675161,1,1,3,9,12296,1,325
166,16773830,16773829,1,1,3,9,12296,1,327
167,16872498,16872497,1,1,3,9,12296,1,329
168,16971166,16971165,1,1,3,9,12296,1,331
169,17069834,17069833,1,1,3,9,12296,1,333
170,17168502,17168501,1,1,3,9,12296,1,335
171,17267170,17267169,1,1,3,9,12296,1,337
172,17365838,17365837,1,1,3,9,12296,1,339
173,17464506,17464505,1,1,3,9,12296,1,341
174,17563174,17563173,1,1,3,9,12296,1,343
175,17661842,17661841,1,1,3,9,12296,1,345
176,17760510,17760509,1,1,3,9,12296,1,347
177,17859178,17859177,1,1,3,9,12296,1,349
178,17957846,17957845,1,1,3,9,12296,1,351
179,18056514,18056513,1,1,3,9,12296,1,353
180,18155182,18155181,1,1,3,9,12296,1,355
181,18253850,18253849,1,1,3,9,12296,1,357
182,18352518,18352517,1,1,3,9,12296,1,359
183,18451186,18451185,1,1,3,9,12296,1,361
184,18549854,18549853,1,1,3,9,12296,1,363
185,18697854,18697853,1,1,3,9,12296,1,366
186,18796522,18796521,1,1,3,9,12296,1,368
187,18895190,18895189,1,1,3,9,12296,1,370
188,18993858,18993857,1,1,3,9,12296,1,372
189,19092526,19092525,1,1,3,9,12296,1,374
190,19191194,19191193,1,1,3,9,12296,1,376
191,19289862,19289861,1,1,3,9,12296,1,378
192,19388530,19388529,1,1,3,9,12296,1,380
193,19487198,19487197,1,1,3,9,12296,1,382
194,19585866,19585865,1,1,3,9,12296,1,384
195,19684534,19684533,1,1,3,9,12296,1,386
196,19783202,19783201,1,1,3,9,12296,1,388
197,19881870,19881869,1,1,3,9,12296,1,390
198,19980538,19980537,1,1,3,9,12296,1,392
199,20079206,20079205,1,1,3,9,12296,1,394
200,20177874,20177873,1,1,3,9,12296,1,396
201,20276542,20276541,1,1,3,9,12296,1,398
202,20375210,20375209,1,1,3,9,12296,1,400
203,20473878,20473877,1,1,3,9,12296,1,402
204,20572546,20572545,1,1,3,9,12296,1,404
205,20671214,20671213,1,1,3,9,12296,1,406
206,20769882,20769881,1,1,3,9,12296,1,408
207,20868550,20868549,1,1,3,9,12296,1,410
208,20967218,20967217,1,1,3,9,12296,1,412
209,21065886,21065885,1,1,3,9,12296,1,414
