# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,641566,641565,1,1,3,1,12323,1,8,0
1,690902,690901,1,1,3,3,12323,1,9,0
2,740238,740237,1,1,3,3,12323,1,10,0
3,789574,789573,1,1,3,5,12323,1,11,0
4,838910,838909,1,1,3,6,12323,1,12,0
5,888246,888245,1,1,3,6,12323,1,13,0
6,937582,937581,1,1,3,7,12323,1,14,0
7,986918,986917,1,1,3,8,12323,1,15,0
