frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888581,8,ab7a4307,a6120484,95,0
8,987245,9,ab7a4307,20f3be6c,159,0
9,1085909,10,ab7a4307,abc5744e,215,0
10,1184573,11,ab7a4307,abc5744e,271,0
11,1283237,12,ab7a4307,abc5744e,327,0
12,1381901,13,ab7a4307,abc5744e,383,0
13,1480565,14,ab7a4307,abc5744e,439,0
14,1579229,15,ab7a4307,abc5744e,495,0
15,1677893,16,ab7a4307,abc5744e,551,0
16,1776557,17,ab7a4307,abc5744e,607,0
17,1875221,18,ab7a4307,abc5744e,663,0
