frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789921,8,a90b79f1,04922282,51,0
7,888585,10,a90b79f1,04922282,51,0
8,987249,12,a90b79f1,04922282,51,0
9,1085913,14,a90b79f1,04922282,51,0
10,1184577,16,a90b79f1,04922282,51,0
11,1283241,18,a90b79f1,04922282,51,0
12,1381905,20,a90b79f1,04922282,51,0
13,1480569,22,a90b79f1,04922282,51,0
14,1579233,24,a90b79f1,04922282,51,0
15,1677897,26,a90b79f1,04922282,51,0
16,1776561,28,a90b79f1,04922282,51,0
17,1875225,30,a90b79f1,04922282,51,0
