frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888831,8,5216f3e2,dc2f4c46,114,0
8,987495,9,5216f3e2,04922280,115,0
9,1086159,10,5216f3e2,04922282,115,1
10,1184823,11,5216f3e2,04922282,115,1
11,1283487,12,5216f3e2,04922282,115,1
12,1382151,13,5216f3e2,04922282,115,1
13,1480815,14,5216f3e2,04922282,115,1
14,1579479,15,5216f3e2,04922282,115,1
15,1678143,16,5216f3e2,04922282,115,1
16,1776807,17,5216f3e2,04922282,115,1
17,1875471,18,5216f3e2,04922282,115,1
