frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197943,1,5216f3e2,00000000,51,0
1,296607,2,5216f3e2,04922282,51,1
2,395271,3,5216f3e2,04922282,51,1
3,493935,4,5216f3e2,04922282,51,1
4,592599,5,5216f3e2,04922282,51,1
5,691263,6,5216f3e2,04922282,51,1
6,789927,7,5216f3e2,04922282,51,1
7,888591,8,5216f3e2,04922282,51,1
