k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
112,34750,1,34750,191,chunk_70_139_r0,0
113,34751,1,34751,191,chunk_70_139_r0,0
114,34752,1,34752,191,chunk_70_139_r0,0
115,34753,1,34753,191,chunk_70_139_r0,0
116,34754,1,34754,191,chunk_70_139_r0,0
117,34755,1,34755,191,chunk_70_139_r0,0
118,34756,1,34756,191,chunk_70_139_r0,0
119,34757,0,-1,191,chunk_70_139_r0,0
120,34758,0,-1,191,chunk_70_139_r0,0
121,34759,1,34758,191,chunk_70_139_r0,0
122,34760,1,34759,191,chunk_70_139_r0,0
123,34761,1,34760,191,chunk_70_139_r0,1
124,34762,1,34761,191,chunk_70_139_r0,0
125,34763,1,34762,191,chunk_70_139_r0,0
126,34764,1,34763,191,chunk_70_139_r0,0
127,34765,1,34764,191,chunk_70_139_r0,0
128,34766,1,34765,191,chunk_70_139_r0,0
129,34767,1,34766,191,chunk_70_139_r0,0
130,34768,1,34767,191,chunk_70_139_r0,0
131,34769,1,34768,191,chunk_70_139_r0,0
132,34770,1,34769,191,chunk_70_139_r0,0
133,34771,1,34770,191,chunk_70_139_r0,0
134,34772,1,34771,191,chunk_70_139_r0,0
135,34773,1,34772,191,chunk_70_139_r0,0
136,34774,1,34773,191,chunk_70_139_r0,0
137,34775,1,34774,191,chunk_70_139_r0,0
138,34776,1,34775,191,chunk_140_161_r0,0
139,34777,1,34776,191,chunk_140_161_r0,0
140,34778,1,34777,191,chunk_140_161_r0,0
141,34779,1,34778,191,chunk_140_161_r0,0
142,34780,1,34779,191,chunk_140_161_r0,0
143,34781,1,34780,191,chunk_140_161_r0,0
144,34782,1,34781,191,chunk_140_161_r0,0
145,34783,1,34782,191,chunk_140_161_r0,0
146,34784,1,34783,191,chunk_140_161_r0,0
147,34785,1,34784,191,chunk_140_161_r0,0
148,34786,1,34785,191,chunk_140_161_r0,0
149,34787,1,34786,191,chunk_140_161_r0,0
150,34788,1,34787,191,chunk_140_161_r0,0
151,34789,1,34788,191,chunk_140_161_r0,0
152,34790,1,34789,191,chunk_140_161_r0,0
153,34791,1,34790,191,chunk_140_161_r0,0
154,34792,1,34791,191,chunk_140_161_r0,0
155,34793,1,34792,191,chunk_140_161_r0,0
156,34794,1,34793,191,chunk_140_161_r0,0
157,34795,1,34794,191,chunk_140_161_r0,0
158,34796,1,34795,191,chunk_140_161_r0,1
159,34797,0,34796,191,chunk_140_161_r0,1
