k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
110,51107,1,51107,191,chunk_70_139_r0,0
111,51108,1,51108,191,chunk_70_139_r0,0
112,51109,1,51109,191,chunk_70_139_r0,0
113,51110,1,51110,191,chunk_70_139_r0,0
114,51111,1,51111,191,chunk_70_139_r0,0
115,51112,1,51112,191,chunk_70_139_r0,0
116,51113,1,51113,191,chunk_70_139_r0,0
117,51114,1,51114,191,chunk_70_139_r0,0
118,51115,1,51115,191,chunk_70_139_r0,0
119,51116,1,51116,191,chunk_70_139_r0,0
120,51117,1,51117,191,chunk_70_139_r0,0
121,51118,1,51118,191,chunk_70_139_r0,0
122,51119,1,51119,191,chunk_70_139_r0,0
123,51120,1,51120,191,chunk_70_139_r0,0
124,51121,1,51121,191,chunk_70_139_r0,0
125,51122,1,51122,191,chunk_70_139_r0,0
126,51123,1,51123,191,chunk_70_139_r0,0
127,51124,1,51124,191,chunk_70_139_r0,0
128,51125,1,51125,191,chunk_70_139_r0,0
129,51126,1,51126,191,chunk_70_139_r0,0
130,51127,1,51127,191,chunk_70_139_r0,0
131,51128,1,51128,191,chunk_70_139_r0,0
132,51129,1,51129,191,chunk_70_139_r0,0
133,51130,1,51130,191,chunk_70_139_r0,0
134,51131,1,51131,191,chunk_70_139_r0,0
135,51132,1,51132,191,chunk_70_139_r0,0
136,51133,1,51133,191,chunk_70_139_r0,0
137,51134,1,51134,191,chunk_70_139_r0,0
138,51135,1,51135,191,chunk_140_209_r0,0
139,51136,1,51136,191,chunk_140_209_r0,0
140,51137,1,51137,191,chunk_140_209_r0,0
141,51138,1,51138,191,chunk_140_209_r0,0
142,51139,1,51139,191,chunk_140_209_r0,0
143,51140,1,51140,191,chunk_140_209_r0,0
144,51141,1,51141,191,chunk_140_209_r0,0
145,51142,1,51142,191,chunk_140_209_r0,0
146,51143,1,51143,191,chunk_140_209_r0,0
147,51144,1,51144,191,chunk_140_209_r0,0
148,51145,1,51145,191,chunk_140_209_r0,0
149,51146,1,51146,191,chunk_140_209_r0,0
150,51147,1,51147,191,chunk_140_209_r0,0
151,51148,1,51148,191,chunk_140_209_r0,0
152,51149,1,51149,191,chunk_140_209_r0,0
153,51150,1,51150,191,chunk_140_209_r0,0
154,51151,1,51151,191,chunk_140_209_r0,0
155,51152,1,51152,191,chunk_140_209_r0,0
156,51153,1,51153,191,chunk_140_209_r0,0
157,51154,1,51154,191,chunk_140_209_r0,0
158,51155,1,51155,191,chunk_140_209_r0,0
159,51156,1,51156,191,chunk_140_209_r0,0
160,51157,1,51157,191,chunk_140_209_r0,0
161,51158,1,51158,191,chunk_140_209_r0,0
162,51159,1,51159,191,chunk_140_209_r0,0
163,51160,1,51160,191,chunk_140_209_r0,0
164,51161,1,51161,191,chunk_140_209_r0,0
165,51162,1,51162,191,chunk_140_209_r0,0
166,51163,1,51163,191,chunk_140_209_r0,0
167,51164,1,51164,191,chunk_140_209_r0,0
168,51165,1,51165,191,chunk_140_209_r0,0
169,51166,1,51166,191,chunk_140_209_r0,0
170,51167,1,51167,191,chunk_140_209_r0,0
171,51168,1,51168,191,chunk_140_209_r0,0
172,51169,1,51169,191,chunk_140_209_r0,0
173,51170,1,51170,191,chunk_140_209_r0,0
174,51171,1,51171,191,chunk_140_209_r0,0
175,51172,1,51172,191,chunk_140_209_r0,0
176,51173,1,51173,191,chunk_140_209_r0,0
177,51174,1,51174,191,chunk_140_209_r0,0
178,51175,1,51175,191,chunk_140_209_r0,0
