# ref -10dB BW = 19.39 MHz, -20dB = 22.16
path,bw20,env,bw10,reclass
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_202940_r1/pair.iq,41.51,0.4946,31.24,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_203355_r1/pair.iq,41.51,0.4175,31.47,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_203942_r1/pair.iq,41.50,0.4235,31.27,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_213625_r1/pair.iq,41.51,0.4819,18.85,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_215354_r1/pair.iq,41.51,0.4151,31.59,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_215354_r2/pair.iq,41.51,0.4768,31.31,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_014112_r1/pair.iq,41.50,0.4642,18.67,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_014112_r2/pair.iq,41.50,0.4497,31.24,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_014112_r3/pair.iq,41.50,0.4401,31.00,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqoff_r1/pair.iq,38.14,0.5014,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqoff_r3/pair.iq,38.08,0.5054,36.53,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqon_r1/pair.iq,37.95,0.5033,19.26,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqon_r2/pair.iq,38.14,0.5011,36.53,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqon_r3/pair.iq,38.08,0.5022,36.53,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r2/pair.iq,38.19,0.4790,36.47,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r3/pair.iq,37.73,0.4897,19.63,HEALTHY-NOISEWIDE
