path,dir,date,bytes,bw_mhz,env_corr,env_lag,verdict,meta_dir,has_frames,has_fslog,has_txlog
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_043452_r1/pair.iq,rev,2026-08-07,32000000,38.14,0.4928,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_043452_r2/pair.iq,rev,2026-08-07,32000000,38.19,0.4896,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_043452_r3/pair.iq,rev,2026-08-07,32000000,38.14,0.4943,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260808_045739_r1/pair.iq,rev,2026-08-08,32000000,37.90,0.5312,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260808_045739_r2/pair.iq,rev,2026-08-08,32000000,38.19,0.5321,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260808_045739_r3/pair.iq,rev,2026-08-08,32000000,38.19,0.5375,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_155622_r1/pair.iq,rev,2026-08-12,32000000,34.80,0.4393,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_160104_r1/pair.iq,rev,2026-08-12,32000000,34.79,0.4325,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_160104_r2/pair.iq,rev,2026-08-12,32000000,34.83,0.4246,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_160833_r1/pair.iq,fwd,2026-08-12,32000000,22.27,0.5279,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_160833_r2/pair.iq,fwd,2026-08-12,32000000,22.16,0.5223,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_160833_r3/pair.iq,fwd,2026-08-12,32000000,22.04,0.5089,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260812_201153_r1/pair.iq,fwd,2026-08-12,32000000,22.34,0.5232,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_195812_r1/pair.iq,rev,2026-08-14,32000000,41.50,0.4963,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_201250_r1/pair.iq,rev,2026-08-14,32000000,41.51,0.4892,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_201624_r1/pair.iq,fwd,2026-08-14,32000000,22.27,0.5303,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_202122_r1/pair.iq,rev,2026-08-14,32000000,41.50,0.4178,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_202557_r1/pair.iq,rev,2026-08-14,32000000,41.50,0.4206,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_202940_r1/pair.iq,rev,2026-08-14,32000000,41.51,0.4946,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_203355_r1/pair.iq,rev,2026-08-14,32000000,41.51,0.4175,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_203942_r1/pair.iq,rev,2026-08-14,32000000,41.50,0.4235,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_213259_r1/pair.iq,fwd,2026-08-14,32000000,22.22,0.5284,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_213625_r1/pair.iq,rev,2026-08-14,32000000,41.51,0.4819,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_214222_r1/pair.iq,fwd,2026-08-14,32000000,22.34,0.5303,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_214656_r1/pair.iq,fwd,2026-08-14,32000000,22.16,0.5329,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_215354_r1/pair.iq,rev,2026-08-14,32000000,41.51,0.4151,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_215354_r2/pair.iq,rev,2026-08-14,32000000,41.51,0.4768,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260814_232839_r1/pair.iq,fwd,2026-08-14,32000000,22.16,0.5309,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_013730_r1/pair.iq,fwd,2026-08-15,32000000,22.27,0.5277,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_014112_r1/pair.iq,rev,2026-08-15,32000000,41.50,0.4642,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_014112_r2/pair.iq,rev,2026-08-15,32000000,41.50,0.4497,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_014112_r3/pair.iq,rev,2026-08-15,32000000,41.50,0.4401,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_015310_r1/pair.iq,fwd,2026-08-15,32000000,22.27,0.5308,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_015631_r1/pair.iq,fwd,2026-08-15,32000000,22.27,0.5353,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260815_020004_r1/pair.iq,fwd,2026-08-15,32000000,22.22,0.5331,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260817_202551_r1/pair.iq,fwd,2026-08-17,32000000,22.04,0.5112,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260817_223859_r1/pair.iq,fwd,2026-08-17,32000000,22.16,0.5147,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqoff_r1/pair.iq,rev,2026-08-07,32000000,38.14,0.5014,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqoff_r2/pair.iq,rev,2026-08-07,32000000,22.03,0.5014,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqoff_r3/pair.iq,rev,2026-08-07,32000000,38.08,0.5054,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqon_r1/pair.iq,rev,2026-08-07,32000000,37.95,0.5033,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqon_r2/pair.iq,rev,2026-08-07,32000000,38.14,0.5011,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_20260807_022928_arqon_r3/pair.iq,rev,2026-08-07,32000000,38.08,0.5022,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r1/pair.iq,rev,2026-08-07,32000000,22.03,0.5192,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r2/pair.iq,rev,2026-08-07,32000000,38.19,0.4790,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r3/pair.iq,rev,2026-08-07,32000000,37.73,0.4897,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r4/pair.iq,rev,2026-08-07,32000000,37.95,0.4883,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r5/pair.iq,rev,2026-08-07,32000000,38.19,0.4725,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqoff_r6/pair.iq,rev,2026-08-07,32000000,38.38,0.5053,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r1/pair.iq,rev,2026-08-07,32000000,37.86,0.4858,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r2/pair.iq,rev,2026-08-07,32000000,37.95,0.5364,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r3/pair.iq,rev,2026-08-07,32000000,35.98,0.4875,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r4/pair.iq,rev,2026-08-07,32000000,38.19,0.4820,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r5/pair.iq,rev,2026-08-07,32000000,36.66,0.4839,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqab_n2_20260807_arqon_r6/pair.iq,rev,2026-08-07,32000000,38.19,0.4797,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqac2_20260731_232750_r1/pair.iq,rev,2026-07-31,32000000,38.19,0.4687,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqac2_20260731_232750_r2/pair.iq,rev,2026-07-31,32000000,37.95,0.4580,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqac2_20260731_232750_r3/pair.iq,rev,2026-07-31,32000000,37.77,0.5186,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqacc_20260731_230411_r1/pair.iq,rev,2026-07-31,32000000,38.09,0.4902,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqacc_20260731_230411_r2/pair.iq,rev,2026-07-31,32000000,18.31,0.4373,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqacc_20260731_230411_r3/pair.iq,rev,2026-07-31,32000000,38.21,0.4225,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_stock_r1/pair.iq,rev,2026-08-07,32000000,37.86,0.5126,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_stock_r2/pair.iq,rev,2026-08-07,32000000,37.73,0.5367,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_stock_r3/pair.iq,rev,2026-08-07,32000000,37.97,0.5348,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_tuned_r1/pair.iq,rev,2026-08-07,32000000,22.03,0.5092,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_tuned_r2/pair.iq,rev,2026-08-07,32000000,38.43,0.5190,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqtune_20260807_030101_tuned_r3/pair.iq,rev,2026-08-07,32000000,38.37,0.5203,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqx_r1/pair.iq,rev,2026-07-31,32000000,38.20,0.4551,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqx_r2/pair.iq,rev,2026-07-31,32000000,38.19,0.4678,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/arqx_r3/pair.iq,rev,2026-07-31,32000000,38.14,0.4732,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260821_200812_r1_ctl0/pair.iq,fwd,2026-08-21,32000000,0.74,0.8618,332,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260821_200812_r2_ctl3/pair.iq,fwd,2026-08-21,32000000,2.88,0.9995,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260821_200812_r3_ctl0/pair.iq,fwd,2026-08-21,32000000,2.88,0.9994,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260821_200812_r4_ctl3/pair.iq,fwd,2026-08-21,32000000,2.88,0.9995,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260822_020917_r1_ctl0/pair.iq,fwd,2026-08-22,32000000,2.88,0.9994,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260822_020917_r2_ctl3/pair.iq,fwd,2026-08-22,32000000,2.88,0.9995,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260822_020917_r3_ctl0/pair.iq,fwd,2026-08-22,32000000,2.88,0.9995,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/beatfix_accept_20260822_020917_r4_ctl3/pair.iq,fwd,2026-08-22,32000000,2.88,0.9994,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/ber_leg_20260825/pair.iq,fwd,2026-08-25,32000000,22.27,0.5218,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_092620_a1/pair.iq,rev,2026-08-09,320000000,39.82,0.5548,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_092954_a2/pair.iq,rev,2026-08-09,320000000,39.92,0.5471,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_093328_a3/pair.iq,rev,2026-08-09,320000000,22.16,0.5218,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bigiq_093702_a4/pair.iq,rev,2026-08-09,320000000,39.46,0.5128,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_bn2_r1/pair.iq,rev,2026-08-07,32000000,19.21,0.5358,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_bn2_r2/pair.iq,rev,2026-08-07,32000000,22.70,0.5281,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_bn2_r3/pair.iq,rev,2026-08-07,32000000,38.39,0.5309,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_control_r1/pair.iq,rev,2026-08-07,32000000,36.60,0.5036,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_control_r2/pair.iq,rev,2026-08-07,32000000,38.08,0.4963,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/bn2ab_20260807_012335_control_r3/pair.iq,rev,2026-08-07,32000000,38.01,0.5065,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/catch8/pair.iq,rev,2026-08-03,32000000,22.09,0.4468,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cfo0_M32/pair.iq,rev,2026-07-30,160000000,38.19,0.5216,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cp1_verdict2/pair.iq,fwd,2026-08-12,32000000,22.22,0.5183,2604,HEALTHY,fwd,1,1,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cp1_verdict/pair.iq,fwd,2026-08-12,32000000,22.04,0.5214,2604,HEALTHY,fwd,1,1,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cyc_parity/pair.iq,rev,2026-07-31,160000000,22.04,0.4658,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/cyc_probe/pair.iq,rev,2026-08-09,16000000,39.92,0.5415,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/diag146_half/pair.iq,?,2026-08-12,32000000,34.93,0.5807,1020,DEGENERATE,?,0,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_recheck_A/pair.iq,?,2026-08-12,32000000,22.39,0.5147,2604,HEALTHY,?,0,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_recheck_B2/pair.iq,?,2026-08-12,32000000,34.87,0.4425,2604,DEGENERATE,?,0,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_recheck_B/pair.iq,?,2026-08-12,32000000,34.92,0.4188,2604,DEGENERATE,?,0,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_swap_A/pair.iq,fwd,2026-08-12,32000000,22.16,0.5252,2604,HEALTHY,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/evm_swap_B/pair.iq,rev,2026-08-12,32000000,34.87,0.4472,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/fix_M32_v1/pair.iq,rev,2026-07-30,160000000,38.14,0.4395,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/fwdbase_20260823_080537/pair.iq,fwd,2026-08-23,16000000,2.88,0.9995,256,DEGENERATE,fwd,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/gateverify/pair.iq,rev,2026-08-10,1600000,22.03,0.5098,2604,HEALTHY,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/hunt_auto_20260731_210341/pair.iq,rev,2026-07-31,32000000,38.25,0.4209,2604,DEGENERATE,rev,1,0,0
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/hunt_auto_20260731_211829/pair.iq,rev,2026-07-31,160000000,38.21,0.5151,2604,DEGENERATE,rev,1,0,0
