k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
111,32136,1,32136,191,chunk_70_139_r0,0
112,32137,1,32137,191,chunk_70_139_r0,0
113,32138,1,32138,191,chunk_70_139_r0,0
114,32139,1,32139,191,chunk_70_139_r0,1
115,32140,1,32140,191,chunk_70_139_r0,0
116,32141,1,32141,191,chunk_70_139_r0,0
117,32142,1,32142,191,chunk_70_139_r0,0
118,32143,1,32143,191,chunk_70_139_r0,0
119,32144,1,32144,191,chunk_70_139_r0,0
120,32145,1,32145,191,chunk_70_139_r0,0
121,32146,1,32146,191,chunk_70_139_r0,0
122,32147,1,32147,191,chunk_70_139_r0,0
123,32148,1,32148,191,chunk_70_139_r0,0
124,32149,1,32149,191,chunk_70_139_r0,0
125,32150,1,32150,191,chunk_70_139_r0,0
126,32151,1,32151,191,chunk_70_139_r0,0
127,32152,1,32152,191,chunk_70_139_r0,0
128,32153,1,32153,191,chunk_70_139_r0,0
129,32154,1,32154,191,chunk_70_139_r0,0
130,32155,1,32155,191,chunk_70_139_r0,0
131,32156,1,32156,191,chunk_70_139_r0,0
132,32157,1,32157,191,chunk_70_139_r0,0
133,32158,1,32158,191,chunk_70_139_r0,0
134,32159,1,32159,191,chunk_70_139_r0,0
135,32160,1,32160,191,chunk_70_139_r0,0
136,32161,1,32161,191,chunk_70_139_r0,0
137,32162,1,32162,191,chunk_70_139_r0,0
138,32163,1,32163,191,chunk_140_161_r0,1
139,32164,1,32164,191,chunk_140_161_r0,1
140,32165,1,32165,191,chunk_140_161_r0,0
141,32166,1,32166,191,chunk_140_161_r0,0
142,32167,1,32167,191,chunk_140_161_r0,0
143,32168,1,32168,191,chunk_140_161_r0,0
144,32169,1,32169,191,chunk_140_161_r0,0
145,32170,1,32170,191,chunk_140_161_r0,0
146,32171,1,32171,191,chunk_140_161_r0,1
147,32172,1,32172,191,chunk_140_161_r0,0
148,32173,1,32173,191,chunk_140_161_r0,0
149,32174,1,32174,191,chunk_140_161_r0,0
150,32175,1,32175,191,chunk_140_161_r0,0
151,32176,1,32176,191,chunk_140_161_r0,0
152,32177,1,32177,191,chunk_140_161_r0,0
153,32178,1,32178,191,chunk_140_161_r0,0
154,32179,1,32179,191,chunk_140_161_r0,0
155,32180,1,32180,191,chunk_140_161_r0,0
156,32181,1,32181,191,chunk_140_161_r0,0
157,32182,1,32182,191,chunk_140_161_r0,0
158,32183,1,32183,191,chunk_140_161_r0,0
159,32184,1,32184,191,chunk_140_161_r0,0
