1 1261 134
2 1257 86
3 1257 51
4 1257 73
5 1262 51
6 1257 62
7 1258 51
8 1257 66
9 1256 103
10 1257 51
11 1257 52
12 1258 51
13 1257 51
14 1257 51
15 1257 51
16 1256 103
17 1257 51
18 1257 51
19 1257 51
20 1257 51
21 1258 51
22 1257 51
23 1257 102
24 1258 51
25 1257 51
26 1257 51
27 1257 51
28 1258 51
29 1257 51
30 1257 51
31 1257 51
32 1258 102
33 1257 0
34 1256 102
35 1257 51
36 1257 51
37 1257 51
38 1257 51
39 1259 51
40 1257 51
41 1257 51
42 1262 51
43 1258 51
44 1257 51
45 1257 51
46 1257 51
47 1258 51
48 1257 51
49 1257 51
50 1257 51
51 1257 51
52 1257 51
53 1258 51
54 1257 51
55 1258 51
56 1257 51
57 1257 51
58 1258 51
59 1257 51
60 1257 51
61 1258 51
62 1257 51
63 1257 51
64 1257 51
65 1258 51
66 1257 51
67 1257 51
68 1257 51
69 1257 51
70 1261 51
71 1258 51
72 1257 51
73 1257 51
74 1258 51
75 1257 51
76 1257 51
77 1258 51
78 1257 51
79 1257 51
80 1257 51
81 1258 51
82 1257 51
83 1257 51
84 1257 51
85 1257 51
86 1257 51
87 1257 16063
88 1258 47539
89 1257 30495
90 1257 39263
91 1257 53394
92 1257 32682
93 1258 58913
94 1256 14931
95 1257 51
96 1257 124
97 1258 51
98 1257 107
99 1257 51
100 1258 109
101 1257 51
102 1256 157
103 1260 87
104 1259 51
105 1257 90
106 1257 51
107 1257 104
108 1257 51
109 1257 118
110 1258 0
111 1256 133
112 1257 75
113 1257 51
114 1257 101
115 1257 51
116 1257 74
117 1258 51
118 1256 130
119 1257 81
120 1258 51
121 1257 77
122 1258 51
123 1257 55
124 1257 51
125 1257 122
126 1257 69
127 1257 51
128 1258 54
129 1257 51
130 1258 54
131 1257 51
132 1257 55
133 1256 102
134 1258 51
135 1261 51
136 1258 51
137 1258 51
138 1257 51
139 1257 51
140 1256 102
141 1257 51
142 1257 51
143 1257 51
144 1257 51
145 1257 51
146 1257 51
147 1257 51
148 1257 51
149 1256 102
150 1257 51
151 1258 51
152 1257 51
153 1258 51
154 1257 51
155 1258 51
156 1256 51
157 1258 51
158 1257 51
159 1257 51
160 1257 51
161 1258 51
162 1256 102
163 1258 0
164 1256 102
165 1258 0
166 1256 102
167 1259 0
168 1256 102
169 1258 0
170 1256 102
171 1259 0
172 1256 102
173 1258 0
174 1257 102
175 1258 0
176 1256 102
177 1258 0
178 1257 102
179 1258 0
180 1256 102
181 1258 0
182 1256 102
183 1258 0
184 1257 102
185 1259 0
186 1257 102
187 1258 0
188 1256 102
189 1258 0
190 1257 102
191 1258 0
192 1256 102
193 1259 0
194 1256 102
195 1258 0
196 1257 51
197 1257 51
198 1257 51
199 1257 51
200 1258 51
201 1258 51
202 1257 51
203 1258 51
204 1257 51
205 1258 51
206 1257 51
207 1258 51
208 1257 46462
209 1257 21388
210 1258 61755
211 1256 12658
212 1257 72767
213 1257 101
214 1257 51
215 1257 104
216 1258 51
217 1258 106
218 1257 51
219 1256 150
220 1258 111
221 1257 51
222 1257 92
223 1257 51
224 1258 97
225 1257 51
226 1256 150
227 1258 0
228 1256 153
229 1258 89
230 1257 51
231 1257 70
232 1258 51
233 1257 80
234 1258 51
235 1256 118
236 1257 72
237 1257 51
238 1259 73
239 1258 51
240 1257 83
241 1257 51
242 1257 137
243 1257 73
244 1258 51
245 1257 62
246 1257 51
247 1257 66
248 1257 51
249 1257 52
250 1257 103
251 1257 51
252 1257 51
253 1257 51
254 1258 51
255 1257 51
256 1257 52
257 1256 102
258 1257 51
259 1258 51
260 1257 51
261 1257 51
262 1257 51
263 1257 51
264 1257 51
265 1259 51
266 1257 102
267 1257 51
268 1257 51
269 1257 51
270 1258 51
271 1257 51
272 1257 51
273 1258 51
274 1257 51
275 1256 102
276 1258 0
277 1256 102
278 1257 51
279 1257 51
280 1257 51
281 1257 51
282 1258 51
283 1258 51
284 1257 51
285 1257 51
286 1257 51
287 1257 51
288 1257 51
289 1257 51
290 1257 51
291 1257 51
292 1257 51
293 1257 51
294 1257 51
295 1257 51
296 1257 51
297 1260 51
298 1258 51
299 1257 51
300 1257 51
301 1257 51
302 1258 51
303 1257 51
304 1257 51
305 1257 51
306 1258 51
307 1257 51
308 1257 51
309 1257 51
310 1257 51
311 1257 51
312 1258 51
313 1257 51
314 1258 51
315 1257 51
316 1257 51
317 1257 51
318 1258 51
319 1257 51
320 1257 51
321 1257 51
322 1258 51
323 1257 51
324 1258 0
325 1256 102
326 1258 0
327 1257 63602
328 1257 11970
329 1257 57788
330 1257 30969
331 1258 55107
332 1257 40063
333 1257 33684
334 1256 148
335 1258 0
336 1257 175
337 1257 107
338 1258 51
339 1257 109
340 1257 51
341 1257 106
342 1258 51
343 1256 138
344 1257 90
345 1259 51
346 1257 104
347 1257 51
348 1258 67
349 1257 51
350 1257 82
351 1258 51
352 1256 126
353 1257 101
354 1258 51
355 1257 74
356 1258 51
357 1257 79
358 1257 51
359 1256 132
360 1257 77
361 1258 51
362 1257 55
363 1258 51
364 1258 71
365 1257 51
366 1256 120
367 1257 54
368 1258 51
369 1257 54
370 1257 51
371 1257 55
372 1258 51
373 1257 51
374 1256 102
375 1257 51
376 1257 51
377 1257 51
378 1257 51
379 1258 51
380 1258 51
381 1256 102
382 1257 51
383 1257 51
384 1258 51
385 1257 51
386 1257 51
387 1257 51
388 1258 51
389 1257 51
390 1256 102
391 1257 51
392 1257 51
393 1257 51
394 1258 51
395 1257 51
396 1257 51
397 1258 51
398 1257 51
399 1257 51
400 1257 51
401 1260 51
402 1259 51
403 1257 51
404 1257 51
405 1258 51
406 1257 51
407 1257 51
408 1257 51
409 1257 51
410 1257 51
411 1258 51
412 1258 51
413 1257 51
414 1257 51
415 1258 51
416 1257 51
417 1257 51
418 1258 51
419 1257 51
420 1256 51
421 1258 51
422 1257 51
423 1257 51
424 1257 51
425 1257 51
426 1257 51
427 1258 51
428 1257 51
429 1258 51
430 1257 51
431 1257 51
432 1257 51
433 1257 51
434 1257 51
435 1258 51
436 1257 51
437 1257 51
438 1257 51
439 1258 51
440 1257 51
441 1256 51
442 1258 51
443 1258 51
444 1257 51
445 1258 51
446 1257 51
447 1258 28099
448 1257 39751
449 1257 42789
450 1258 28807
451 1257 58677
452 1257 16907
453 1256 152
454 1257 104
455 1257 51
