t_s,frames,magic_bad,magic_bad_pct,p104
10.0,12450,34,0.2731,12450
20.0,12450,34,0.2731,12450
30.0,12450,34,0.2731,12450
40.0,12450,34,0.2731,12450
50.0,12450,34,0.2731,12450
60.0,12450,34,0.2731,12450
70.0,12450,34,0.2731,12450
80.0,12450,34,0.2731,12450
90.0,12450,34,0.2731,12450
100.0,12450,34,0.2731,12450
110.0,12450,34,0.2731,12450
120.0,12450,34,0.2731,12450
130.0,12450,34,0.2731,12450
140.0,12450,34,0.2731,12450
150.0,12450,34,0.2731,12450
160.0,12450,34,0.2731,12450
170.0,12450,34,0.2731,12450
180.0,12450,34,0.2731,12450
190.0,12450,34,0.2731,12450
200.0,12450,34,0.2731,12450
210.0,12450,34,0.2731,12450
220.0,12450,34,0.2731,12450
230.0,12450,34,0.2731,12450
240.0,12450,34,0.2731,12450
250.0,12450,34,0.2731,12450
260.0,12450,34,0.2731,12450
270.0,12450,34,0.2731,12450
280.0,12450,34,0.2731,12450
290.0,12450,34,0.2731,12450
300.0,12450,34,0.2731,12450
310.0,12450,34,0.2731,12450
320.0,12450,34,0.2731,12450
330.0,12450,34,0.2731,12450
340.0,12450,34,0.2731,12450
350.0,12450,34,0.2731,12450
360.0,12450,34,0.2731,12450
370.0,12450,34,0.2731,12450
380.0,12450,34,0.2731,12450
390.0,12450,34,0.2731,12450
400.0,12450,34,0.2731,12450
410.0,12450,34,0.2731,12450
420.0,12450,34,0.2731,12450
430.0,12450,34,0.2731,12450
440.0,12450,34,0.2731,12450
450.0,12450,34,0.2731,12450
460.0,12450,34,0.2731,12450
470.0,12450,34,0.2731,12450
480.0,12450,34,0.2731,12450
490.0,12450,34,0.2731,12450
500.0,12450,34,0.2731,12450
510.0,12450,34,0.2731,12450
520.0,12450,34,0.2731,12450
530.0,12450,34,0.2731,12450
540.0,12450,34,0.2731,12450
550.0,12450,34,0.2731,12450
560.0,12450,34,0.2731,12450
570.0,12450,34,0.2731,12450
580.0,12450,34,0.2731,12450
590.0,12450,34,0.2731,12450
600.0,12450,34,0.2731,12450
