frame,offset,swap,score
142,,0,0.4957
143,,0,0.4956
144,,0,0.4957
145,,0,0.4955
146,,0,0.4955
147,,0,0.4957
148,,0,0.4956
149,,0,0.4956
150,,0,0.4957
151,,0,0.4956
152,,0,0.4957
153,,0,0.4956
154,,0,0.4957
155,,0,0.4956
156,,0,0.4956
157,,0,0.4957
158,,0,0.4956
159,,0,0.4956
160,,0,0.4957
161,,0,0.4956
162,,0,0.4957
163,,0,0.4956
164,,0,0.4957
165,,0,0.4955
166,,0,0.4956
167,,0,0.4957
168,,0,0.4955
169,,0,0.4956
170,,0,0.4958
171,,0,0.4956
172,,0,0.4957
173,,0,0.4956
174,,0,0.4957
175,,0,0.4956
176,,0,0.4956
177,,0,0.4957
178,,0,0.4956
179,,0,0.4956
180,,0,0.4957
181,,0,0.4956
182,,0,0.4957
183,,0,0.4956
184,,0,0.4957
185,,0,0.4955
186,,0,0.4956
187,,0,0.4957
188,,0,0.4956
189,,0,0.4956
190,,0,0.4957
191,,0,0.4956
192,,0,0.4957
193,,0,0.4956
194,,0,0.4957
195,,0,0.4955
196,,0,0.4955
197,,0,0.4957
198,,0,0.4956
199,,0,0.4956
200,,0,0.4957
201,,0,0.4956
202,,0,0.4957
203,,0,0.4956
204,,0,0.4957
205,,0,0.4955
206,,0,0.4955
207,,0,0.4957
208,,0,0.4956
209,,0,0.4956
210,,0,0.4957
211,,0,0.4956
212,,0,0.4957
213,,0,0.4956
214,,0,0.4957
215,,0,0.4955
216,,0,0.4956
217,,0,0.4957
218,,0,0.4956
219,,0,0.4956
220,,0,0.4957
221,,0,0.4956
222,,0,0.4957
223,,0,0.4956
224,,0,0.4957
225,,0,0.4955
226,,0,0.4956
227,,0,0.4957
228,,0,0.4956
229,,0,0.4956
230,,0,0.4957
231,,0,0.4956
232,,0,0.4957
233,,0,0.4956
234,,0,0.4957
235,,0,0.4955
236,,0,0.4956
237,,0,0.4957
238,,0,0.4956
239,,0,0.4956
240,,0,0.4957
241,,0,0.4956
242,,0,0.4957
243,,0,0.4956
244,,0,0.4957
245,,0,0.4955
246,,0,0.4956
247,,0,0.4957
248,,0,0.4956
249,,0,0.4956
250,,0,0.4957
251,,0,0.4956
252,,0,0.4957
253,,0,0.4956
254,,0,0.4957
255,,0,0.4955
256,,0,0.4956
257,,0,0.4957
258,,0,0.4956
259,,0,0.4956
260,,0,0.4957
261,,0,0.4956
262,,0,0.4957
263,,0,0.4956
264,,0,0.4957
265,,0,0.4956
266,,0,0.4956
267,,0,0.4957
268,,0,0.4956
269,,0,0.4956
270,,0,0.4957
271,,0,0.4956
272,,0,0.4957
273,,0,0.4956
274,,0,0.4957
275,,0,0.4955
276,,0,0.4955
277,,0,0.4957
278,,0,0.4956
279,,0,0.4956
280,,0,0.4957
281,,0,0.4956
282,,0,0.4957
283,,0,0.4956
284,,0,0.4957
285,,0,0.4955
286,,0,0.4956
287,,0,0.4957
288,,0,0.4956
289,,0,0.4956
290,,0,0.4957
291,,0,0.4956
292,,0,0.4957
293,,0,0.4956
294,,0,0.4957
295,,0,0.4955
296,,0,0.4956
297,,0,0.4957
298,,0,0.4956
299,,0,0.4956
300,,0,0.4957
301,,0,0.4956
302,,0,0.4957
303,,0,0.4956
304,,0,0.4957
305,,0,0.4956
306,,0,0.4956
307,,0,0.4957
308,,0,0.4956
309,,0,0.4956
310,,0,0.4957
311,,0,0.4956
312,,0,0.4957
313,,0,0.4956
314,,0,0.4957
315,,0,0.4955
316,,0,0.4956
317,,0,0.4957
318,,0,0.4956
319,,0,0.4956
320,,0,0.4957
321,,0,0.4956
322,,0,0.4957
323,,0,0.4956
324,,0,0.4957
325,,0,0.4955
326,,0,0.4956
327,,0,0.4957
328,,0,0.4956
329,,0,0.4956
330,,0,0.4957
331,,0,0.4956
332,,0,0.4957
333,,0,0.4956
334,,0,0.4957
335,,0,0.4955
336,,0,0.4956
337,,0,0.4957
338,,0,0.4956
339,,0,0.4956
340,,0,0.4957
341,,0,0.4956
342,,0,0.4957
343,,0,0.4956
344,,0,0.4957
345,,0,0.4955
346,,0,0.4956
347,,0,0.4957
348,,0,0.4956
349,,0,0.4956
350,,0,0.4957
351,,0,0.4956
352,,0,0.4957
353,,0,0.4956
354,,0,0.4957
355,,0,0.4955
356,,0,0.4956
357,,0,0.4957
358,,0,0.4956
359,,0,0.4956
360,,0,0.4957
361,,0,0.4956
362,,0,0.4957
363,,0,0.4956
364,,0,0.4957
365,,0,0.4955
366,,0,0.4955
367,,0,0.4957
368,,0,0.4956
369,,0,0.4956
370,,0,0.4957
371,,0,0.4956
372,,0,0.4957
373,,0,0.4956
374,,0,0.4957
375,,0,0.4955
376,,0,0.4956
377,,0,0.4957
378,,0,0.4956
379,,0,0.4956
380,,0,0.4958
381,,0,0.4956
382,,0,0.4957
383,,0,0.4956
384,,0,0.4957
385,,0,0.4955
386,,0,0.4956
387,,0,0.4957
388,,0,0.4956
389,,0,0.4956
390,,0,0.4957
391,,0,0.4956
392,,0,0.4957
393,,0,0.4956
394,,0,0.4957
395,,0,0.4956
396,,0,0.4956
397,,0,0.4958
398,,0,0.4956
399,,0,0.4956
400,,0,0.4957
401,,0,0.4956
402,,0,0.4957
403,,0,0.4956
404,,0,0.4957
405,,0,0.4956
406,,0,0.4955
407,,0,0.4957
408,,0,0.4956
409,,0,0.4956
410,,0,0.4957
411,,0,0.4956
412,,0,0.4957
413,,0,0.4956
414,,0,0.4957
415,,0,0.4955
416,,0,0.4956
417,,0,0.4957
418,,0,0.4956
419,,0,0.4956
420,,0,0.4957
421,,0,0.4956
422,,0,0.4957
423,,0,0.4956
424,,0,0.4957
425,,0,0.4955
426,,0,0.4956
427,,0,0.4957
428,,0,0.4956
429,,0,0.4956
430,,0,0.4957
431,,0,0.4956
432,,0,0.4957
433,,0,0.4956
434,,0,0.4957
435,,0,0.4955
436,,0,0.4955
437,,0,0.4957
438,,0,0.4956
439,,0,0.4956
440,,0,0.4957
441,,0,0.4956
442,,0,0.4957
443,,0,0.4956
444,,0,0.4957
445,,0,0.4956
446,,0,0.4956
447,,0,0.4957
448,,0,0.4956
449,,0,0.4956
450,,0,0.4957
451,,0,0.4956
452,,0,0.4957
453,,0,0.4956
454,,0,0.4957
455,,0,0.4956
456,,0,0.4956
457,,0,0.4957
458,,0,0.4956
459,,0,0.4956
460,,0,0.4957
461,,0,0.4956
462,,0,0.4957
463,,0,0.4956
464,,0,0.4957
465,,0,0.4956
466,,0,0.4956
467,,0,0.4957
468,,0,0.4956
469,,0,0.4956
470,,0,0.4957
471,,0,0.4956
472,,0,0.4957
473,,0,0.4956
474,,0,0.4957
475,,0,0.4955
476,,0,0.4956
477,,0,0.4957
478,,0,0.4956
479,,0,0.4956
480,,0,0.4957
481,,0,0.4956
482,,0,0.4957
483,,0,0.4956
484,,0,0.4957
485,,0,0.4955
486,,0,0.4956
487,,0,0.4957
488,,0,0.4956
489,,0,0.4956
490,,0,0.4957
491,,0,0.4956
492,,0,0.4957
493,,0,0.4956
494,,0,0.4958
495,,0,0.4956
496,,0,0.4956
497,,0,0.4957
498,,0,0.4956
499,,0,0.4956
500,,0,0.4957
501,,0,0.4956
502,,0,0.4957
503,,0,0.4956
504,,0,0.4957
505,,0,0.4955
506,,0,0.4956
507,,0,0.4957
508,,0,0.4956
509,,0,0.4956
510,,0,0.4957
511,,0,0.4956
512,,0,0.4957
513,,0,0.4956
514,,0,0.4957
515,,0,0.4955
516,,0,0.4956
517,,0,0.4957
518,,0,0.4956
519,,0,0.4956
520,,0,0.4957
521,,0,0.4956
522,,0,0.4957
523,,0,0.4956
524,,0,0.4957
525,,0,0.4955
526,,0,0.4955
527,,0,0.4957
528,,0,0.4956
529,,0,0.4956
530,,0,0.4957
531,,0,0.4956
532,,0,0.4957
533,,0,0.4956
534,,0,0.4957
535,,0,0.4955
536,,0,0.4956
537,,0,0.4957
538,,0,0.4956
539,,0,0.4956
540,,0,0.4957
541,,0,0.4956
542,,0,0.4957
543,,0,0.4956
544,,0,0.4957
545,,0,0.4956
546,,0,0.4956
547,,0,0.4957
548,,0,0.4956
549,,0,0.4956
550,,0,0.4957
551,,0,0.4956
552,,0,0.4957
553,,0,0.4956
554,,0,0.4957
555,,0,0.4955
556,,0,0.4955
557,,0,0.4957
558,,0,0.4956
559,,0,0.4956
560,,0,0.4957
561,,0,0.4956
562,,0,0.4957
563,,0,0.4956
564,,0,0.4957
565,,0,0.4956
566,,0,0.4891
567,,0,0.0149
568,,0,0.0156
569,0,0,0.9999
570,0,0,0.9999
571,0,0,0.9999
572,0,0,0.9999
573,0,0,0.9999
574,0,0,1.0
575,0,0,1.0
576,0,0,0.9999
577,0,0,0.9999
578,0,0,0.9999
579,0,0,0.9999
580,0,0,0.9999
581,0,0,0.9999
582,0,0,0.9999
583,0,0,0.9999
584,0,0,1.0
585,0,0,0.9999
586,0,0,0.9999
587,0,0,0.9999
588,0,0,0.9999
589,0,0,0.9999
590,0,0,0.9999
591,0,0,0.9999
592,0,0,1.0
593,0,0,0.9999
594,0,0,0.9999
595,0,0,0.9999
596,0,0,0.9999
597,0,0,0.9999
598,0,0,0.9999
599,0,0,1.0
600,0,0,1.0
601,0,0,0.9999
602,0,0,0.9999
603,0,0,0.9999
604,0,0,0.9999
605,0,0,0.9999
606,0,0,1.0
607,0,0,0.9999
608,0,0,0.9999
609,0,0,0.9999
610,0,0,0.9999
611,0,0,0.9999
612,0,0,0.9999
613,0,0,1.0
614,0,0,1.0
615,0,0,0.9999
616,0,0,0.9999
617,0,0,0.9999
618,0,0,0.9999
619,0,0,0.9999
620,0,0,1.0
621,0,0,0.9999
622,0,0,0.9999
623,0,0,0.9999
624,0,0,0.9999
625,0,0,0.9999
626,0,0,0.9999
627,0,0,1.0
628,0,0,1.0
629,0,0,0.9999
630,0,0,0.9999
631,0,0,0.9999
632,0,0,0.9999
633,0,0,0.9999
634,0,0,1.0
635,0,0,0.9999
636,0,0,0.9999
637,0,0,0.9999
638,0,0,0.9999
639,0,0,0.9999
640,0,0,0.9999
641,0,0,1.0
642,0,0,1.0
643,0,0,0.9999
644,0,0,0.9999
645,0,0,0.9999
646,0,0,0.9999
647,0,0,0.9999
648,0,0,1.0
649,0,0,0.9999
650,0,0,0.9999
651,0,0,0.9999
652,0,0,0.9999
653,0,0,0.9999
654,0,0,0.9999
655,0,0,1.0
656,0,0,1.0
657,0,0,0.9999
658,0,0,0.9999
659,0,0,0.9999
660,0,0,0.9999
661,0,0,0.9999
662,0,0,1.0
663,0,0,0.9999
664,0,0,0.9999
665,0,0,0.9999
666,0,0,0.9999
667,0,0,0.9999
668,0,0,0.9999
669,0,0,1.0
670,0,0,1.0
671,0,0,0.9999
672,0,0,0.9999
673,0,0,0.9999
674,0,0,0.9999
675,0,0,0.9999
676,0,0,1.0
677,0,0,0.9999
678,0,0,0.9999
679,0,0,0.9999
680,0,0,0.9999
681,0,0,0.9999
682,0,0,0.9999
683,0,0,1.0
684,0,0,1.0
685,0,0,0.9999
686,0,0,0.9999
687,0,0,0.9999
688,0,0,0.9999
689,0,0,0.9999
690,0,0,1.0
691,0,0,0.9999
692,0,0,0.9999
693,0,0,0.9999
694,0,0,0.9999
695,0,0,0.9999
696,0,0,0.9999
697,0,0,1.0
698,0,0,1.0
699,0,0,0.9999
700,0,0,0.9999
701,0,0,0.9999
702,0,0,0.9999
703,0,0,0.9999
704,0,0,1.0
705,0,0,0.9999
706,0,0,0.9999
707,0,0,0.9999
708,0,0,0.9999
709,0,0,0.9999
710,0,0,0.9999
711,0,0,1.0
712,0,0,1.0
713,0,0,0.9999
714,0,0,0.9999
715,0,0,0.9999
716,0,0,0.9999
717,0,0,0.9999
718,0,0,1.0
719,0,0,0.9999
720,0,0,0.9999
721,0,0,0.9999
722,0,0,0.9999
723,0,0,0.9999
724,0,0,0.9999
725,0,0,1.0
726,0,0,1.0
727,0,0,0.9999
728,0,0,0.9999
729,0,0,0.9999
730,0,0,0.9999
731,0,0,0.9999
732,0,0,1.0
733,0,0,0.9999
734,0,0,0.9999
735,0,0,0.9999
736,0,0,0.9999
737,0,0,0.9999
738,0,0,0.9999
739,0,0,1.0
740,0,0,1.0
741,0,0,0.9999
742,0,0,0.9999
743,0,0,0.9999
744,0,0,0.9999
745,0,0,0.9999
746,0,0,1.0
747,0,0,0.9999
748,0,0,0.9999
749,0,0,0.9999
750,0,0,0.9999
751,0,0,0.9999
752,0,0,0.9999
753,0,0,1.0
754,0,0,1.0
755,0,0,0.9999
756,0,0,0.9999
757,0,0,0.9999
758,0,0,0.9999
759,0,0,0.9999
760,0,0,1.0
761,0,0,0.9999
762,0,0,0.9999
763,0,0,0.9999
764,0,0,0.9999
765,0,0,0.9999
766,0,0,0.9999
767,0,0,1.0
768,0,0,1.0
769,0,0,0.9999
770,0,0,0.9999
771,0,0,0.9999
772,0,0,0.9999
773,0,0,0.9999
774,0,0,1.0
775,0,0,0.9999
776,0,0,0.9999
777,0,0,0.9999
778,0,0,0.9999
779,0,0,0.9999
780,0,0,0.9999
781,0,0,1.0
782,0,0,1.0
783,0,0,0.9999
784,0,0,0.9999
785,0,0,0.9999
786,0,0,0.9999
787,0,0,0.9999
788,0,0,1.0
789,0,0,0.9999
790,0,0,0.9999
791,0,0,0.9999
792,0,0,0.9999
793,0,0,0.9999
794,0,0,0.9999
795,0,0,1.0
796,0,0,1.0
797,0,0,0.9999
798,0,0,0.9999
799,0,0,0.9999
800,0,0,0.9999
801,0,0,0.9999
802,0,0,1.0
803,0,0,0.9999
804,0,0,0.9999
805,0,0,0.9999
806,0,0,0.9999
807,0,0,0.9999
808,0,0,0.9999
809,0,0,1.0
810,0,0,1.0
811,0,0,0.9999
812,0,0,0.9999
813,0,0,0.9999
814,0,0,0.9999
815,0,0,0.9999
816,0,0,1.0
817,0,0,0.9999
818,0,0,0.9999
819,0,0,0.9999
820,0,0,0.9999
821,0,0,0.9999
822,0,0,0.9999
823,0,0,1.0
824,0,0,1.0
825,0,0,0.9999
826,0,0,0.9999
827,0,0,0.9999
828,0,0,0.9999
829,0,0,0.9999
830,0,0,1.0
831,0,0,0.9999
832,0,0,0.9999
833,0,0,0.9999
834,0,0,0.9999
835,0,0,0.9999
836,0,0,0.9999
837,0,0,1.0
838,0,0,1.0
839,0,0,0.9999
840,0,0,0.9999
841,0,0,0.9999
842,0,0,0.9999
843,0,0,0.9999
844,0,0,1.0
845,0,0,0.9999
846,0,0,0.9999
847,0,0,0.9999
848,0,0,0.9999
849,0,0,0.9999
850,0,0,0.9999
851,0,0,1.0
852,0,0,1.0
853,0,0,0.9999
854,0,0,0.9999
855,0,0,0.9999
856,0,0,0.9999
857,0,0,0.9999
858,0,0,1.0
859,0,0,0.9999
860,0,0,0.9999
861,0,0,0.9999
862,0,0,0.9999
863,0,0,0.9999
864,0,0,0.9999
865,0,0,1.0
866,0,0,1.0
867,0,0,0.9999
868,0,0,0.9999
869,0,0,0.9999
870,0,0,0.9999
871,0,0,0.9999
872,0,0,1.0
873,0,0,0.9999
874,0,0,0.9999
875,0,0,0.9999
876,0,0,0.9999
877,0,0,0.9999
878,0,0,0.9999
879,0,0,1.0
880,0,0,1.0
881,0,0,0.9999
882,0,0,0.9999
883,0,0,0.9999
884,0,0,0.9999
885,0,0,0.9999
886,0,0,1.0
887,0,0,0.9999
888,0,0,0.9999
889,0,0,0.9999
890,0,0,0.9999
891,0,0,0.9999
892,0,0,0.9999
893,0,0,1.0
894,0,0,1.0
895,0,0,0.9999
896,0,0,0.9999
897,0,0,0.9999
898,0,0,0.9999
899,0,0,0.9999
900,0,0,1.0
901,0,0,0.9999
902,0,0,0.9999
903,0,0,0.9999
904,0,0,0.9999
905,0,0,0.9999
906,0,0,0.9999
907,0,0,1.0
908,0,0,1.0
909,0,0,0.9999
910,0,0,0.9999
911,0,0,0.9999
912,0,0,0.9999
913,0,0,0.9999
914,0,0,1.0
915,0,0,0.9999
916,0,0,0.9999
917,0,0,0.9999
918,0,0,0.9999
919,0,0,0.9999
920,0,0,0.9999
921,0,0,1.0
922,0,0,1.0
923,0,0,0.9999
924,0,0,0.9999
925,0,0,0.9999
926,0,0,0.9999
927,0,0,0.9999
928,0,0,1.0
929,0,0,0.9999
930,0,0,0.9999
931,0,0,0.9999
932,0,0,0.9999
933,0,0,0.9999
934,0,0,0.9999
935,0,0,1.0
936,0,0,1.0
937,0,0,0.9999
938,0,0,0.9999
939,0,0,0.9999
940,0,0,0.9999
941,0,0,0.9999
942,0,0,1.0
943,0,0,0.9999
944,0,0,0.9999
945,0,0,0.9999
946,0,0,0.9999
947,0,0,0.9999
948,0,0,0.9999
949,0,0,1.0
950,0,0,1.0
951,0,0,0.9999
952,0,0,0.9999
953,0,0,0.9999
954,0,0,0.9999
955,0,0,0.9999
956,0,0,1.0
957,0,0,0.9999
958,0,0,0.9999
959,0,0,0.9999
960,0,0,0.9999
961,0,0,0.9999
962,0,0,0.9999
963,0,0,1.0
964,0,0,1.0
965,0,0,0.9999
966,0,0,0.9999
967,0,0,0.9999
968,0,0,0.9999
969,0,0,0.9999
970,0,0,1.0
971,0,0,0.9999
972,0,0,0.9999
973,0,0,0.9999
974,0,0,0.9999
975,0,0,0.9999
976,0,0,0.9999
977,0,0,1.0
978,0,0,1.0
979,0,0,0.9999
980,0,0,0.9999
981,0,0,0.9999
982,0,0,0.9999
983,0,0,0.9999
984,0,0,1.0
985,0,0,0.9999
986,0,0,0.9999
987,0,0,0.9999
988,0,0,0.9999
989,0,0,0.9999
990,0,0,0.9999
991,0,0,1.0
992,0,0,1.0
993,0,0,0.9999
994,0,0,0.9999
995,0,0,0.9999
996,0,0,0.9999
997,0,0,0.9999
998,0,0,1.0
999,0,0,0.9999
